assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,3,0,0.0,1005,0.0,0.0,0.0,0.02,8,0,0,0.0,0.0,2022-08-06,1,18,0,0,0,0,1,0,5871,0,1,4,0.0,1,0,0,0,55,False,0,0,0,0,0.0,3,Nathan Redmond,17,TOT,1140,1170,SOU,1070,1080,2022,0.0,,0.386546,7.0,0.386546,1.6172,12.0,1.6172
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,19,0,0,0.0,0.0,2022-08-13,0,24,0,0,0,0,2,0,6353,0,2,2,0.0,0,-636,190,826,55,True,0,0,0,0,0.0,3,Nathan Redmond,17,LEE,1075,1120,SOU,1070,1060,2022,0.0,,1.40906,4.0,1.40906,1.99694,9.0,1.99694
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,26,0,0,0.0,0.0,2022-08-20,0,11,0,0,0,0,3,0,5926,0,2,1,0.0,0,-905,218,1123,54,False,0,0,0,0,0.0,3,Nathan Redmond,17,LEI,1065,1200,SOU,1070,1080,2022,0.0,,1.24155,4.0,1.24155,0.242948,5.0,0.242948
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2022-08-27,0,14,0,0,0,0,4,0,5352,0,1,0,0.0,0,-800,145,945,54,True,0,0,0,0,0.0,3,Nathan Redmond,17,MUN,1220,1220,SOU,1070,1060,2022,0.0,,1.35887,11.0,1.35887,1.34359,11.0,1.34359
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,50,0,0,0.0,0.0,2022-08-30,0,6,0,0,0,0,5,0,4990,0,1,2,0.0,0,-543,87,630,53,True,0,0,0,0,0.0,3,Nathan Redmond,17,CHE,1220,1220,SOU,1070,1060,2022,0.0,,1.44086,3.0,1.44086,1.5047,7.0,1.5047
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,60,0,0,0.0,0.0,2022-09-03,0,20,0,0,0,0,6,0,4884,0,0,1,0.0,0,-336,217,553,53,False,0,0,0,0,0.0,3,Nathan Redmond,17,WOL,1100,1060,SOU,1070,1080,2022,0.0,,1.20838,12.0,1.20838,1.10039,8.0,1.10039
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,71,0,0,0.0,0.0,2022-09-16,0,2,0,0,0,0,8,0,4337,0,0,1,0.0,0,-420,0,420,53,False,0,0,0,0,0.0,3,Nathan Redmond,17,AVL,1070,1070,SOU,1070,1080,2022,0.0,,0.218302,2.0,0.218302,1.34365,6.0,1.34365
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2022-10-01,0,8,0,0,0,0,9,0,3806,0,2,1,0.0,0,-563,0,563,53,True,0,0,0,0,0.0,3,Nathan Redmond,17,EVE,1100,1090,SOU,1070,1060,2022,0.0,,1.95961,12.0,1.95961,1.99979,4.0,1.99979
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,97,0,0,0.0,0.0,2022-10-08,0,13,0,0,0,0,10,0,3502,0,0,4,0.0,0,-312,0,312,53,False,0,0,0,0,0.0,3,Nathan Redmond,17,MCI,1340,1360,SOU,1070,1080,2022,0.0,,0.101148,0.0,0.101148,2.73536,12.0,2.73536
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,108,0,0,0.0,0.0,2022-10-16,0,19,0,0,0,0,11,0,3368,0,1,1,0.0,0,-138,0,138,53,True,0,0,0,0,0.0,3,Nathan Redmond,17,WHU,1150,1110,SOU,1070,1060,2022,0.0,,0.524479,2.0,0.524479,1.70727,8.0,1.70727
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,112,0,0,0.0,0.0,2022-10-19,0,3,0,0,0,0,12,0,3287,0,1,0,0.0,0,-71,0,71,53,False,0,0,0,0,0.0,3,Nathan Redmond,17,BOU,1020,1050,SOU,1070,1080,2022,0.0,,1.23878,6.0,1.23878,0.810452,8.0,0.810452
