assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,season,position
0,0,9,0,22.0,708,0.0708969011902809,0.04,0.0,0.5,214,0,0,3.4,10.0,2023-02-03,45,9,0,0,0,0,22,0,3114,0,0,0,2.0,1,2821,3478,657,55,True,0,Noni Madueke,177,0,1,0,0.0,6,FUL,1065,1140,CHE,1190,1140,1.0323645,4.0,1.7019212499999998,8.25,1.4113391875,5.3125,1.9622354375,7.0,1.7168065,7.0,1.1424005000000002,5.5,1.297609,7.0,1.3478040625,5.125,2022,MID
0,0,6,0,3.3,708,0.0,0.18,0.1013690009713172,1.16,230,1,0,4.2,13.4,2023-02-11,67,19,0,0,0,0,23,0,5044,1,1,1,25.0,2,1773,2803,1030,55,False,0,Noni Madueke,177,2,0,0,0.1013690009713172,6,WHU,1145,1060,CHE,1220,1220,1.4436637499999998,4.25,0.894897,5.5,1.41103475,4.25,1.0687005625,6.1875,1.94709,7.0,0.8358057500000001,4.25,1.291984625,6.875,1.288584125,5.25,2022,MID
0,0,8,0,22.8,708,0.0531428009271621,0.04,0.0376667007803916,0.49,234,1,0,5.2,10.6,2023-02-18,63,17,0,0,0,0,24,0,8222,1,1,0,19.0,2,2950,4242,1292,55,True,0,Noni Madueke,177,1,2,0,0.0376667007803916,6,SOU,1070,1080,CHE,1190,1140,0.92574475,6.0,1.3323377499999998,6.5,0.990481375,5.4375,1.5248314375,7.0625,1.57242875,7.75,0.92702675,5.25,1.304055375,7.25,1.2671185,5.5625,2022,MID
0,0,0,0,0.0,708,0.0,0.0,0.0,0.0,249,0,0,0.0,0.0,2023-02-26,0,18,0,0,0,0,25,0,7568,0,0,2,0.0,0,-739,1313,2052,55,False,0,Noni Madueke,177,0,0,0,0.0,6,TOT,1140,1170,CHE,1220,1220,1.24074875,5.5,0.9110975,5.25,1.439901375,6.6875,1.290942625,7.125,1.44426875,8.25,0.8725682500000002,5.25,1.326691,7.1875,1.261472375,5.625,2022,MID
0,0,4,0,10.4,708,0.0516152009367942,0.01,0.0,0.42,255,0,0,1.3,3.0,2023-03-04,6,24,0,0,0,0,26,0,6392,0,0,1,0.0,1,-1323,559,1882,55,True,0,Noni Madueke,177,0,1,0,0.0,6,LEE,1075,1120,CHE,1190,1140,0.94096975,6.25,1.3082645000000004,6.25,1.3024728125,6.1875,1.601469,6.1875,1.0486715,7.75,0.7788340000000001,4.75,1.1911510625,6.8125,1.272588875,5.6875,2022,MID
0,0,0,0,0.0,708,0.0,0.0,0.0,0.0,266,0,0,0.0,0.0,2023-03-11,0,11,0,0,0,0,27,0,5203,0,3,1,0.0,0,-1286,345,1631,55,False,0,Noni Madueke,177,0,0,0,0.0,6,LEI,1065,1200,CHE,1220,1220,1.1249290749999998,6.75,1.85727475,6.75,1.1857378937499998,5.625,1.4816353125,7.75,1.161944,8.5,0.8139975000000002,4.5,1.2306116875,7.0,1.1593748125,5.5625,2022,MID
0,0,0,0,0.0,708,0.0,0.0,0.0,0.0,275,0,0,0.0,0.0,2023-03-18,0,8,0,0,0,0,28,0,5192,0,2,2,0.0,0,-261,672,933,55,True,0,Noni Madueke,177,0,0,0,0.0,6,EVE,1100,1090,CHE,1190,1140,1.6424625000000002,6.5,1.97004325,7.5,1.23810655625,5.25,1.7581728124999998,7.625,1.31052275,7.5,1.1353075,4.5,1.289197625,6.5,1.2161941875000002,5.5,2022,MID
0,0,7,0,22.1,708,0.1407539993524551,0.09,0.0564148016273975,0.04,284,0,0,4.1,8.4,2023-04-01,33,2,0,0,0,0,29,0,4552,0,2,0,10.0,1,-602,325,927,55,True,0,Noni Madueke,177,1,2,0,0.0564148016273975,6,AVL,1075,1130,CHE,1190,1140,2.09927625,9.75,1.0850827499999998,4.25,1.4199045,6.9375,1.743192875,6.1875,1.38128275,7.0,1.392112,4.0,1.33281575,6.875,1.273432625,5.0625,2022,MID
0,0,0,0,0.0,708,0.0,0.0,0.0,0.0,74,0,0,0.0,0.0,2023-04-04,0,12,0,0,0,0,29,0,4552,0,0,0,0.0,0,-602,325,927,55,True,0,Noni Madueke,177,0,0,0,0.0,6,LIV,1250,1300,CHE,1190,1140,2.14935525,10.0,1.4345154999999998,6.5,1.9995931875,9.3125,1.5796794375,5.4375,1.9107725,10.5,1.35198225,3.25,1.4143595,7.5625,1.1412322499999998,4.875,2022,MID
0,0,0,0,0.0,708,0.0,0.0,0.0,0.0,300,0,0,0.0,0.0,2023-04-08,0,20,0,0,0,0,30,0,4221,0,0,1,0.0,0,-405,137,542,55,False,0,Noni Madueke,177,0,0,0,0.0,6,WOL,1100,1060,CHE,1220,1220,1.10492275,5.5,1.620115,6.75,1.005329125,4.6875,1.673416125,8.0,1.99108,11.5,1.2440377500000002,4.25,1.5337479374999998,8.0,1.0052170625,5.1875,2022,MID
