assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,11,0,25.8,1043,0.0514423996210098,0.09,0.0,2.23,10,2,0,3.6,8.2,2022-08-07,90,13,0,0,0,0,1,0,127504,1,2,0,2.0,2,0,0,0,55,True,0,0,2,0,0.0,3,Pablo Fornals Malla,19,MCI,1340,1380,WHU,1145,1060,2022,0.0,,0.246188,2.0,0.246188,2.58739,11.0,1.82623
0,0,10,0,14.3,1043,0.0340924002230167,0.11,0.0416501015424728,1.36,18,1,0,2.7,10.2,2022-08-14,68,16,0,0,0,0,2,0,130262,1,0,1,2.0,2,-2208,12629,14837,55,False,0,2,1,0,0.0416501015424728,3,Pablo Fornals Malla,19,NFO,1065,1030,WHU,1150,1110,2022,0.0416501015424728,,2.08634,7.0,1.32517,1.9717,4.0,1.9717
0,0,7,0,6.8,1043,0.0,0.06,0.0444854013621807,1.08,30,1,0,1.9,5.6,2022-08-21,61,5,0,0,0,0,3,0,115021,1,2,0,7.0,2,-16294,7193,23487,55,True,0,1,0,0,0.0444854013621807,3,Pablo Fornals Malla,19,BHA,1150,1200,WHU,1145,1060,2022,0.0444854013621807,,0.768634,6.0,0.768634,1.82645,2.0,1.06528
0,3,30,1,10.9,1043,0.0,0.07,0.0321407988667488,0.49,32,0,1,7.6,45.4,2022-08-28,90,2,0,0,0,0,4,0,88066,1,1,0,20.0,11,-28051,1257,29308,54,False,0,2,0,1,0.0321407988667488,3,Pablo Fornals Malla,19,AVL,1070,1070,WHU,1150,1110,2022,0.0321407988667488,,0.334589,3.0,0.334589,0.304555,4.0,0.304555
0,0,10,0,14.0,1043,0.0224534999579191,0.28,0.1118990033864975,0.63,47,1,0,3.3,8.4,2022-08-31,84,18,0,0,0,0,5,0,89181,1,1,1,11.0,2,-1511,8795,10306,54,True,0,2,1,0,0.1118990033864975,3,Pablo Fornals Malla,19,TOT,1210,1230,WHU,1145,1060,2022,0.1118990033864975,,1.52267,3.0,1.52267,0.723285,6.0,0.723285
0,0,7,0,1.0,1043,0.0,0.03,0.0347267985343933,0.72,54,1,0,0.8,4.2,2022-09-03,85,6,0,0,0,0,6,0,87141,1,1,2,3.0,2,-3017,7386,10403,54,False,0,1,0,0,0.0347267985343933,3,Pablo Fornals Malla,19,CHE,1190,1140,WHU,1150,1110,2022,0.0347267985343933,,1.4196,1.0,1.4196,0.707333,4.0,0.707333
0,0,11,0,17.1,1043,0.0724567025899887,0.05,0.0,0.31,75,1,0,3.2,11.2,2022-09-18,61,8,0,0,0,0,8,0,104299,1,0,1,4.0,2,12743,19554,6811,54,False,0,0,1,0,0.0,3,Pablo Fornals Malla,19,EVE,1070,1040,WHU,1150,1110,2022,0.0,,0.655351,2.0,0.655351,0.39773,3.0,0.39773
0,0,5,0,1.8,1043,0.0,0.17,0.1465190052986145,0.58,90,0,0,2.9,4.8,2022-10-01,56,20,0,0,0,0,9,0,93454,0,0,2,22.0,1,-4041,6931,10972,54,True,0,4,0,0,0.1465190052986145,3,Pablo Fornals Malla,19,WOL,1100,1080,WHU,1145,1060,2022,0.1465190052986145,,1.03934,4.0,1.03934,0.575988,10.0,0.575988
0,0,12,0,18.8,1043,0.1409119963645935,0.17,0.0,0.7,100,1,0,2.4,3.6,2022-10-09,90,9,0,0,0,0,10,0,83036,1,1,3,2.0,2,-10509,2525,13034,53,True,0,0,1,0,0.0,3,Pablo Fornals Malla,19,FUL,1065,1140,WHU,1145,1060,2022,0.0,,3.43676,7.0,2.67559,0.549848,5.0,0.549848
0,0,0,0,0.0,1043,0.0,0.0,0.0,0.0,108,0,0,0.0,0.0,2022-10-16,0,17,0,0,0,0,11,0,76211,0,1,1,0.0,0,-7058,1113,8171,53,False,0,0,0,0,0.0,3,Pablo Fornals Malla,19,SOU,1070,1060,WHU,1150,1110,2022,0.0,,1.70727,8.0,1.70727,0.524479,2.0,0.524479
