assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06 14:00:00+00:00,0,15,0,0,0,0,1,0,1985,0,0,2,0.0,0,0,0,0,50,False,0,3,Xande Nascimento da Costa Silva,16,1,NEW,1250,1165,NFO,1100,1105,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,18,0,0,0.0,0.0,2022-08-14 13:00:00+00:00,0,19,0,0,0,0,2,0,1160,0,0,1,0.0,0,-805,0,805,50,True,0,3,Xande Nascimento da Costa Silva,16,2,WHU,1150,1110,NFO,1065,1030,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,23,0,0,0.0,0.0,2022-08-20 14:00:00+00:00,0,8,0,0,0,0,3,0,856,0,1,1,0.0,0,-320,0,320,50,False,0,3,Xande Nascimento da Costa Silva,16,3,EVE,1070,1040,NFO,1100,1105,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2022-08-28 15:30:00+00:00,0,18,0,0,0,0,4,0,691,0,2,0,0.0,0,-172,0,172,50,True,0,3,Xande Nascimento da Costa Silva,16,4,TOT,1210,1230,NFO,1065,1030,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,49,0,0,0.0,0.0,2022-08-31 18:30:00+00:00,0,13,0,0,0,0,5,0,621,0,0,6,0.0,0,-70,0,70,50,False,0,3,Xande Nascimento da Costa Silva,16,5,MCI,1340,1360,NFO,1100,1105,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,58,0,0,0.0,0.0,2022-09-03 14:00:00+00:00,0,3,0,0,0,0,6,0,585,0,3,2,0.0,0,-34,0,34,50,True,0,3,Xande Nascimento da Costa Silva,16,6,BOU,1110,1080,NFO,1065,1030,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,78,0,0,0.0,0.0,2022-09-16 19:00:00+00:00,0,9,0,0,0,0,8,0,546,0,3,2,0.0,0,-13,0,13,50,True,0,3,Xande Nascimento da Costa Silva,16,8,FUL,1065,1140,NFO,1065,1030,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,86,0,0,0.0,0.0,2022-10-03 19:00:00+00:00,0,10,0,0,0,0,9,0,524,0,0,4,0.0,0,-23,0,23,50,False,0,3,Xande Nascimento da Costa Silva,16,9,LEI,1065,1200,NFO,1100,1105,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2022-10-10 19:00:00+00:00,0,2,0,0,0,0,10,0,515,0,1,1,0.0,0,-9,0,9,50,True,0,3,Xande Nascimento da Costa Silva,16,10,AVL,1075,1130,NFO,1065,1030,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,110,0,0,0.0,0.0,2022-10-15 14:00:00+00:00,0,20,0,0,0,0,11,0,504,0,0,1,0.0,0,-11,0,11,50,False,0,3,Xande Nascimento da Costa Silva,16,11,WOL,1100,1060,NFO,1100,1105,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,114,0,0,0.0,0.0,2022-10-18 18:30:00+00:00,0,5,0,0,0,0,12,0,493,0,0,0,0.0,0,-10,0,10,50,False,0,3,Xande Nascimento da Costa Silva,16,12,BHA,1140,1200,NFO,1100,1105,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,126,0,0,0.0,0.0,2022-10-22 11:30:00+00:00,0,12,0,0,0,0,13,0,487,0,0,1,0.0,0,-7,0,7,50,True,0,3,Xande Nascimento da Costa Silva,16,13,LIV,1250,1300,NFO,1065,1030,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,131,0,0,0.0,0.0,2022-10-30 14:00:00+00:00,0,1,0,0,0,0,14,0,477,0,0,5,0.0,0,-10,0,10,50,False,0,3,Xande Nascimento da Costa Silva,16,14,ARS,1250,1240,NFO,1100,1105,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,146,0,0,0.0,0.0,2022-11-05 15:00:00+00:00,0,4,0,0,0,0,15,0,470,0,2,2,0.0,0,-7,0,7,50,True,0,3,Xande Nascimento da Costa Silva,16,15,BRE,1160,1200,NFO,1065,1030,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,157,0,0,0.0,0.0,2022-11-12 15:00:00+00:00,0,7,0,0,0,0,16,0,470,0,0,1,0.0,0,0,0,0,50,True,0,3,Xande Nascimento da Costa Silva,16,16,CRY,1110,1090,NFO,1065,1030,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,169,0,0,0.0,0.0,2022-12-27 20:00:00+00:00,0,14,0,0,0,0,17,0,459,0,0,3,0.0,0,-9,0,9,50,False,0,3,Xande Nascimento da Costa Silva,16,17,MUN,1140,1165,NFO,1100,1105,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-01-01 16:30:00+00:00,0,6,0,0,0,0,18,0,459,0,1,1,0.0,0,-2,0,2,50,True,0,3,Xande Nascimento da Costa Silva,16,18,CHE,1220,1220,NFO,1065,1030,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,190,0,0,0.0,0.0,2023-01-04 19:30:00+00:00,0,17,0,0,0,0,19,0,456,0,1,0,0.0,0,-3,0,3,50,False,0,3,Xande Nascimento da Costa Silva,16,19,SOU,1070,1060,NFO,1100,1105,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,198,0,0,0.0,0.0,2023-01-14 15:00:00+00:00,0,10,0,0,0,0,20,0,455,0,0,2,0.0,0,-1,0,1,50,True,0,3,Xande Nascimento da Costa Silva,16,20,LEI,1110,1120,NFO,1065,1030,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,202,0,0,0.0,0.0,2023-01-21 15:00:00+00:00,0,3,0,0,0,0,21,0,455,0,1,1,0.0,0,0,0,0,50,False,0,3,Xande Nascimento da Costa Silva,16,21,BOU,1020,1050,NFO,1100,1105,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,218,0,0,0.0,0.0,2023-02-05 14:00:00+00:00,0,11,0,0,0,0,22,0,450,0,0,1,0.0,0,-5,0,5,50,True,0,3,Xande Nascimento da Costa Silva,16,22,LEE,1075,1120,NFO,1065,1030,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,224,0,0,0.0,0.0,2023-02-11 15:00:00+00:00,0,9,0,0,0,0,23,0,447,0,0,2,0.0,0,-3,0,3,50,False,0,3,Xande Nascimento da Costa Silva,16,23,FUL,1070,1120,NFO,1100,1105,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,238,0,0,0.0,0.0,2023-02-18 15:00:00+00:00,0,13,0,0,0,0,24,0,447,0,1,1,0.0,0,0,0,0,50,True,0,3,Xande Nascimento da Costa Silva,16,24,MCI,1340,1380,NFO,1065,1030,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2023-02-25 15:00:00+00:00,0,19,0,0,0,0,25,0,443,0,0,4,0.0,0,-4,0,4,50,False,0,3,Xande Nascimento da Costa Silva,16,25,WHU,1145,1060,NFO,1100,1105,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,258,0,0,0.0,0.0,2023-03-05 14:00:00+00:00,0,8,0,0,0,0,26,0,442,0,2,2,0.0,0,-1,0,1,50,True,0,3,Xande Nascimento da Costa Silva,16,26,EVE,1100,1090,NFO,1065,1030,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,269,0,0,0.0,0.0,2023-03-11 15:00:00+00:00,0,18,0,0,0,0,27,0,438,0,1,3,0.0,0,-4,0,4,50,False,0,3,Xande Nascimento da Costa Silva,16,27,TOT,1140,1170,NFO,1100,1105,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,278,0,0,0.0,0.0,2023-03-17 20:00:00+00:00,0,15,0,0,0,0,28,0,437,0,2,1,0.0,0,-1,0,1,50,True,0,3,Xande Nascimento da Costa Silva,16,28,NEW,1300,1220,NFO,1065,1030,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,289,0,0,0.0,0.0,2023-04-01 14:00:00+00:00,0,20,0,0,0,0,29,0,436,0,1,1,0.0,0,-1,0,1,50,True,0,3,Xande Nascimento da Costa Silva,16,29,WOL,1100,1080,NFO,1065,1030,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2023-04-04 18:45:00+00:00,0,11,0,0,0,0,29,0,436,0,1,2,0.0,0,-1,0,1,50,False,0,3,Xande Nascimento da Costa Silva,16,29,LEE,1070,1130,NFO,1100,1105,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,291,0,0,0.0,0.0,2023-04-08 14:00:00+00:00,0,2,0,0,0,0,30,0,436,0,0,2,0.0,0,0,0,0,50,False,0,3,Xande Nascimento da Costa Silva,16,30,AVL,1070,1070,NFO,1100,1105,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,306,0,0,0.0,0.0,2023-04-16 15:30:00+00:00,0,14,0,0,0,0,31,0,436,0,2,0,0.0,0,0,0,0,50,True,0,3,Xande Nascimento da Costa Silva,16,31,MUN,1220,1220,NFO,1065,1030,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,318,0,0,0.0,0.0,2023-04-22 14:00:00+00:00,0,12,0,0,0,0,32,0,436,0,2,3,0.0,0,0,0,0,50,False,0,3,Xande Nascimento da Costa Silva,16,32,LIV,1180,1260,NFO,1100,1105,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,324,0,0,0.0,0.0,2023-04-26 18:30:00+00:00,0,5,0,0,0,0,33,0,436,0,1,3,0.0,0,0,0,0,50,True,0,3,Xande Nascimento da Costa Silva,16,33,BHA,1150,1200,NFO,1065,1030,1,2022
0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,333,0,0,0.0,0.0,2023-04-29 14:00:00+00:00,0,4,0,0,0,0,34,0,436,0,1,2,0.0,0,0,0,0,50,False,0,3,Xande Nascimento da Costa Silva,16,34,BRE,1100,1130,NFO,1100,1105,1,2022
