id,first_name,second_name,position
691,Granit,Xhaka,MID
692,Mohamed,Elneny,MID
202,Rob,Holding,DEF
20,Thomas,Partey,MID
13,Martin,Ødegaard,MID
21,Kieran,Tierney,DEF
693,Nicolas,Pépé,MID
24,Benjamin,White,DEF
11,Eddie,Nketiah,FWD
19,Emile,Smith Rowe,MID
17,Bukayo,Saka,MID
694,Takehiro,Tomiyasu,DEF
14,Aaron,Ramsdale,GK
3,Gabriel,dos Santos Magalhães,DEF
695,Nuno,Varela Tavares,DEF
9,Gabriel,Martinelli Silva,MID
696,Pablo,Marí Villar,DEF
697,Lucas,Torreira di Pascua,MID
10,Reiss,Nelson,MID
445,Matt,Turner,GK
1,Fábio,Ferreira Vieira,MID
18,William,Saliba,DEF
698,Marcus,Oliveira Alencar,MID
2,Gabriel,Fernando de Jesus,FWD
23,Leandro,Trossard,MID
7,Jorge Luiz,Frello Filho,MID
25,Oleksandr,Zinchenko,DEF
699,Matthew,Smith,MID
12,Ethan,Nwaneri,MID
56,Lino,da Cruz Sousa,DEF
5,Karl,Hein,GK
118,Amario,Cozier-Duberry,MID
665,Nathan,Butler-Oyedeji,FWD
8,Jakub,Kiwior,DEF
701,Reuell,Walters,DEF
702,Mauro,Bandeira,MID
703,Philippe,Coutinho Correia,MID
47,Emiliano,Martínez Romero,GK
704,Calum,Chambers,DEF
36,Lucas,Digne,DEF
705,Bertrand,Traoré,MID
51,Robin,Olsen,GK
706,Morgan,Sanson,MID
48,John,McGinn,MID
40,Kortney,Hause,DEF
49,Tyrone,Mings,DEF
58,Ollie,Watkins,FWD
707,Marvelous,Nakamba,MID
31,Emiliano,Buendía Stati,MID
32,Matty,Cash,DEF
44,Ezri,Konsa Ngoyo,DEF
28,Leon,Bailey,MID
708,Douglas Luiz,Soares de Paulo,MID
53,Jacob,Ramsey,MID
226,Tim,Iroegbunam,MID
35,Diego Carlos,Santos Silva,DEF
709,Anwar,El Ghazi,MID
710,Keinan,Davis,FWD
42,Boubacar,Kamara,MID
27,Cameron,Archer,FWD
569,Jaden,Philogene,MID
712,Frédéric,Guilbert,DEF
33,Leander,Dendoncker,MID
713,Ludwig,Augustinsson,DEF
43,Kaine,Kesler-Hayden,DEF
238,Ashley,Young,DEF
598,Lamare,Bogarde,DEF
46,Filip,Marschall,GK
656,Kadan,Young,MID
26,Álex,Moreno Lopera,DEF
55,Viljami,Sinisalo,GK
38,Jhon,Durán,FWD
640,Sil,Swinkels,DEF
641,Oliwier,Zych,GK
