assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,9,0,1.3,395,0.0,0.17,0.1185212582349777,1.9,6,1,0,3.2,21.4,2023-08-12,90,2,0,0,0,0,1,0,282988,1,1,5,9.0,2,0,0,0,45,True,0,1,0,0,0.1185212582349777,2,Dan Burn,15,AVL,1220,1350,NEW,1050,1160,2023,0.1185212582349777,,4.32208,9.0,4.32208,1.486,6.0,1.486
0,0,12,0,1.8,395,0.0,0.01,0.0,1.09,16,1,0,1.6,14.0,2023-08-19,90,13,0,0,0,0,2,0,289167,1,0,1,0.0,2,-11219,12033,23252,45,False,0,0,0,0,0.0,2,Dan Burn,15,MCI,1350,1360,NEW,1210,1355,2023,0.0,,0.257154,5.0,0.257154,1.22528,9.0,1.22528
0,0,15,0,12.2,395,0.0723522156476974,0.01,0.0,0.95,29,2,0,3.7,23.2,2023-08-27,90,12,0,0,0,0,3,0,283304,1,2,1,2.0,1,-11656,9177,20833,45,True,0,0,1,0,0.0,2,Dan Burn,15,LIV,1350,1390,NEW,1050,1160,2023,0.0,,1.62037,5.0,1.62037,0.856121,5.0,0.856121
0,0,4,0,0.3,395,0.0,0.0,0.0,1.42,33,3,0,0.5,0.2,2023-09-02,90,5,0,0,0,0,4,0,285799,1,1,3,4.0,0,-2094,17617,19711,45,False,1,0,0,0,0.0,2,Dan Burn,15,BHA,1070,1135,NEW,1210,1355,2023,0.0,,0.90476,7.0,0.90476,1.32258,9.0,1.32258
0,0,25,1,12.6,395,0.0683114752173423,0.02,0.0,0.54,46,0,0,3.4,19.8,2023-09-16,90,4,0,0,0,0,5,0,304755,1,0,1,2.0,6,13344,43255,29911,45,True,0,0,1,0,0.0,2,Dan Burn,15,BRE,1055,1150,NEW,1050,1160,2023,0.0,,1.50126,8.0,0.740091,0.633678,4.0,0.633678
0,0,42,1,5.7,395,0.0,0.4,0.5791530609130859,0.94,60,0,1,9.9,50.6,2023-09-24,90,23,0,0,0,0,6,0,343621,1,8,0,43.0,12,35721,48374,12653,45,False,0,2,0,1,0.5791530609130859,2,Dan Burn,15,SHU,1045,1020,NEW,1210,1355,2023,0.5791530609130859,,5.1082,11.0,5.1082,0.579392,5.0,0.579392
0,0,20,1,1.1,395,0.0,0.18,0.3769519031047821,0.65,66,0,0,1.6,11.0,2023-09-30,90,21,0,0,0,0,7,0,429291,1,0,2,4.0,6,84965,127020,42055,45,True,0,1,0,0,0.3769519031047821,2,Dan Burn,15,BUR,1050,1050,NEW,1050,1160,2023,0.3769519031047821,,3.08516,7.0,2.32399,0.801849,5.0,0.801849
0,0,15,0,18.8,395,0.5990544557571411,0.34,0.1019997969269752,1.22,79,2,0,6.0,14.8,2023-10-08,90,19,0,0,0,0,8,0,1002483,1,2,2,26.0,1,547502,616582,69080,46,False,0,3,1,0,0.1019997969269752,2,Dan Burn,15,WHU,1055,1150,NEW,1210,1355,2023,0.1019997969269752,,1.97865,6.0,1.97865,0.931345,2.0,0.931345
0,0,26,1,1.9,395,0.0,0.02,0.0,1.21,87,0,0,1.7,15.0,2023-10-21,90,7,0,0,0,0,9,0,1208039,1,0,4,0.0,6,204838,243717,38879,47,True,0,0,0,0,0.0,2,Dan Burn,15,CRY,1120,1085,NEW,1050,1160,2023,0.0,,3.73336,9.0,3.73336,1.08795,3.0,1.08795
0,0,7,0,1.0,395,0.0,0.07,0.0159574728459119,0.98,100,2,0,3.4,15.6,2023-10-28,90,20,0,0,0,0,10,0,1332171,1,2,2,17.0,0,122166,185594,63428,47,False,1,1,0,0,0.0159574728459119,2,Dan Burn,15,WOL,1085,1115,NEW,1210,1355,2023,0.0159574728459119,,2.31987,3.0,1.5587,0.863393,8.0,0.863393
