assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,10,0,0.0,469,0.0,0.0,0.0,0.75,2,2,0,1.8,16.2,2023-08-12 12:00:00+00:00,89,1,0,0,0,0,1,0,6457,1,1,2,2.0,1,0,0,0,45,False,0,2,Joe Worrall,16,1,ARS,1370,1330,NFO,1125,1080,1,2023
0,0,18,0,21.1,469,0.31,0.41,0.1,0.51,17,1,0,4.8,14.8,2023-08-18 18:45:00+00:00,90,17,0,0,0,0,2,0,8283,1,1,2,12.0,2,142,1113,971,45,True,0,2,Joe Worrall,16,2,SHU,1020,1060,NFO,1050,1080,1,2023
0,0,-2,0,0.2,469,0.0,0.0,0.0,3.83,28,3,0,0.0,0.2,2023-08-26 14:00:00+00:00,66,14,0,0,0,1,3,0,7554,1,2,3,0.0,-2,-1152,179,1331,45,False,0,2,Joe Worrall,16,3,MUN,1130,1120,NFO,1125,1080,1,2023
0,3,25,1,0.1,469,0.0,0.0,0.0,2.13,35,0,0,2.9,28.8,2023-09-02 14:00:00+00:00,90,7,0,0,0,0,4,0,7252,1,1,0,0.0,9,-753,70,823,45,False,0,2,Joe Worrall,16,4,CHE,1080,1170,NFO,1125,1080,1,2023
0,0,13,0,0.5,469,0.0,0.0,0.0,0.56,47,1,0,1.7,14.0,2023-09-18 18:45:00+00:00,90,6,0,0,0,0,5,0,10282,1,1,1,2.0,2,1585,2073,488,45,True,0,2,Joe Worrall,16,5,BUR,1050,1050,NFO,1050,1080,1,2023
0,0,0,0,0.0,469,0.0,0.0,0.0,0.0,59,0,0,0.0,0.0,2023-09-23 14:00:00+00:00,0,13,0,0,0,0,6,0,10072,0,0,2,0.0,0,-299,572,871,45,False,0,2,Joe Worrall,16,6,MCI,1350,1360,NFO,1125,1080,1,2023
0,0,0,0,0.0,469,0.0,0.0,0.0,0.0,67,0,0,0.0,0.0,2023-10-01 13:00:00+00:00,0,4,0,0,0,0,7,0,9775,0,1,1,0.0,0,-506,393,899,45,True,0,2,Joe Worrall,16,7,BRE,1055,1150,NFO,1050,1080,1,2023
0,0,0,0,0.0,469,0.0,0.0,0.0,0.0,74,0,0,0.0,0.0,2023-10-07 16:30:00+00:00,0,8,0,0,0,0,8,0,9487,0,0,0,0.0,0,-507,156,663,45,False,0,2,Joe Worrall,16,8,CRY,1080,1060,NFO,1125,1080,1,2023
0,0,5,0,0.2,469,0.0,0.0,0.0,1.1,88,2,0,1.0,8.0,2023-10-21 14:00:00+00:00,12,12,0,0,0,0,9,0,9546,0,2,2,2.0,0,-223,268,491,45,True,0,2,Joe Worrall,16,9,LUT,1060,1120,NFO,1050,1080,1,2023
0,0,0,0,0.0,469,0.0,0.0,0.0,0.0,97,0,0,0.0,0.0,2023-10-29 14:00:00+00:00,0,11,0,0,0,0,10,0,9075,0,0,3,0.0,0,-563,44,607,45,False,0,2,Joe Worrall,16,10,LIV,1210,1270,NFO,1125,1080,1,2023
