assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,3,0,0.0,305,0.0,0.16,0.4424034655094147,0.1,40,0,0,4.1,7.8,2023-09-02,22,8,0,0,0,0,4,0,586,0,2,2,33.0,1,368,422,54,40,True,0,1,0,0,0.4424034655094147,2,Luke Thomas,23,EVE,1125,1080,SHU,1045,1020,2023,0.4424034655094147,,1.575,5.0,1.575,2.73871,3.0,2.73871
0,0,8,0,0.7,305,0.0,0.0,0.0,1.87,48,2,0,1.7,16.2,2023-09-16,90,18,0,0,0,0,5,0,4145,1,1,2,0.0,1,1826,2269,443,40,False,0,0,0,0,0.0,2,Luke Thomas,23,TOT,1110,1230,SHU,1020,1060,2023,0.0,,0.790655,4.0,0.790655,2.15909,21.0,2.15909
0,0,13,0,2.0,305,0.0,0.28,0.1337843388319015,3.94,60,8,0,1.8,7.0,2023-09-24,90,15,0,0,0,0,6,0,4931,1,8,0,9.0,-2,584,947,363,40,True,0,2,0,0,0.1337843388319015,2,Luke Thomas,23,NEW,1210,1355,SHU,1045,1020,2023,0.1337843388319015,,0.579392,5.0,0.579392,5.1082,11.0,5.1082
0,0,18,0,26.3,305,0.0436691865324974,0.11,0.0480884574353694,2.14,69,2,0,5.7,23.6,2023-09-30,90,19,0,0,0,0,7,0,5154,1,0,2,7.0,1,99,589,490,40,False,0,1,1,0,0.0480884574353694,2,Luke Thomas,23,WHU,1055,1150,SHU,1020,1060,2023,0.0480884574353694,,0.911997,5.0,0.911997,3.19753,16.0,3.19753
0,0,6,0,1.3,305,0.0,0.01,0.0,1.75,76,1,0,1.4,12.4,2023-10-07,65,9,0,0,0,0,8,0,5814,1,1,3,0.0,2,380,884,504,40,False,0,0,0,0,0.0,2,Luke Thomas,23,FUL,1050,1060,SHU,1020,1060,2023,0.0,,0.251809,0.0,0.251809,2.26612,9.0,2.26612
0,0,5,0,1.7,305,0.0,0.02,0.0,1.05,89,2,0,1.4,6.4,2023-10-21,90,14,0,0,0,0,9,0,6756,1,2,1,6.0,0,508,996,488,40,True,1,0,0,0,0.0,2,Luke Thomas,23,MUN,1210,1230,SHU,1045,1020,2023,0.0,,1.41074,7.0,0.649567,1.46187,7.0,1.46187
0,0,6,0,0.6,305,0.0,0.01,0.0,2.78,91,5,0,1.1,10.2,2023-10-28,90,1,0,0,0,0,10,0,7500,1,0,5,0.0,0,582,1061,479,40,False,0,0,0,0,0.0,2,Luke Thomas,23,ARS,1370,1330,SHU,1020,1060,2023,0.0,,0.0281554,1.0,0.0281554,3.03496,9.0,2.27379
0,0,10,0,16.1,305,0.0263269674032926,0.04,0.0,1.33,109,1,0,2.9,12.6,2023-11-04,90,20,0,0,0,0,11,0,7798,1,1,2,0.0,2,100,600,500,40,True,0,0,1,0,0.0,2,Luke Thomas,23,WOL,1105,1100,SHU,1045,1020,2023,0.0,,1.10165,3.0,0.340518,1.14803,4.0,1.14803
0,0,4,0,1.8,305,0.0,0.05,0.0218441225588321,1.54,114,1,0,1.7,10.4,2023-11-12,90,5,0,0,0,0,12,0,7997,1,1,1,5.0,2,69,455,386,40,False,0,1,0,0,0.0218441225588321,2,Luke Thomas,23,BHA,1070,1135,SHU,1020,1060,2023,0.0218441225588321,,0.84434,13.0,0.84434,1.08601,4.0,1.08601
0,0,1,0,2.4,305,0.0,0.03,0.0395804196596145,2.24,129,3,0,1.4,7.2,2023-11-25,65,3,0,0,0,0,13,0,8957,1,3,1,4.0,0,645,1025,380,40,True,1,1,0,0,0.0395804196596145,2,Luke Thomas,23,BOU,1130,1075,SHU,1045,1020,2023,0.0395804196596145,,0.816227,7.0,0.816227,3.13975,7.0,3.13975
0,0,0,0,0.7,305,0.0,0.0,0.0,0.7,134,2,0,0.7,6.6,2023-12-02,45,21,0,0,0,0,14,0,9100,1,0,5,0.0,-1,135,494,359,40,False,1,0,0,0,0.0,2,Luke Thomas,23,BUR,1050,1040,SHU,1020,1060,2023,0.0,,0.618131,3.0,0.618131,2.60469,13.0,2.60469
0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,147,0,0,0.0,0.0,2023-12-06,0,12,0,0,0,0,15,0,8906,0,2,0,0.0,0,-259,211,470,40,True,0,0,0,0,0.0,2,Luke Thomas,23,LIV,1350,1390,SHU,1045,1020,2023,0.0,,0.834172,2.0,0.834172,1.80116,14.0,1.80116
0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,158,0,0,0.0,0.0,2023-12-09,0,4,0,0,0,0,16,0,8872,0,0,1,0.0,0,-154,181,335,40,True,0,0,0,0,0.0,2,Luke Thomas,23,BRE,1055,1150,SHU,1045,1020,2023,0.0,,0.841976,6.0,0.841976,0.644638,7.0,0.644638
0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,165,0,0,0.0,0.0,2023-12-16,0,6,0,0,0,0,17,0,8733,0,0,2,0.0,0,-295,205,500,40,False,0,0,0,0,0.0,2,Luke Thomas,23,CHE,1080,1170,SHU,1020,1060,2023,0.0,,0.44014,3.0,0.44014,3.27322,13.0,3.27322
0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2023-12-22,0,2,0,0,0,0,18,0,8528,0,1,1,0.0,0,-299,97,396,40,False,0,0,0,0,0.0,2,Luke Thomas,23,AVL,1140,1180,SHU,1020,1060,2023,0.0,,0.646159,2.0,0.646159,1.21861,10.0,1.21861
0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,190,0,0,0.0,0.0,2023-12-26,0,22,0,0,0,0,19,0,8521,0,3,2,0.0,0,-118,125,243,40,True,0,0,0,0,0.0,2,Luke Thomas,23,LUT,1060,1120,SHU,1045,1020,2023,0.0,,3.61788,7.0,3.61788,0.715575,3.0,0.715575
0,0,6,0,0.3,305,0.0,0.0,0.0,2.26,196,2,0,0.8,7.4,2023-12-30,89,13,0,0,0,0,20,0,8403,1,0,2,0.0,1,-213,87,300,40,False,0,0,0,0,0.0,2,Luke Thomas,23,MCI,1350,1360,SHU,1020,1060,2023,0.0,,0.263211,1.0,0.263211,2.24229,12.0,2.24229
0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,210,0,0,0.0,0.0,2024-01-21,0,19,0,0,0,0,21,0,8094,0,2,2,0.0,0,-479,164,643,40,True,0,0,0,0,0.0,2,Luke Thomas,23,WHU,1140,1150,SHU,1045,1020,2023,0.0,,2.61362,9.0,1.85245,2.4241,5.0,1.66293
0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,212,0,0,0.0,0.0,2024-01-30,0,7,0,0,0,0,22,0,7387,0,2,3,0.0,0,-743,24,767,40,False,0,0,0,0,0.0,2,Luke Thomas,23,CRY,1080,1060,SHU,1020,1060,2023,0.0,,0.768467,7.0,0.768467,1.1601,8.0,1.1601
0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,230,0,0,0.0,0.0,2024-02-03,0,2,0,0,0,0,23,0,7101,0,5,0,0.0,0,-305,0,305,40,True,0,0,0,0,0.0,2,Luke Thomas,23,AVL,1220,1350,SHU,1045,1020,2023,0.0,,1.52784,7.0,1.52784,2.99015,5.0,2.99015
0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,235,0,0,0.0,0.0,2024-02-10,0,22,0,0,0,0,24,0,6756,0,3,1,0.0,0,-347,0,347,40,False,0,0,0,0,0.0,2,Luke Thomas,23,LUT,1020,1090,SHU,1020,1060,2023,0.0,,1.98283,4.0,1.22166,1.76215,9.0,1.00099
0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,249,0,0,0.0,0.0,2024-02-18,0,5,0,0,0,0,25,0,6448,0,5,0,0.0,0,-272,0,272,40,True,0,0,0,0,0.0,2,Luke Thomas,23,BHA,1180,1240,SHU,1045,1020,2023,0.0,,0.586214,3.0,0.586214,3.35549,15.0,3.35549
0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,260,0,0,0.0,0.0,2024-02-25,0,20,0,0,0,0,26,0,6212,0,0,1,0.0,0,-241,0,241,40,False,0,0,0,0,0.0,2,Luke Thomas,23,WOL,1085,1115,SHU,1020,1060,2023,0.0,,0.654342,5.0,0.654342,1.21618,7.0,1.21618
0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,269,0,0,0.0,0.0,2024-03-04,0,1,0,0,0,0,27,0,6114,0,6,0,0.0,0,-135,0,135,40,True,0,0,0,0,0.0,2,Luke Thomas,23,ARS,1370,1360,SHU,1045,1020,2023,0.0,,0.201374,2.0,0.201374,2.47294,22.0,2.47294
0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,273,0,0,0.0,0.0,2024-03-09,0,3,0,0,0,0,28,0,5989,0,2,2,0.0,0,-125,0,125,40,False,0,0,0,0,0.0,2,Luke Thomas,23,BOU,1055,1145,SHU,1020,1060,2023,0.0,,1.91752,2.0,1.91752,3.92657,15.0,3.1654
0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,299,0,0,0.0,0.0,2024-03-30,0,9,0,0,0,0,30,0,5843,0,3,3,0.0,0,-84,0,84,40,True,0,0,0,0,0.0,2,Luke Thomas,23,FUL,1180,1170,SHU,1045,1020,2023,0.0,,1.78824,4.0,1.78824,1.10254,10.0,1.10254
0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,308,0,0,0.0,0.0,2024-04-04,0,12,0,0,0,0,31,0,5791,0,1,3,0.0,0,-54,0,54,40,False,0,0,0,0,0.0,2,Luke Thomas,23,LIV,1210,1270,SHU,1020,1060,2023,0.0,,0.720948,2.0,0.720948,2.51772,18.0,2.51772
0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,318,0,0,0.0,0.0,2024-04-07,0,6,0,0,0,0,32,0,5738,0,2,2,0.0,0,-53,0,53,40,True,0,0,0,0,0.0,2,Luke Thomas,23,CHE,1150,1230,SHU,1045,1020,2023,0.0,,1.74265,6.0,1.74265,0.521789,6.0,0.521789
