assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,10,0,10.9,1005,0.01,0.01,0.0,1.8,7,1,0,3.8,27.2,2023-08-12 14:00:00+00:00,79,8,0,0,0,0,1,0,6487,1,1,0,0.0,2,0,0,0,45,True,0,2,Max Lowe,17,CRY,1120,1085,SHU,1045,1020,1,2023
0,0,1,0,0.1,1005,0.0,0.0,0.0,0.82,17,1,0,0.4,2.2,2023-08-18 18:45:00+00:00,45,16,0,0,0,0,2,0,8109,1,1,2,2.0,1,-92,616,708,45,False,0,2,Max Lowe,17,NFO,1050,1080,SHU,1020,1060,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,2023-08-27 13:00:00+00:00,0,13,0,0,0,0,3,0,7402,0,2,1,0.0,0,-1134,131,1265,45,True,0,2,Max Lowe,17,MCI,1360,1370,SHU,1045,1020,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2023-09-02 11:30:00+00:00,0,9,0,0,0,0,4,0,5535,0,2,2,0.0,0,-1885,55,1940,45,True,0,2,Max Lowe,17,EVE,1125,1080,SHU,1045,1020,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,48,0,0,0.0,0.0,2023-09-16 14:00:00+00:00,0,18,0,0,0,0,5,0,4608,0,1,2,0.0,0,-980,52,1032,44,False,0,2,Max Lowe,17,TOT,1110,1230,SHU,1020,1060,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,60,0,0,0.0,0.0,2023-09-24 15:30:00+00:00,0,15,0,0,0,0,6,0,4280,0,8,0,0.0,0,-368,80,448,44,True,0,2,Max Lowe,17,NEW,1210,1355,SHU,1045,1020,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,69,0,0,0.0,0.0,2023-09-30 14:00:00+00:00,0,19,0,0,0,0,7,0,3903,0,0,2,0.0,0,-367,31,398,44,False,0,2,Max Lowe,17,WHU,1055,1150,SHU,1020,1060,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,76,0,0,0.0,0.0,2023-10-07 14:00:00+00:00,0,10,0,0,0,0,8,0,3770,0,1,3,0.0,0,-149,107,256,44,False,0,2,Max Lowe,17,FUL,1050,1060,SHU,1020,1060,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2023-10-21 19:00:00+00:00,0,14,0,0,0,0,9,0,3580,0,2,1,0.0,0,-202,37,239,44,True,0,2,Max Lowe,17,MUN,1210,1230,SHU,1045,1020,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,91,0,0,0.0,0.0,2023-10-28 14:00:00+00:00,0,1,0,0,0,0,10,0,3443,0,0,5,0.0,0,-140,11,151,44,False,0,2,Max Lowe,17,ARS,1370,1330,SHU,1020,1060,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,109,0,0,0.0,0.0,2023-11-04 15:00:00+00:00,0,20,0,0,0,0,11,0,3332,0,1,2,0.0,0,-113,12,125,43,True,0,2,Max Lowe,17,WOL,1105,1100,SHU,1045,1020,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,114,0,0,0.0,0.0,2023-11-12 14:00:00+00:00,0,5,0,0,0,0,12,0,3276,0,1,1,0.0,0,-57,7,64,43,False,0,2,Max Lowe,17,BHA,1070,1135,SHU,1020,1060,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,129,0,0,0.0,0.0,2023-11-25 15:00:00+00:00,0,3,0,0,0,0,13,0,3287,0,3,1,0.0,0,-19,22,41,43,True,0,2,Max Lowe,17,BOU,1130,1075,SHU,1045,1020,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,134,0,0,0.0,0.0,2023-12-02 15:00:00+00:00,0,6,0,0,0,0,14,0,3320,0,0,5,0.0,0,2,31,29,43,False,0,2,Max Lowe,17,BUR,1050,1040,SHU,1020,1060,1,2023
0,0,3,0,0.0,1005,0.0,0.0,0.0,0.47,147,1,0,0.0,0.0,2023-12-06 19:30:00+00:00,2,11,0,0,0,0,15,0,3311,0,2,0,0.0,1,-23,8,31,43,True,0,2,Max Lowe,17,LIV,1350,1390,SHU,1045,1020,1,2023
0,0,3,0,0.8,1005,0.0,0.0,0.0,0.18,158,0,0,0.7,6.4,2023-12-09 15:00:00+00:00,17,4,0,0,0,0,16,0,3337,0,0,1,0.0,1,6,32,26,43,True,0,2,Max Lowe,17,BRE,1055,1150,SHU,1045,1020,1,2023
0,0,5,0,0.7,1005,0.01,0.01,0.0,2.75,165,2,0,2.1,18.0,2023-12-16 15:00:00+00:00,90,7,0,0,0,0,17,0,3371,1,0,2,2.0,0,-3,42,45,43,False,1,2,Max Lowe,17,CHE,1080,1170,SHU,1020,1060,1,2023
0,0,4,0,4.8,1005,0.01,0.01,0.0,0.45,171,1,0,1.0,5.4,2023-12-22 20:00:00+00:00,32,2,0,0,0,0,18,0,3408,0,1,1,0.0,1,-1,36,37,43,False,0,2,Max Lowe,17,AVL,1140,1180,SHU,1020,1060,1,2023
0,0,-3,0,0.8,1005,0.01,0.59,0.58,0.14,190,2,0,1.7,2.4,2023-12-26 15:00:00+00:00,45,12,0,0,0,0,19,0,3509,0,3,2,14.0,0,66,106,40,43,True,0,2,Max Lowe,17,LUT,1060,1120,SHU,1045,1020,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,196,0,0,0.0,0.0,2023-12-30 15:00:00+00:00,0,13,0,0,0,0,20,0,3467,0,0,2,0.0,0,-63,35,98,43,False,0,2,Max Lowe,17,MCI,1350,1360,SHU,1020,1060,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,210,0,0,0.0,0.0,2024-01-21 14:00:00+00:00,0,19,0,0,0,0,21,0,3475,0,2,2,0.0,0,-47,45,92,43,True,0,2,Max Lowe,17,WHU,1140,1150,SHU,1045,1020,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,212,0,0,0.0,0.0,2024-01-30 20:00:00+00:00,0,8,0,0,0,0,22,0,3414,0,2,3,0.0,0,-65,15,80,43,False,0,2,Max Lowe,17,CRY,1080,1060,SHU,1020,1060,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,230,0,0,0.0,0.0,2024-02-03 17:30:00+00:00,0,2,0,0,0,0,23,0,3385,0,5,0,0.0,0,-32,2,34,43,True,0,2,Max Lowe,17,AVL,1220,1350,SHU,1045,1020,1,2023
1,0,15,0,11.2,1005,0.02,0.02,0.0,1.88,235,1,0,4.3,31.8,2024-02-10 15:00:00+00:00,85,12,0,0,0,0,24,0,3347,0,3,1,0.0,5,-38,11,49,43,False,0,2,Max Lowe,17,LUT,1020,1090,SHU,1020,1060,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,249,0,0,0.0,0.0,2024-02-18 14:00:00+00:00,0,5,0,0,0,0,25,0,3704,0,5,0,0.0,0,256,313,57,43,True,0,2,Max Lowe,17,BHA,1180,1240,SHU,1045,1020,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,260,0,0,0.0,0.0,2024-02-25 13:30:00+00:00,0,20,0,0,0,0,26,0,3505,0,0,1,0.0,0,-130,48,178,43,False,0,2,Max Lowe,17,WOL,1085,1115,SHU,1020,1060,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,269,0,0,0.0,0.0,2024-03-04 20:00:00+00:00,0,1,0,0,0,0,27,0,3454,0,6,0,0.0,0,-59,29,88,43,True,0,2,Max Lowe,17,ARS,1370,1360,SHU,1045,1020,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,273,0,0,0.0,0.0,2024-03-09 15:00:00+00:00,0,3,0,0,0,0,28,0,3422,0,2,2,0.0,0,-37,51,88,43,False,0,2,Max Lowe,17,BOU,1055,1145,SHU,1020,1060,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,299,0,0,0.0,0.0,2024-03-30 15:00:00+00:00,0,10,0,0,0,0,30,0,3330,0,3,3,0.0,0,-28,8,36,43,True,0,2,Max Lowe,17,FUL,1180,1170,SHU,1045,1020,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,308,0,0,0.0,0.0,2024-04-04 18:30:00+00:00,0,11,0,0,0,0,31,0,3308,0,1,3,0.0,0,-22,4,26,43,False,0,2,Max Lowe,17,LIV,1210,1270,SHU,1020,1060,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,318,0,0,0.0,0.0,2024-04-07 16:30:00+00:00,0,7,0,0,0,0,32,0,3288,0,2,2,0.0,0,-20,3,23,43,True,0,2,Max Lowe,17,CHE,1150,1230,SHU,1045,1020,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,323,0,0,0.0,0.0,2024-04-13 14:00:00+00:00,0,4,0,0,0,0,33,0,3276,0,0,2,0.0,0,-12,10,22,43,False,0,2,Max Lowe,17,BRE,1110,1090,SHU,1020,1060,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,338,0,0,0.0,0.0,2024-04-20 14:00:00+00:00,0,6,0,0,0,0,34,0,3268,0,4,1,0.0,0,-8,15,23,43,True,0,2,Max Lowe,17,BUR,1050,1050,SHU,1045,1020,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,288,0,0,0.0,0.0,2024-04-24 19:00:00+00:00,0,14,0,0,0,0,34,0,3268,0,2,4,0.0,0,-8,15,23,43,False,0,2,Max Lowe,17,MUN,1130,1120,SHU,1020,1060,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,346,0,0,0.0,0.0,2024-04-27 14:00:00+00:00,0,15,0,0,0,0,35,0,3266,0,1,5,0.0,0,-3,27,30,43,False,0,2,Max Lowe,17,NEW,1050,1160,SHU,1020,1060,1,2023
0,0,0,0,0.0,1005,0.0,0.0,0.0,0.0,360,0,0,0.0,0.0,2024-05-04 14:00:00+00:00,0,16,0,0,0,0,36,0,3253,0,3,1,0.0,0,-13,12,25,43,True,0,2,Max Lowe,17,NFO,1125,1080,SHU,1045,1020,1,2023
0,0,3,0,1.3,1005,0.01,0.01,0.0,0.27,363,0,0,0.4,2.4,2024-05-11 14:00:00+00:00,35,9,0,0,0,0,37,0,3236,0,0,1,0.0,1,-20,13,33,43,False,0,2,Max Lowe,17,EVE,1125,1065,SHU,1020,1060,1,2023
0,0,6,0,1.3,1005,0.02,0.02,0.0,2.34,380,3,0,0.8,6.4,2024-05-19 15:00:00+00:00,68,18,0,0,0,0,38,0,3252,1,3,0,0.0,1,5,31,26,43,True,0,2,Max Lowe,17,TOT,1150,1310,SHU,1045,1020,1,2023
