assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order
0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2023-08-12,0,19,0,0,0,0,1,0,2520,0,1,1,0.0,0,0,0,0,45,True,0,0,0,0,0.0,2,Ryan Fredericks,3,WHU,1140,1150,BOU,1055,1145,2023,0.0,
0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2023-08-19,0,12,0,0,0,0,2,0,1888,0,1,3,0.0,0,-666,43,709,45,False,0,0,0,0,0.0,2,Ryan Fredericks,3,LIV,1210,1270,BOU,1130,1075,2023,0.0,
0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,22,0,0,0.0,0.0,2023-08-26,0,18,0,0,0,0,3,0,1663,0,2,0,0.0,0,-282,59,341,45,True,0,0,0,0,0.0,2,Ryan Fredericks,3,TOT,1150,1310,BOU,1055,1145,2023,0.0,
0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,32,0,0,0.0,0.0,2023-09-02,0,4,0,0,0,0,4,0,1532,0,2,2,0.0,0,-154,44,198,44,False,0,0,0,0,0.0,2,Ryan Fredericks,3,BRE,1110,1090,BOU,1130,1075,2023,0.0,
0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,42,0,0,0.0,0.0,2023-09-17,0,6,0,0,0,0,5,0,1399,0,0,0,0.0,0,-145,51,196,44,True,0,0,0,0,0.0,2,Ryan Fredericks,3,CHE,1150,1230,BOU,1055,1145,2023,0.0,
0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,53,0,0,0.0,0.0,2023-09-24,0,5,0,0,0,0,6,0,1460,0,1,3,0.0,0,21,118,97,44,False,0,0,0,0,0.0,2,Ryan Fredericks,3,BHA,1070,1135,BOU,1130,1075,2023,0.0,
0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2023-09-30,0,1,0,0,0,0,7,0,1384,0,4,0,0.0,0,-79,51,130,44,True,0,0,0,0,0.0,2,Ryan Fredericks,3,ARS,1370,1360,BOU,1055,1145,2023,0.0,
0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,75,0,0,0.0,0.0,2023-10-07,0,8,0,0,0,0,8,0,1319,0,0,3,0.0,0,-68,35,103,44,False,0,0,0,0,0.0,2,Ryan Fredericks,3,EVE,1125,1065,BOU,1130,1075,2023,0.0,
0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,82,0,0,0.0,0.0,2023-10-21,0,20,0,0,0,0,9,0,1310,0,2,1,0.0,0,-17,70,87,44,True,0,0,0,0,0.0,2,Ryan Fredericks,3,WOL,1105,1100,BOU,1055,1145,2023,0.0,
0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2023-10-28,0,21,0,0,0,0,10,0,1280,0,1,2,0.0,0,-35,36,71,44,True,0,0,0,0,0.0,2,Ryan Fredericks,3,BUR,1050,1050,BOU,1055,1145,2023,0.0,
0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,106,0,0,0.0,0.0,2023-11-04,0,13,0,0,0,0,11,0,1252,0,1,6,0.0,0,-34,47,81,44,False,0,0,0,0,0.0,2,Ryan Fredericks,3,MCI,1350,1360,BOU,1130,1075,2023,0.0,
0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,113,0,0,0.0,0.0,2023-11-11,0,15,0,0,0,0,12,0,1248,0,0,2,0.0,0,-9,49,58,44,True,0,0,0,0,0.0,2,Ryan Fredericks,3,NEW,1210,1355,BOU,1055,1145,2023,0.0,
