assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,3,0,0.0,1063,0.0,0.0,0.0,0.02,3,0,0,0.0,0.2,2023-08-12T14:00:00Z,4,3,0,0,0,0,1,0,13890,0,1,1,0.0,1,0,0,0,45,False,0,2,Thilo Kehrer,19,BOU,1055,1145,WHU,1140,1150,2023,,1.4834,8.0,1.4834,1.51025,9.0,1.51025
0,0,0,0,0.0,1063,0.0,0.0,0.0,0.0,19,0,0,0.0,0.0,2023-08-20T15:30:00Z,0,6,0,0,0,0,2,0,14165,0,1,3,0.0,0,-1688,226,1914,45,True,0,2,Thilo Kehrer,19,CHE,1150,1230,WHU,1055,1150,2023,,1.71234,3.0,0.951168,1.60916,9.0,0.847993
0,0,0,0,0.3,1063,0.0,0.0,0.0,0.43,24,1,0,0.8,8.0,2023-08-26T16:30:00Z,11,5,0,0,0,0,3,0,13412,0,3,1,0.0,0,-1411,194,1605,45,False,1,2,Thilo Kehrer,19,BHA,1070,1135,WHU,1140,1150,2023,,2.9527,7.0,2.9527,1.3743,23.0,1.3743
0,0,0,0,0.0,1063,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2023-09-01T19:00:00Z,0,22,0,0,0,0,4,0,13022,0,2,1,0.0,0,-884,610,1494,44,False,0,2,Thilo Kehrer,19,LUT,1020,1090,WHU,1140,1150,2023,,1.22528,6.0,1.22528,2.02244,8.0,2.02244
0,0,3,0,0.4,1063,0.0,0.0,0.0,0.0,49,0,0,0.1,0.2,2023-09-16T14:00:00Z,3,13,0,0,0,0,5,0,12366,0,3,1,0.0,1,-990,335,1325,44,True,0,2,Thilo Kehrer,19,MCI,1360,1370,WHU,1055,1150,2023,,0.895632,1.0,0.895632,4.15046,16.0,4.15046
0,0,0,0,0.0,1063,0.0,0.0,0.0,0.0,57,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,12,0,0,0,0,6,0,12123,0,1,3,0.0,0,-359,207,566,44,False,0,2,Thilo Kehrer,19,LIV,1210,1270,WHU,1140,1150,2023,,1.53878,1.0,1.53878,4.14262,14.0,3.38145
0,0,0,0,0.0,1063,0.0,0.0,0.0,0.0,69,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,23,0,0,0,0,7,0,11909,0,0,2,0.0,0,-307,320,627,44,True,0,2,Thilo Kehrer,19,SHU,1020,1060,WHU,1055,1150,2023,,3.19753,16.0,3.19753,0.911997,5.0,0.911997
0,0,0,0,0.0,1063,0.0,0.0,0.0,0.0,79,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,15,0,0,0,0,8,0,11770,0,2,2,0.0,0,-256,394,650,43,True,0,2,Thilo Kehrer,19,NEW,1210,1355,WHU,1055,1150,2023,,0.931345,2.0,0.931345,1.97865,6.0,1.97865
0,0,0,0,0.0,1063,0.0,0.0,0.0,0.0,81,0,0,0.0,0.0,2023-10-22T15:30:00Z,0,2,0,0,0,0,9,0,11801,0,1,4,0.0,0,-114,360,474,43,False,0,2,Thilo Kehrer,19,AVL,1140,1180,WHU,1140,1150,2023,,0.659622,4.0,0.659622,2.34143,9.0,1.58026
0,0,0,0,0.0,1063,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2023-10-29T13:00:00Z,0,8,0,0,0,0,10,0,11800,0,1,0,0.0,0,-65,393,458,43,True,0,2,Thilo Kehrer,19,EVE,1125,1080,WHU,1055,1150,2023,,0.618578,5.0,0.618578,0.733813,3.0,0.733813
