assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,203,0,0,0.0,0.0,2024-01-20 17:30:00+00:00,0,4,0,0,0,0,21,0,0,0,2,3,0.0,0,0,0,0,45,False,0,4,Detlef Esapa Osong,16,BRE,1110,1090,NFO,1125,1080,1
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,215,0,0,0.0,0.0,2024-01-30 19:30:00+00:00,0,1,0,0,0,0,22,0,81,0,2,1,0.0,0,45,53,8,45,True,0,4,Detlef Esapa Osong,16,ARS,1370,1360,NFO,1050,1080,1
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,222,0,0,0.0,0.0,2024-02-04 14:00:00+00:00,0,3,0,0,0,0,23,0,124,0,1,1,0.0,0,14,47,33,45,False,0,4,Detlef Esapa Osong,16,BOU,1055,1145,NFO,1125,1080,1
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,237,0,0,0.0,0.0,2024-02-10 17:30:00+00:00,0,15,0,0,0,0,24,0,260,0,3,2,0.0,0,86,114,28,45,True,0,4,Detlef Esapa Osong,16,NEW,1210,1355,NFO,1050,1080,1
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,248,0,0,0.0,0.0,2024-02-17 15:00:00+00:00,0,19,0,0,0,0,25,0,493,0,0,2,0.0,0,134,211,77,45,True,0,4,Detlef Esapa Osong,16,WHU,1140,1150,NFO,1050,1080,1
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,252,0,0,0.0,0.0,2024-02-24 15:00:00+00:00,0,2,0,0,0,0,26,0,604,0,2,4,0.0,0,59,166,107,45,False,0,4,Detlef Esapa Osong,16,AVL,1140,1180,NFO,1125,1080,1
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,268,0,0,0.0,0.0,2024-03-02 15:00:00+00:00,0,11,0,0,0,0,27,0,624,0,1,0,0.0,0,-10,84,94,45,True,0,4,Detlef Esapa Osong,16,LIV,1350,1390,NFO,1050,1080,1
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,274,0,0,0.0,0.0,2024-03-10 14:00:00+00:00,0,5,0,0,0,0,28,0,661,0,0,1,0.0,0,-16,69,85,45,False,0,4,Detlef Esapa Osong,16,BHA,1070,1135,NFO,1125,1080,1
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,287,0,0,0.0,0.0,2024-03-16 15:00:00+00:00,0,12,0,0,0,0,29,0,835,0,1,1,0.0,0,63,126,63,45,False,0,4,Detlef Esapa Osong,16,LUT,1020,1090,NFO,1125,1080,1
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,298,0,0,0.0,0.0,2024-03-30 15:00:00+00:00,0,8,0,0,0,0,30,0,804,0,1,1,0.0,0,-25,61,86,45,True,0,4,Detlef Esapa Osong,16,CRY,1120,1085,NFO,1050,1080,1
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,305,0,0,0.0,0.0,2024-04-02 18:30:00+00:00,0,10,0,0,0,0,31,0,836,0,1,3,0.0,0,6,49,43,45,True,0,4,Detlef Esapa Osong,16,FUL,1180,1170,NFO,1050,1080,1
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,319,0,0,0.0,0.0,2024-04-07 17:00:00+00:00,0,18,0,0,0,0,32,0,853,0,1,3,0.0,0,-11,40,51,45,False,0,4,Detlef Esapa Osong,16,TOT,1110,1230,NFO,1125,1080,1
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,329,0,0,0.0,0.0,2024-04-13 14:00:00+00:00,0,20,0,0,0,0,33,0,886,0,2,2,0.0,0,-2,49,51,45,True,0,4,Detlef Esapa Osong,16,WOL,1105,1100,NFO,1050,1080,1
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,334,0,0,0.0,0.0,2024-04-21 12:30:00+00:00,0,9,0,0,0,0,34,0,929,0,0,2,0.0,0,10,52,42,45,False,0,4,Detlef Esapa Osong,16,EVE,1125,1065,NFO,1125,1080,1
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,347,0,0,0.0,0.0,2024-04-28 15:30:00+00:00,0,13,0,0,0,0,35,0,928,0,2,0,0.0,0,-21,33,54,45,True,0,4,Detlef Esapa Osong,16,MCI,1360,1370,NFO,1050,1080,1
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,360,0,0,0.0,0.0,2024-05-04 14:00:00+00:00,0,17,0,0,0,0,36,0,964,0,3,1,0.0,0,6,56,50,45,False,0,4,Detlef Esapa Osong,16,SHU,1045,1020,NFO,1125,1080,1
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,367,0,0,0.0,0.0,2024-05-11 16:30:00+00:00,0,7,0,0,0,0,37,0,988,0,3,2,0.0,0,-12,60,72,45,True,0,4,Detlef Esapa Osong,16,CHE,1150,1230,NFO,1050,1080,1
0,0,0,0,0.0,780,0.0,0.0,0.0,0.0,374,0,0,0.0,0.0,2024-05-19 15:00:00+00:00,0,6,0,0,0,0,38,0,1104,0,2,1,0.0,0,79,127,48,45,False,0,4,Detlef Esapa Osong,16,BUR,1050,1040,NFO,1125,1080,1
