assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,5,0,10.8,1170,0.0666016265749931,0.09,0.0,1.55,4,1,0,1.6,5.0,2023-08-12,63,5,0,0,0,0,1,0,96850,1,1,4,0.0,2,0,0,0,50,False,0,0,1,0,0.0,4,Elijah Adebayo,22,BHA,1070,1135,LUT,1060,1120,2023,0.0,,1.88594,5.0,1.12477,4.36748,17.0,3.60631
0,0,1,0,11.9,1170,0.0736318752169609,0.06,0.0,1.52,26,2,0,1.8,1.6,2023-08-25,69,6,0,0,0,0,3,0,82300,1,0,3,4.0,2,-10646,2715,13361,50,False,0,0,1,0,0.0,4,Elijah Adebayo,22,CHE,1080,1170,LUT,1060,1120,2023,0.0,,0.465741,4.0,0.465741,3.41419,17.0,3.41419
0,0,2,0,11.8,1170,0.0207945276051759,0.41,0.2528848052024841,0.86,38,1,0,3.7,2.2,2023-09-01,70,19,0,0,0,0,4,0,76701,1,2,1,23.0,2,-6896,3402,10298,49,True,0,3,1,0,0.2528848052024841,4,Elijah Adebayo,22,WHU,1140,1150,LUT,1020,1090,2023,0.2528848052024841,,2.02244,8.0,2.02244,1.22528,6.0,1.22528
0,0,4,0,10.8,1170,0.0615186542272567,0.01,0.0,0.05,44,0,0,1.7,2.4,2023-09-16,15,9,0,0,0,0,5,0,71337,0,0,1,4.0,1,-6714,3800,10514,49,False,0,0,1,0,0.0,4,Elijah Adebayo,22,FUL,1050,1060,LUT,1060,1120,2023,0.0,,1.45705,3.0,1.45705,1.75704,9.0,1.75704
0,0,3,0,0.0,1170,0.0,0.0,0.0,0.0,58,0,0,0.0,0.0,2023-09-23,5,20,0,0,0,0,6,0,65600,0,1,1,0.0,1,-6109,1898,8007,49,True,0,0,0,0,0.0,4,Elijah Adebayo,22,WOL,1105,1100,LUT,1020,1090,2023,0.0,,2.24101,17.0,1.47984,0.762984,1.0,0.762984
0,0,1,0,0.1,1170,0.0,0.0,0.0,0.13,63,0,0,0.0,0.2,2023-09-30,12,8,0,0,0,0,7,0,62325,0,2,1,0.0,1,-3594,3158,6752,48,False,0,0,0,0,0.0,4,Elijah Adebayo,22,EVE,1125,1065,LUT,1060,1120,2023,0.0,,1.5102,1.0,1.5102,3.65377,11.0,3.65377
0,2,25,0,0.8,1170,0.0,0.11,0.2022493481636047,0.06,15,1,1,6.0,34.2,2023-10-03,28,21,0,0,0,0,7,0,62325,0,2,1,25.0,7,-3594,3158,6752,48,True,0,2,0,1,0.2022493481636047,4,Elijah Adebayo,22,BUR,1050,1050,LUT,1020,1090,2023,0.2022493481636047,,1.53058,4.0,1.53058,0.920206,5.0,0.920206
0,0,-2,0,10.3,1170,0.0834985673427581,0.01,0.0,1.99,77,1,0,2.1,4.2,2023-10-07,66,18,0,0,0,0,8,0,60247,1,1,0,6.0,2,-2438,4065,6503,48,True,0,0,1,0,0.0,4,Elijah Adebayo,22,TOT,1150,1310,LUT,1020,1090,2023,0.0,,0.848118,6.0,0.848118,2.37947,15.0,2.37947
0,0,26,0,11.2,1170,0.0536489151418209,0.65,0.3972880244255066,0.1,88,1,1,7.6,35.4,2023-10-21,18,16,0,0,0,0,9,0,62248,0,2,2,29.0,5,1277,5917,4640,48,False,0,2,1,1,0.3972880244255066,4,Elijah Adebayo,22,NFO,1050,1080,LUT,1060,1120,2023,0.3972880244255066,,1.49555,6.0,1.49555,3.27549,4.0,3.27549
0,0,2,0,0.0,1170,0.0,0.12,0.0570916309952735,0.42,92,0,0,0.9,0.0,2023-10-29,14,2,0,0,0,0,10,0,69010,0,1,3,9.0,1,6147,10676,4529,48,False,0,1,0,0,0.0570916309952735,4,Elijah Adebayo,22,AVL,1140,1180,LUT,1060,1120,2023,0.0570916309952735,,0.453117,2.0,0.453117,3.07654,15.0,3.07654
0,0,1,0,0.0,1170,0.0,0.0,0.0,0.29,105,1,0,0.0,0.0,2023-11-05,15,12,0,0,0,0,11,0,69876,0,1,1,0.0,1,884,5831,4947,48,True,0,0,0,0,0.0,4,Elijah Adebayo,22,LIV,1350,1390,LUT,1020,1090,2023,0.0,,1.3411,1.0,1.3411,3.03925,14.0,3.03925
0,0,2,0,0.3,1170,0.0,0.0,0.0,0.11,118,0,0,0.0,0.0,2023-11-11,3,14,0,0,0,0,12,0,68220,0,0,1,0.0,1,-1789,2925,4714,48,False,0,0,0,0,0.0,4,Elijah Adebayo,22,MUN,1130,1120,LUT,1060,1120,2023,0.0,,0.408265,4.0,0.408265,2.74105,10.0,2.74105
0,0,-2,0,1.1,1170,0.0,0.0,0.0,1.15,125,1,0,0.3,2.2,2023-11-25,16,7,0,0,0,0,13,0,66288,0,1,2,0.0,0,-2202,2672,4874,48,True,1,0,0,0,0.0,4,Elijah Adebayo,22,CRY,1120,1085,LUT,1020,1090,2023,0.0,,0.996153,4.0,0.996153,1.83546,10.0,1.83546
0,0,1,0,0.1,1170,0.0,0.02,0.0156517792493104,1.79,133,1,0,0.7,0.4,2023-12-02,29,4,0,0,0,0,14,0,63471,0,1,3,6.0,1,-3093,1284,4377,48,False,0,1,0,0,0.0156517792493104,4,Elijah Adebayo,22,BRE,1110,1090,LUT,1060,1120,2023,0.0156517792493104,,0.227176,3.0,0.227176,3.25952,4.0,3.25952
0,0,28,0,2.3,1170,0.0,0.21,0.0835566967725753,1.72,146,3,1,7.1,34.0,2023-12-05,60,1,0,0,0,0,15,0,61540,1,4,3,35.0,6,-2087,850,2937,48,True,0,1,0,1,0.0835566967725753,4,Elijah Adebayo,22,ARS,1370,1360,LUT,1020,1090,2023,0.0835566967725753,,0.526254,0.0,0.526254,2.58815,19.0,2.58815
0,1,27,0,11.7,1170,0.0177162587642669,0.27,0.5863338112831116,1.6,156,2,1,8.4,35.4,2023-12-10,90,13,0,0,0,0,16,0,63358,1,2,1,37.0,7,1439,3483,2044,48,True,0,1,1,1,0.5863338112831116,4,Elijah Adebayo,22,MCI,1360,1370,LUT,1020,1090,2023,0.5863338112831116,,0.689037,4.0,0.689037,2.23353,9.0,2.23353
0,0,4,1,22.5,1170,0.129397451877594,0.6,0.5969523191452026,1.28,175,0,0,6.4,8.4,2023-12-23,79,15,0,0,0,0,18,0,100937,1,0,1,33.0,2,19517,25143,5626,48,True,0,3,2,0,0.5969523191452026,4,Elijah Adebayo,22,NEW,1210,1355,LUT,1020,1090,2023,0.5969523191452026,,1.81844,2.0,1.81844,1.41488,16.0,1.41488
0,0,3,0,21.8,1170,0.1528280377388,0.1,0.0550872310996055,2.46,190,2,0,7.0,17.4,2023-12-26,70,23,0,0,0,0,19,0,118258,1,3,2,31.0,2,17483,23362,5879,48,False,0,1,2,0,0.0550872310996055,4,Elijah Adebayo,22,SHU,1045,1020,LUT,1060,1120,2023,0.0550872310996055,,0.715575,3.0,0.715575,3.61788,7.0,3.61788
0,0,18,0,4.1,1170,0.0,1.21,1.355318546295166,1.5,195,3,1,8.5,28.8,2023-12-30,90,6,0,0,0,0,20,0,108605,1,3,2,52.0,6,-9100,6953,16053,48,True,0,3,0,1,1.355318546295166,4,Elijah Adebayo,22,CHE,1150,1230,LUT,1020,1090,2023,1.355318546295166,,2.64093,5.0,2.64093,1.57463,4.0,1.57463
0,0,5,0,22.3,1170,0.0871059149503707,0.06,0.0,0.99,205,1,0,3.7,6.6,2024-01-12,90,21,0,0,0,0,21,0,122759,1,1,1,8.0,2,11457,34516,23059,48,False,0,0,2,0,0.0,4,Elijah Adebayo,22,BUR,1050,1040,LUT,1060,1120,2023,0.0,,0.965167,7.0,0.965167,1.52023,5.0,1.52023
0,3,80,1,15.6,1170,0.0669198259711265,0.95,1.5455366373062134,0.36,214,0,3,20.7,101.6,2024-01-30,70,5,0,0,0,0,22,0,109476,1,0,4,90.0,17,-12950,6083,19033,48,True,0,4,1,3,1.5455366373062134,4,Elijah Adebayo,22,BHA,1180,1240,LUT,1020,1090,2023,1.5455366373062134,,3.63312,5.0,3.63312,1.01366,2.0,1.01366
