assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,3,56,1,23.7,351,0.2182472795248031,0.65,0.8820623755455017,0.23,1,0,2,13.9,67.6,2023-08-11,79,21,0,0,0,0,1,0,7200159,1,3,0,48.0,13,0,0,0,140,False,0,4,2,2,0.8820623755455017,4,Erling Haaland,13,BUR,1050,1040,MCI,1360,1370,2023,0.8820623755455017,,2.40074,9.0,2.40074,0.311032,4.0,0.311032
0,0,1,1,11.8,351,0.1222194582223892,0.45,0.4079817533493042,0.29,16,0,0,6.3,3.2,2023-08-19,90,15,0,0,0,0,2,0,8231668,1,0,1,48.0,2,132944,161773,28829,140,True,0,4,1,0,0.4079817533493042,4,Erling Haaland,13,NEW,1210,1355,MCI,1350,1360,2023,0.4079817533493042,,1.22528,9.0,1.22528,0.257154,5.0,0.257154
0,0,14,0,12.9,351,0.0653562396764755,1.94,2.0989649295806885,0.73,30,1,1,14.4,34.2,2023-08-27,90,23,0,1,0,0,3,0,8571562,1,2,1,97.0,4,64397,91189,26792,140,False,0,8,1,1,1.3377960920333862,4,Erling Haaland,13,SHU,1045,1020,MCI,1360,1370,2023,1.7183805108070374,,3.84804,22.0,3.08687,0.762232,3.0,0.762232
1,3,90,0,23.4,351,0.6909951567649841,1.68,1.331609129905701,1.45,39,1,3,19.8,119.4,2023-09-02,90,9,0,0,0,0,4,0,8787213,1,1,5,55.0,20,27163,53175,26012,140,True,0,4,2,2,0.5704402327537537,4,Erling Haaland,13,FUL,1180,1170,MCI,1350,1360,2023,0.9510246813297272,,2.00152,8.0,1.24035,1.46427,4.0,1.46427
0,0,15,0,14.5,351,0.0286466795951128,2.59,2.925720691680908,0.94,49,1,1,17.4,41.2,2023-09-16,90,19,0,0,0,0,5,0,9070132,1,3,1,118.0,6,88573,102747,14174,141,False,0,9,1,1,2.925720691680908,4,Erling Haaland,13,WHU,1055,1150,MCI,1360,1370,2023,2.925720691680908,,4.15046,16.0,4.15046,0.895632,1.0,0.895632
0,0,24,1,3.3,351,0.0,0.7,0.9328586459159852,1.03,59,0,1,5.9,32.4,2023-09-23,90,16,0,0,0,0,6,0,9176859,1,0,2,23.0,6,39924,50069,10145,141,True,0,2,0,1,0.9328586459159852,4,Erling Haaland,13,NFO,1125,1080,MCI,1350,1360,2023,0.9328586459159852,,1.33984,7.0,1.33984,0.729109,7.0,0.729109
0,0,7,0,12.6,351,0.073714330792427,0.09,0.0814208686351776,0.44,70,2,0,4.6,6.0,2023-09-30,90,20,0,0,0,0,7,0,9241818,1,1,2,27.0,2,3265,28710,25445,141,False,0,1,1,0,0.0814208686351776,4,Erling Haaland,13,WOL,1085,1115,MCI,1360,1370,2023,0.0814208686351776,,0.98075,13.0,0.98075,0.673985,1.0,0.673985
0,0,11,0,21.8,351,0.4693251550197601,0.17,0.0,0.41,71,1,0,3.8,7.8,2023-10-08,90,1,0,0,0,0,8,0,9008161,1,0,1,8.0,2,-236407,28394,264801,141,False,0,0,2,0,0.0,4,Erling Haaland,13,ARS,1370,1330,MCI,1360,1370,2023,0.0,,0.858071,7.0,0.858071,0.386558,9.0,0.386558
0,2,33,0,0.9,351,0.0,0.26,0.2018896043300628,0.83,86,1,1,6.6,38.6,2023-10-21,90,5,0,0,0,0,9,0,8880074,1,1,2,26.0,8,-195755,40373,236128,140,True,0,2,0,1,0.2018896043300628,4,Erling Haaland,13,BHA,1180,1240,MCI,1350,1360,2023,0.2018896043300628,,0.962509,7.0,0.962509,0.963733,4.0,0.963733
1,3,63,1,12.8,351,0.9242032766342164,2.51,2.236036777496338,1.03,98,0,2,20.8,89.2,2023-10-29,90,14,0,0,0,0,10,0,8540943,1,3,0,106.0,16,-351614,27851,379465,140,False,0,5,1,1,1.4748680591583252,4,Erling Haaland,13,MUN,1130,1120,MCI,1360,1370,2023,1.8554524183273315,,4.54595,21.0,3.78478,0.714628,4.0,0.714628
0,0,4,0,1.6,351,0.0,0.46,0.3967780768871307,0.18,106,0,0,2.4,0.4,2023-11-04,45,3,0,0,0,0,11,0,8693052,1,1,6,22.0,1,86091,126514,40423,140,True,0,3,0,0,0.3967780768871307,4,Erling Haaland,13,BOU,1130,1075,MCI,1350,1360,2023,0.3967780768871307,,2.39949,18.0,2.39949,0.643127,6.0,0.643127
1,3,57,0,32.3,351,0.1721236109733581,2.06,2.260617017745972,2.96,115,4,2,20.3,86.4,2023-11-12,90,6,0,0,0,0,12,0,8445429,1,4,4,84.0,16,-239590,44143,283733,140,False,0,4,3,1,1.499448299407959,4,Erling Haaland,13,CHE,1080,1170,MCI,1360,1370,2023,1.8800326585769656,,3.19324,17.0,2.43208,3.47238,4.0,2.71121
0,1,25,0,1.0,351,0.0,0.74,1.1248512268066406,0.56,126,1,1,10.8,36.4,2023-11-25,90,12,0,0,0,0,13,0,8444738,1,1,1,71.0,7,-32210,129906,162116,140,True,0,5,0,1,1.1248512268066406,4,Erling Haaland,13,LIV,1350,1390,MCI,1350,1360,2023,1.1248512268066406,,1.79622,11.0,1.79622,0.766278,6.0,0.766278
2,0,18,0,23.3,351,0.4823999106884002,0.99,0.8447249531745911,0.49,137,3,0,6.4,13.4,2023-12-03,90,18,0,0,0,0,14,0,8677883,1,3,3,27.0,7,178999,196809,17810,140,True,1,5,2,0,0.8447249531745911,4,Erling Haaland,13,TOT,1150,1310,MCI,1350,1360,2023,0.8447249531745911,,2.90729,12.0,2.90729,0.433077,3.0,0.433077
0,0,-1,0,1.6,351,0.0,0.83,1.001983880996704,2.04,141,1,0,6.4,12.4,2023-12-06,90,2,0,0,0,0,15,0,8714407,1,0,1,50.0,2,30222,50373,20151,140,False,0,2,0,0,1.001983880996704,4,Erling Haaland,13,AVL,1140,1180,MCI,1360,1370,2023,1.001983880996704,,1.00198,8.0,1.00198,2.1922,9.0,2.1922
0,0,0,0,0.0,351,0.0,0.0,0.0,0.0,156,0,0,0.0,0.0,2023-12-10,0,22,0,0,0,0,16,0,8812520,0,2,1,0.0,0,73122,93107,19985,140,False,0,0,0,0,0.0,4,Erling Haaland,13,LUT,1020,1090,MCI,1360,1370,2023,0.0,,2.23353,9.0,2.23353,0.689037,4.0,0.689037
0,0,0,0,0.0,351,0.0,0.0,0.0,0.0,167,0,0,0.0,0.0,2023-12-16,0,7,0,0,0,0,17,0,7231415,0,2,2,0.0,0,-1477506,16216,1493722,140,True,0,0,0,0,0.0,4,Erling Haaland,13,CRY,1120,1085,MCI,1350,1360,2023,0.0,,2.41646,5.0,2.41646,1.64977,4.0,0.888604
0,0,0,0,0.0,351,0.0,0.0,0.0,0.0,187,0,0,0.0,0.0,2023-12-27,0,8,0,0,0,0,19,0,6260409,0,3,1,0.0,0,-231633,89441,321074,139,False,0,0,0,0,0.0,4,Erling Haaland,13,EVE,1125,1065,MCI,1360,1370,2023,0.0,,2.28321,9.0,1.52204,1.23529,3.0,1.23529
