assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,3,0,0.0,1701,0.0,0.0,0.0,0.0,127,0,0,0.0,0.2,2023-11-25 15:00:00+00:00,1,6,0,0,0,0,13,0,0,0,1,4,0.0,1,0,0,0,45,True,0,4,Michael Ndiweni,15,CHE,1150,1230,NEW,1050,1160,1,2023
0,0,0,0,0.0,1701,0.0,0.0,0.0,0.0,138,0,0,0.0,0.0,2023-12-02 20:00:00+00:00,0,14,0,0,0,0,14,0,714,0,0,1,0.0,0,557,624,67,45,True,0,4,Michael Ndiweni,15,MUN,1210,1230,NEW,1050,1160,1,2023
0,0,0,0,0.0,1701,0.0,0.0,0.0,0.0,144,0,0,0.0,0.0,2023-12-07 19:30:00+00:00,0,8,0,0,0,0,15,0,992,0,0,3,0.0,0,238,363,125,45,False,0,4,Michael Ndiweni,15,EVE,1125,1065,NEW,1210,1355,1,2023
0,0,0,0,0.0,1701,0.0,0.0,0.0,0.0,159,0,0,0.0,0.0,2023-12-10 16:30:00+00:00,0,18,0,0,0,0,16,0,1143,0,1,4,0.0,0,45,201,156,45,False,0,4,Michael Ndiweni,15,TOT,1110,1230,NEW,1210,1355,1,2023
0,0,0,0,0.0,1701,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,2023-12-16 15:00:00+00:00,0,9,0,0,0,0,17,0,1245,0,0,3,0.0,0,-16,194,210,45,True,0,4,Michael Ndiweni,15,FUL,1180,1170,NEW,1050,1160,1,2023
0,0,0,0,0.0,1701,0.0,0.0,0.0,0.0,175,0,0,0.0,0.0,2023-12-23 15:00:00+00:00,0,22,0,0,0,0,18,0,1294,0,0,1,0.0,0,-37,145,182,45,False,0,4,Michael Ndiweni,15,LUT,1020,1090,NEW,1210,1355,1,2023
0,0,0,0,0.0,1701,0.0,0.0,0.0,0.0,189,0,0,0.0,0.0,2023-12-26 12:30:00+00:00,0,16,0,0,0,0,19,0,1331,0,3,1,0.0,0,-31,107,138,45,True,0,4,Michael Ndiweni,15,NFO,1125,1080,NEW,1050,1160,1,2023
0,0,0,0,0.0,1701,0.0,0.0,0.0,0.0,194,0,0,0.0,0.0,2024-01-01 20:00:00+00:00,0,12,0,0,0,0,20,0,1329,0,2,4,0.0,0,-57,108,165,44,False,0,4,Michael Ndiweni,15,LIV,1210,1270,NEW,1210,1355,1,2023
0,0,0,0,0.0,1701,0.0,0.0,0.0,0.0,209,0,0,0.0,0.0,2024-01-13 17:30:00+00:00,0,13,0,0,0,0,21,0,1471,0,3,2,0.0,0,-51,295,346,44,True,0,4,Michael Ndiweni,15,MCI,1360,1370,NEW,1050,1160,1,2023
0,0,0,0,0.0,1701,0.0,0.0,0.0,0.0,211,0,0,0.0,0.0,2024-01-30 20:15:00+00:00,0,2,0,0,0,0,22,0,1586,0,3,1,0.0,0,-15,175,190,44,False,0,4,Michael Ndiweni,15,AVL,1140,1180,NEW,1210,1355,1,2023
0,0,0,0,0.0,1701,0.0,0.0,0.0,0.0,229,0,0,0.0,0.0,2024-02-03 15:00:00+00:00,0,22,0,0,0,0,23,0,1708,0,4,4,0.0,0,80,165,85,44,True,0,4,Michael Ndiweni,15,LUT,1060,1120,NEW,1050,1160,1,2023
0,0,0,0,0.0,1701,0.0,0.0,0.0,0.0,237,0,0,0.0,0.0,2024-02-10 17:30:00+00:00,0,16,0,0,0,0,24,0,1536,0,3,2,0.0,0,-186,44,230,44,False,0,4,Michael Ndiweni,15,NFO,1050,1080,NEW,1210,1355,1,2023
0,0,0,0,0.0,1701,0.0,0.0,0.0,0.0,247,0,0,0.0,0.0,2024-02-17 15:00:00+00:00,0,3,0,0,0,0,25,0,1393,0,2,2,0.0,0,-144,0,144,44,True,0,4,Michael Ndiweni,15,BOU,1130,1075,NEW,1050,1160,1,2023
0,0,0,0,0.0,1701,0.0,0.0,0.0,0.0,251,0,0,0.0,0.0,2024-02-24 20:00:00+00:00,0,1,0,0,0,0,26,0,1310,0,1,4,0.0,0,-83,0,83,44,False,0,4,Michael Ndiweni,15,ARS,1370,1330,NEW,1210,1355,1,2023
