assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,10,0,0.0,14,0.0,0.0,0.0,1.18,2,1,0,1.3,12.6,2023-08-12,90,16,0,0,0,0,1,1,1510016,1,1,2,0.0,2,0,0,0,50,True,0,0,0,0,0.0,1,Aaron Ramsdale,1,NFO,1125,1080,ARS,1370,1330,2023,0.0,2.0,0.84262,9.0,0.84262,0.966305,4.0,0.966305
0,0,25,1,0.0,14,0.0,0.01,0.0,1.06,12,0,0,1.5,15.4,2023-08-21,90,7,0,0,0,0,2,2,1625661,1,1,0,0.0,6,-46452,45504,91956,50,False,0,0,0,0,0.0,1,Aaron Ramsdale,1,CRY,1080,1060,ARS,1370,1360,2023,0.0,2.0,2.20593,7.0,1.4448,1.06916,10.0,1.06916
0,0,10,0,0.0,14,0.0,0.0,0.0,0.53,21,2,0,1.2,12.2,2023-08-26,90,9,0,0,0,0,3,1,1657162,1,2,2,0.0,1,-23232,53491,76723,50,True,0,0,0,0,0.0,1,Aaron Ramsdale,1,FUL,1180,1170,ARS,1370,1330,2023,0.0,2.0,3.23088,22.0,2.46971,0.849817,2.0,0.849817
0,0,10,0,0.0,14,0.0,0.0,0.0,0.96,31,1,0,1.1,10.8,2023-09-03,90,14,0,0,0,0,4,1,1577658,1,1,3,0.0,2,-97431,26035,123466,50,True,0,0,0,0,0.0,1,Aaron Ramsdale,1,MUN,1210,1230,ARS,1370,1330,2023,0.0,2.0,1.90973,11.0,1.90973,0.966109,4.0,0.966109
0,0,0,0,0.0,14,0.0,0.0,0.0,0.0,43,0,0,0.0,0.0,2023-09-17,0,8,0,0,0,0,5,0,1601633,0,1,0,0.0,0,-18218,54121,72339,50,False,0,0,0,0,0.0,1,Aaron Ramsdale,1,EVE,1125,1065,ARS,1370,1360,2023,0.0,2.0,0.802605,10.0,0.802605,0.28317,3.0,0.28317
0,0,0,0,0.0,14,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2023-09-24,0,18,0,0,0,0,6,0,1419521,0,2,2,0.0,0,-186065,12952,199017,50,True,0,0,0,0,0.0,1,Aaron Ramsdale,1,TOT,1150,1310,ARS,1370,1330,2023,0.0,2.0,2.3429,4.0,1.58173,2.21166,9.0,2.21166
0,0,0,0,0.0,14,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2023-09-30,0,3,0,0,0,0,7,0,1224482,0,4,0,0.0,0,-196865,7214,204079,49,False,0,0,0,0,0.0,1,Aaron Ramsdale,1,BOU,1055,1145,ARS,1370,1360,2023,0.0,2.0,4.0742,15.0,2.55187,0.644443,13.0,0.644443
0,0,0,0,0.0,14,0.0,0.0,0.0,0.0,71,0,0,0.0,0.0,2023-10-08,0,13,0,0,0,0,8,0,1071936,0,0,1,0.0,0,-156638,3542,160180,49,True,0,0,0,0,0.0,1,Aaron Ramsdale,1,MCI,1360,1370,ARS,1370,1330,2023,0.0,2.0,0.386558,9.0,0.386558,0.858071,7.0,0.858071
0,0,0,0,0.0,14,0.0,0.0,0.0,0.0,84,0,0,0.0,0.0,2023-10-21,0,6,0,0,0,0,9,0,979927,0,2,2,0.0,0,-103107,3625,106732,48,False,0,0,0,0,0.0,1,Aaron Ramsdale,1,CHE,1080,1170,ARS,1370,1360,2023,0.0,2.0,1.05791,5.0,1.05791,1.71838,8.0,0.957211
0,0,0,0,0.0,14,0.0,0.0,0.0,0.0,91,0,0,0.0,0.0,2023-10-28,0,23,0,0,0,0,10,0,900682,0,0,5,0.0,0,-82149,3711,85860,48,True,0,0,0,0,0.0,1,Aaron Ramsdale,1,SHU,1020,1060,ARS,1370,1330,2023,0.0,2.0,3.03496,9.0,2.27379,0.0281554,1.0,0.0281554
