assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,0,0,0.0,763,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2023-08-13T13:00:00Z,0,18,0,0,0,0,1,0,37879,0,2,2,0.0,0,0,0,0,40,True,0,1,Thomas Strakosha,4,TOT,1150,1310,BRE,1110,1090,2023,,1.90756,11.0,1.1464,1.45316,7.0,1.45316
0,0,0,0,0.0,763,0.0,0.0,0.0,0.0,13,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,9,0,0,0,0,2,0,40755,0,3,0,0.0,0,-955,1140,2095,40,False,0,1,Thomas Strakosha,4,FUL,1050,1060,BRE,1055,1150,2023,,3.46888,13.0,2.70772,0.399899,8.0,0.399899
0,0,0,0,0.0,763,0.0,0.0,0.0,0.0,23,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,7,0,0,0,0,3,0,39589,0,1,1,0.0,0,-1988,607,2595,40,True,0,1,Thomas Strakosha,4,CRY,1120,1085,BRE,1110,1090,2023,,0.948011,5.0,0.948011,1.06061,5.0,1.06061
0,0,0,0,0.0,763,0.0,0.0,0.0,0.0,32,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,3,0,0,0,0,4,0,35944,0,2,2,0.0,0,-3681,177,3858,40,True,0,1,Thomas Strakosha,4,BOU,1130,1075,BRE,1110,1090,2023,,3.07185,15.0,3.07185,2.11013,5.0,2.11013
0,0,0,0,0.0,763,0.0,0.0,0.0,0.0,46,0,0,0.0,0.0,2023-09-16T16:30:00Z,0,15,0,0,0,0,5,0,35492,0,0,1,0.0,0,-1230,495,1725,40,False,0,1,Thomas Strakosha,4,NEW,1050,1160,BRE,1055,1150,2023,,0.633678,4.0,0.633678,1.50126,8.0,0.740091
0,0,0,0,0.0,763,0.0,0.0,0.0,0.0,52,0,0,0.0,0.0,2023-09-23T16:30:00Z,0,8,0,0,0,0,6,0,34740,0,3,1,0.0,0,-889,355,1244,40,True,0,1,Thomas Strakosha,4,EVE,1125,1080,BRE,1110,1090,2023,,1.57402,6.0,1.57402,2.51497,10.0,2.51497
0,0,0,0,0.0,763,0.0,0.0,0.0,0.0,67,0,0,0.0,0.0,2023-10-01T13:00:00Z,0,16,0,0,0,0,7,0,57769,0,1,1,0.0,0,13291,16014,2723,39,False,0,1,Thomas Strakosha,4,NFO,1050,1080,BRE,1055,1150,2023,,1.75862,11.0,1.75862,0.800317,2.0,0.800317
0,0,20,0,0.0,763,0.01,0.01,0.0,1.43,78,2,0,4.0,40.2,2023-10-07T14:00:00Z,90,14,0,0,0,0,8,6,85440,1,1,2,0.0,3,23091,30518,7427,39,False,0,1,Thomas Strakosha,4,MUN,1130,1120,BRE,1055,1150,2023,,1.02509,2.0,1.02509,1.29356,17.0,1.29356
0,0,0,0,0.0,763,0.0,0.0,0.0,0.0,83,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,21,0,0,0,0,9,0,119904,0,0,3,0.0,0,35965,41724,5759,39,True,0,1,Thomas Strakosha,4,BUR,1050,1050,BRE,1110,1090,2023,,3.15685,15.0,3.15685,0.693129,3.0,0.693129
0,0,0,0,0.0,763,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2023-10-28T11:30:00Z,0,6,0,0,0,0,10,0,176789,0,2,0,0.0,0,53986,62665,8679,39,False,0,1,Thomas Strakosha,4,CHE,1080,1170,BRE,1055,1150,2023,,2.48137,6.0,2.48137,1.71801,16.0,1.71801
0,0,4,0,0.0,763,0.0,0.0,0.0,0.25,101,0,0,0.3,2.6,2023-11-04T15:00:00Z,45,19,0,0,0,0,11,0,210334,0,2,3,0.0,1,30015,35015,5000,39,True,0,1,Thomas Strakosha,4,WHU,1140,1150,BRE,1110,1090,2023,,1.82944,9.0,1.82944,1.75505,6.0,1.75505
0,0,0,0,0.0,763,0.0,0.0,0.0,0.0,117,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,12,0,0,0,0,12,0,234356,0,0,3,0.0,0,22750,28330,5580,39,False,0,1,Thomas Strakosha,4,LIV,1210,1270,BRE,1055,1150,2023,,1.44954,8.0,1.44954,1.56004,11.0,1.56004
0,0,0,0,0.0,763,0.0,0.0,0.0,0.0,121,0,0,0.0,0.0,2023-11-25T17:30:00Z,0,1,0,0,0,0,13,0,255310,0,1,0,0.0,0,19480,26335,6855,39,True,0,1,Thomas Strakosha,4,ARS,1370,1360,BRE,1110,1090,2023,,1.66315,4.0,1.66315,1.82699,4.0,1.82699
0,0,0,0,0.0,763,0.0,0.0,0.0,0.0,133,0,0,0.0,0.0,2023-12-02T15:00:00Z,0,22,0,0,0,0,14,0,260293,0,1,3,0.0,0,7593,17355,9762,39,True,0,1,Thomas Strakosha,4,LUT,1060,1120,BRE,1110,1090,2023,,3.25952,4.0,3.25952,0.227176,3.0,0.227176
0,0,0,0,0.0,763,0.0,0.0,0.0,0.0,142,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,5,0,0,0,0,15,0,244092,0,1,2,0.0,0,-14866,4667,19533,39,False,0,1,Thomas Strakosha,4,BHA,1070,1135,BRE,1055,1150,2023,,1.22007,2.0,0.458899,1.54099,19.0,1.54099
0,0,0,0,0.0,763,0.0,0.0,0.0,0.0,158,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,23,0,0,0,0,16,0,234950,0,0,1,0.0,0,-9418,3565,12983,39,False,0,1,Thomas Strakosha,4,SHU,1045,1020,BRE,1055,1150,2023,,0.644638,7.0,0.644638,0.841976,6.0,0.841976
0,0,0,0,0.0,763,0.0,0.0,0.0,0.0,163,0,0,0.0,0.0,2023-12-17T14:00:00Z,0,2,0,0,0,0,17,0,228022,0,2,1,0.0,0,-5835,1651,7486,39,True,0,1,Thomas Strakosha,4,AVL,1220,1350,BRE,1110,1090,2023,,0.796812,4.0,0.796812,1.4664,13.0,1.4664
0,0,0,0,0.0,763,0.0,0.0,0.0,0.0,183,0,0,0.0,0.0,2023-12-27T19:30:00Z,0,20,0,0,0,0,19,0,219831,0,4,1,0.0,0,-2546,566,3112,39,True,0,1,Thomas Strakosha,4,WOL,1105,1100,BRE,1110,1090,2023,,2.59347,15.0,2.59347,1.89483,7.0,1.89483
0,0,0,0,0.0,763,0.0,0.0,0.0,0.0,192,0,0,0.0,0.0,2023-12-30T15:00:00Z,0,7,0,0,0,0,20,0,215499,0,1,3,0.0,0,-4375,585,4960,39,False,0,1,Thomas Strakosha,4,CRY,1080,1060,BRE,1055,1150,2023,,1.28731,6.0,1.28731,1.61057,13.0,1.61057
