assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,-2,0,0.0,1269,0.0,0.0,0.0,0.21,7,0,0,0.3,0.0,2023-08-12,10,7,0,0,0,0,1,0,5273,0,1,0,4.0,0,0,0,0,50,True,1,0,0,0,0.0,3,Anis Slimane,23,CRY,1120,1085,SHU,1045,1020,2023,0.0,,0.422704,2.0,0.422704,2.27616,9.0,2.27616
0,0,0,0,0.0,1269,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2023-08-18,0,16,0,0,0,0,2,0,5028,0,1,2,0.0,0,-939,138,1077,50,False,0,0,0,0,0.0,3,Anis Slimane,23,NFO,1050,1080,SHU,1020,1060,2023,0.0,,0.551038,4.0,0.551038,1.37181,6.0,1.37181
0,0,0,0,0.0,1269,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,2023-08-27,0,13,0,0,0,0,3,0,3365,0,2,1,0.0,0,-1674,18,1692,49,True,0,0,0,0,0.0,3,Anis Slimane,23,MCI,1360,1370,SHU,1045,1020,2023,0.0,,0.762232,3.0,0.762232,3.84804,22.0,3.08687
0,0,0,0,0.0,1269,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2023-09-02,0,8,0,0,0,0,4,0,2842,0,2,2,0.0,0,-602,30,632,49,True,0,0,0,0,0.0,3,Anis Slimane,23,EVE,1125,1080,SHU,1045,1020,2023,0.0,,1.575,5.0,1.575,2.73871,3.0,2.73871
0,0,0,0,0.0,1269,0.0,0.0,0.0,0.0,48,0,0,0.0,0.0,2023-09-16,0,18,0,0,0,0,5,0,2665,0,1,2,0.0,0,-304,41,345,49,False,0,0,0,0,0.0,3,Anis Slimane,23,TOT,1110,1230,SHU,1020,1060,2023,0.0,,0.790655,4.0,0.790655,2.15909,21.0,2.15909
0,0,0,0,1.2,1269,0.01,0.01,0.0,1.49,60,3,0,0.3,1.6,2023-09-24,24,15,0,0,0,0,6,0,2499,0,8,0,0.0,0,-206,23,229,48,True,1,0,0,0,0.0,3,Anis Slimane,23,NEW,1210,1355,SHU,1045,1020,2023,0.0,,0.579392,5.0,0.579392,5.1082,11.0,5.1082
0,0,1,0,5.3,1269,0.07,0.19,0.12,0.47,69,0,0,1.5,1.8,2023-09-30,11,19,0,0,0,0,7,0,2315,0,0,2,8.0,1,-189,32,221,48,False,0,0,0,0,0.0,3,Anis Slimane,23,WHU,1055,1150,SHU,1020,1060,2023,0.06,,0.911997,5.0,0.911997,3.19753,16.0,3.19753
0,0,0,0,0.0,1269,0.0,0.0,0.0,0.0,76,0,0,0.0,0.0,2023-10-07,0,9,0,0,0,0,8,0,2246,0,1,3,0.0,0,-114,29,143,48,False,0,0,0,0,0.0,3,Anis Slimane,23,FUL,1050,1060,SHU,1020,1060,2023,0.0,,0.251809,0.0,0.251809,2.26612,9.0,2.26612
0,0,0,0,0.0,1269,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2023-10-21,0,14,0,0,0,0,9,0,2208,0,2,1,0.0,0,-76,30,106,47,True,0,0,0,0,0.0,3,Anis Slimane,23,MUN,1210,1230,SHU,1045,1020,2023,0.0,,1.41074,7.0,0.649567,1.46187,7.0,1.46187
0,0,6,0,1.6,1269,0.0,0.0,0.0,1.42,91,3,0,0.2,0.8,2023-10-28,58,1,0,0,0,0,10,0,2173,1,0,5,0.0,1,-52,43,95,47,False,0,0,0,0,0.0,3,Anis Slimane,23,ARS,1370,1330,SHU,1020,1060,2023,0.0,,0.0281554,1.0,0.0281554,3.03496,9.0,2.27379
0,0,0,0,0.0,1269,0.0,0.0,0.0,0.0,109,0,0,0.0,0.0,2023-11-04,0,20,0,0,0,0,11,0,2135,0,1,2,0.0,0,-53,37,90,47,True,0,0,0,0,0.0,3,Anis Slimane,23,WOL,1105,1100,SHU,1045,1020,2023,0.0,,1.10165,3.0,0.340518,1.14803,4.0,1.14803
0,0,2,0,0.5,1269,0.01,0.01,0.0,0.0,114,0,0,0.1,0.0,2023-11-12,5,5,0,0,0,0,12,0,2089,0,1,1,0.0,1,-55,17,72,47,False,0,0,0,0,0.0,3,Anis Slimane,23,BHA,1070,1135,SHU,1020,1060,2023,0.0,,0.84434,13.0,0.84434,1.08601,4.0,1.08601
0,0,0,0,0.0,1269,0.0,0.0,0.0,0.0,129,0,0,0.0,0.0,2023-11-25,0,3,0,0,0,0,13,0,2054,0,3,1,0.0,0,-51,21,72,47,True,0,0,0,0,0.0,3,Anis Slimane,23,BOU,1130,1075,SHU,1045,1020,2023,0.0,,0.816227,7.0,0.816227,3.13975,7.0,3.13975
0,0,0,0,0.0,1269,0.0,0.0,0.0,0.0,134,0,0,0.0,0.0,2023-12-02,0,21,0,0,0,0,14,0,2050,0,0,5,0.0,0,-15,26,41,47,False,0,0,0,0,0.0,3,Anis Slimane,23,BUR,1050,1040,SHU,1020,1060,2023,0.0,,0.618131,3.0,0.618131,2.60469,13.0,2.60469
0,0,0,0,0.0,1269,0.0,0.0,0.0,0.0,147,0,0,0.0,0.0,2023-12-06,0,12,0,0,0,0,15,0,2040,0,2,0,0.0,0,-20,7,27,47,True,0,0,0,0,0.0,3,Anis Slimane,23,LIV,1350,1390,SHU,1045,1020,2023,0.0,,0.834172,2.0,0.834172,1.80116,14.0,1.80116
0,0,3,0,11.1,1269,0.0,0.64,0.0,0.37,158,0,0,5.4,12.4,2023-12-09,37,4,0,0,0,0,16,0,2032,0,0,1,30.0,1,-19,16,35,47,True,0,0,0,0,0.0,3,Anis Slimane,23,BRE,1055,1150,SHU,1045,1020,2023,0.0,,0.841976,6.0,0.841976,0.644638,7.0,0.644638
0,0,-1,0,10.3,1269,0.0,0.0,0.0,1.14,165,0,0,1.6,1.2,2023-12-16,10,6,0,0,0,0,17,0,2027,0,0,2,4.0,1,-31,29,60,47,False,0,0,0,0,0.0,3,Anis Slimane,23,CHE,1080,1170,SHU,1020,1060,2023,0.0,,0.44014,3.0,0.44014,3.27322,13.0,3.27322
0,0,3,1,0.8,1269,0.0,0.0,0.0,0.45,171,0,0,1.0,9.0,2023-12-22,75,2,0,0,0,0,18,0,2004,1,1,1,0.0,3,-39,16,55,47,False,0,0,0,0,0.0,3,Anis Slimane,23,AVL,1140,1180,SHU,1020,1060,2023,0.0,,0.646159,2.0,0.646159,1.21861,10.0,1.21861
0,0,-3,0,10.3,1269,0.03,0.08,0.05,0.0,190,2,0,1.6,0.0,2023-12-26,18,22,1,0,0,0,19,0,2150,0,3,2,6.0,-1,117,148,31,47,True,0,0,0,0,0.0,3,Anis Slimane,23,LUT,1060,1120,SHU,1045,1020,2023,0.025,,3.61788,7.0,3.61788,0.715575,3.0,0.715575
0,0,5,0,0.1,1269,0.0,0.0,0.0,2.04,196,2,0,0.2,1.4,2023-12-30,66,13,0,0,0,0,20,0,2108,1,0,2,0.0,2,-53,46,99,47,False,0,0,0,0,0.0,3,Anis Slimane,23,MCI,1350,1360,SHU,1020,1060,2023,0.0,,0.263211,1.0,0.263211,2.24229,12.0,2.24229
0,0,0,0,0.0,1269,0.0,0.0,0.0,0.0,210,0,0,0.0,0.0,2024-01-21,0,19,0,0,0,0,21,0,2013,0,2,2,0.0,0,-92,33,125,47,True,0,0,0,0,0.0,3,Anis Slimane,23,WHU,1140,1150,SHU,1045,1020,2023,0.0,,2.61362,9.0,1.85245,2.4241,5.0,1.66293
0,0,3,0,2.8,1269,0.0,0.0,0.0,0.92,212,2,0,1.3,4.4,2024-01-30,45,7,0,0,0,0,22,0,1965,1,2,3,6.0,1,-54,14,68,47,False,0,0,0,0,0.0,3,Anis Slimane,23,CRY,1080,1060,SHU,1020,1060,2023,0.0,,0.768467,7.0,0.768467,1.1601,8.0,1.1601
0,0,0,0,0.0,1269,0.0,0.0,0.0,0.0,230,0,0,0.0,0.0,2024-02-03,0,2,0,0,0,0,23,0,1969,0,5,0,0.0,0,-9,10,19,47,True,0,0,0,0,0.0,3,Anis Slimane,23,AVL,1220,1350,SHU,1045,1020,2023,0.0,,1.52784,7.0,1.52784,2.99015,5.0,2.99015
0,0,0,0,0.0,1269,0.0,0.0,0.0,0.0,235,0,0,0.0,0.0,2024-02-10,0,22,0,0,0,0,24,0,1989,0,3,1,0.0,0,5,31,26,47,False,0,0,0,0,0.0,3,Anis Slimane,23,LUT,1020,1090,SHU,1020,1060,2023,0.0,,1.98283,4.0,1.22166,1.76215,9.0,1.00099
0,0,0,0,0.0,1269,0.0,0.0,0.0,0.0,249,0,0,0.0,0.0,2024-02-18,0,5,0,0,0,0,25,0,1981,0,5,0,0.0,0,-22,15,37,47,True,0,0,0,0,0.0,3,Anis Slimane,23,BHA,1180,1240,SHU,1045,1020,2023,0.0,,0.586214,3.0,0.586214,3.35549,15.0,3.35549
0,0,0,0,0.0,1269,0.0,0.0,0.0,0.0,260,0,0,0.0,0.0,2024-02-25,0,20,0,0,0,0,26,0,1981,0,0,1,0.0,0,-10,22,32,47,False,0,0,0,0,0.0,3,Anis Slimane,23,WOL,1085,1115,SHU,1020,1060,2023,0.0,,0.654342,5.0,0.654342,1.21618,7.0,1.21618
