assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season
0,0,4,0,0.6,370,0.0,0.01,0.0,1.08,10,0,0,0.0,0.0,2023-08-14,22,20,0,0,0,0,1,0,42634,0,0,1,0.0,1,0,0,0,60,True,0,0,0,0,0.0,3,Christian Eriksen,14.0,WOL,1105,1100,MUN,1130,1120,2023
0,0,7,0,1.8,370,0.0,0.01,0.0,0.55,18,1,0,1.3,10.8,2023-08-19,24,18,0,0,0,0,2,0,45143,0,0,2,0.0,1,-5767,1961,7728,60,False,0,0,0,0,0.0,3,Christian Eriksen,14.0,TOT,1110,1230,MUN,1210,1230,2023
0,2,32,0,27.9,370,0.0743307918310165,0.42,0.1608244180679321,1.24,28,2,1,10.7,43.8,2023-08-26,90,16,0,0,0,0,3,0,41387,1,2,3,35.0,9,-6036,1671,7707,59,True,0,1,2,1,0.1608244180679321,3,Christian Eriksen,14.0,NFO,1125,1080,MUN,1130,1120,2023
1,2,25,0,27.5,370,0.2652246952056885,0.08,0.0467574633657932,2.27,31,3,0,6.8,38.0,2023-09-03,90,1,0,0,0,0,4,0,46368,1,1,3,2.0,7,961,3991,3030,59,False,0,1,2,0,0.0467574633657932,3,Christian Eriksen,14.0,ARS,1370,1330,MUN,1210,1230,2023
0,0,13,0,9.5,370,0.0,0.02,0.0,1.89,45,3,0,2.0,6.8,2023-09-16,90,5,0,0,0,0,5,0,60406,1,3,1,4.0,2,7948,12556,4608,59,True,0,0,0,0,0.0,3,Christian Eriksen,14.0,BHA,1180,1240,MUN,1130,1120,2023
0,0,0,0,0.0,370,0.0,0.0,0.0,0.0,54,0,0,0.0,0.0,2023-09-23,0,21,0,0,0,0,6,0,68068,0,1,0,0.0,0,5308,10962,5654,59,False,0,0,0,0,0.0,3,Christian Eriksen,14.0,BUR,1050,1040,MUN,1210,1230,2023
0,0,8,0,11.6,370,0.0322848819196224,0.17,0.0,0.27,65,0,0,1.9,7.2,2023-09-30,13,7,0,0,0,0,7,0,60313,0,1,0,0.0,1,-8304,4115,12419,59,True,0,0,1,0,0.0,3,Christian Eriksen,14.0,CRY,1120,1085,MUN,1130,1120,2023
0,0,10,0,12.6,370,0.0124625219032168,0.03,0.0148833123967051,0.42,78,0,0,3.1,11.4,2023-10-07,45,4,0,0,0,0,8,0,57592,0,1,2,7.0,1,-4132,2075,6207,59,True,0,1,1,0,0.0148833123967051,3,Christian Eriksen,14.0,BRE,1055,1150,MUN,1130,1120,2023
0,0,5,0,2.9,370,0.0,0.15,0.0,0.05,89,0,0,1.1,5.8,2023-10-21,27,23,0,0,0,0,9,0,55932,0,2,1,2.0,1,-2764,2146,4910,59,False,0,0,0,0,0.0,3,Christian Eriksen,14.0,SHU,1045,1020,MUN,1210,1230,2023
0,0,13,0,15.9,370,0.3627910017967224,0.31,0.0474153757095336,3.83,98,3,0,3.1,9.8,2023-10-29,85,13,0,0,0,0,10,0,52680,1,3,0,5.0,2,-3703,1018,4721,59,True,0,1,1,0,0.0474153757095336,3,Christian Eriksen,14.0,MCI,1360,1370,MUN,1130,1120,2023
0,0,15,1,17.0,370,0.0550128407776355,0.1,0.0211678687483072,0.9,104,0,0,3.3,14.0,2023-11-04,78,9,0,0,0,0,11,0,53004,1,1,0,2.0,3,-495,2583,3078,59,False,0,1,1,0,0.0211678687483072,3,Christian Eriksen,14.0,FUL,1050,1060,MUN,1210,1230,2023
0,0,3,0,2.4,370,0.0,0.01,0.0,0.2,118,0,0,0.5,0.8,2023-11-11,39,22,0,0,0,0,12,0,53182,1,0,1,2.0,1,-334,1995,2329,59,True,0,0,0,0,0.0,3,Christian Eriksen,14.0,LUT,1060,1120,MUN,1130,1120,2023
0,0,0,0,0.0,370,0.0,0.0,0.0,0.0,123,0,0,0.0,0.0,2023-11-26,0,8,0,0,0,0,13,0,45887,0,3,0,0.0,0,-7193,132,7325,59,False,0,0,0,0,0.0,3,Christian Eriksen,14.0,EVE,1125,1065,MUN,1210,1230,2023
0,0,0,0,0.0,370,0.0,0.0,0.0,0.0,138,0,0,0.0,0.0,2023-12-02,0,15,0,0,0,0,14,0,43413,0,0,1,0.0,0,-2733,37,2770,58,False,0,0,0,0,0.0,3,Christian Eriksen,14.0,NEW,1050,1160,MUN,1210,1230,2023
0,0,0,0,0.0,370,0.0,0.0,0.0,0.0,150,0,0,0.0,0.0,2023-12-06,0,6,0,0,0,0,15,0,42292,0,1,2,0.0,0,-1182,16,1198,58,True,0,0,0,0,0.0,3,Christian Eriksen,14.0,CHE,1150,1230,MUN,1130,1120,2023
0,0,0,0,0.0,370,0.0,0.0,0.0,0.0,157,0,0,0.0,0.0,2023-12-09,0,3,0,0,0,0,16,0,41265,0,3,0,0.0,0,-1041,27,1068,58,True,0,0,0,0,0.0,3,Christian Eriksen,14.0,BOU,1130,1075,MUN,1130,1120,2023
0,0,0,0,0.0,370,0.0,0.0,0.0,0.0,166,0,0,0.0,0.0,2023-12-17,0,12,0,0,0,0,17,0,40200,0,0,0,0.0,0,-1080,35,1115,58,False,0,0,0,0,0.0,3,Christian Eriksen,14.0,LIV,1210,1270,MUN,1210,1230,2023
0,0,3,0,0.2,370,0.0,0.0,0.0,0.0,179,0,0,0.1,0.6,2023-12-23,5,19,0,0,0,0,18,0,39660,0,0,2,0.0,1,-582,45,627,58,False,0,0,0,0,0.0,3,Christian Eriksen,14.0,WHU,1055,1150,MUN,1210,1230,2023
0,0,13,0,23.1,370,0.0959279984235763,0.27,0.0468782223761081,1.68,188,2,0,4.2,9.6,2023-12-26,90,2,0,0,0,0,19,0,39779,1,2,3,9.0,2,-44,242,286,58,True,0,2,1,0,0.0468782223761081,3,Christian Eriksen,14.0,AVL,1220,1350,MUN,1130,1120,2023
0,0,12,0,40.8,370,0.1442005336284637,0.48,0.161031499505043,0.74,197,2,0,6.9,17.0,2023-12-30,90,16,0,0,0,0,20,0,40610,1,1,2,11.0,1,537,904,367,58,False,1,2,3,0,0.161031499505043,3,Christian Eriksen,14.0,NFO,1050,1080,MUN,1210,1230,2023
0,0,6,0,29.2,370,0.1197543442249298,0.1,0.0,1.12,208,2,0,3.4,5.2,2024-01-14,57,18,0,0,0,0,21,0,40771,1,2,2,0.0,1,-319,596,915,58,True,0,0,2,0,0.0,3,Christian Eriksen,14.0,TOT,1150,1310,MUN,1130,1120,2023
0,0,0,0,0.0,370,0.0,0.0,0.0,0.0,218,0,0,0.0,0.0,2024-02-01,0,20,0,0,0,0,22,0,40954,0,4,3,0.0,0,-217,334,551,58,False,0,0,0,0,0.0,3,Christian Eriksen,14.0,WOL,1085,1115,MUN,1210,1230,2023
0,0,0,0,0.0,370,0.0,0.0,0.0,0.0,228,0,0,0.0,0.0,2024-02-04,0,19,0,0,0,0,23,0,40893,0,0,3,0.0,0,-192,104,296,58,True,0,0,0,0,0.0,3,Christian Eriksen,14.0,WHU,1140,1150,MUN,1130,1120,2023
0,0,0,0,0.0,370,0.0,0.0,0.0,0.0,231,0,0,0.0,0.0,2024-02-11,0,2,0,0,0,0,24,0,40758,0,2,1,0.0,0,-322,165,487,58,False,0,0,0,0,0.0,3,Christian Eriksen,14.0,AVL,1140,1180,MUN,1210,1230,2023
0,0,0,0,0.0,370,0.0,0.0,0.0,0.0,245,0,0,0.0,0.0,2024-02-18,0,22,0,0,0,0,25,0,40636,0,2,1,0.0,0,-307,192,499,58,False,0,0,0,0,0.0,3,Christian Eriksen,14.0,LUT,1020,1090,MUN,1210,1230,2023
0,0,17,0,52.6,370,0.5953512787818909,0.6,0.0,0.55,258,2,0,7.1,18.6,2024-02-24,37,9,0,0,0,0,26,0,40751,0,2,1,0.0,1,-160,272,432,58,True,0,0,4,0,0.0,3,Christian Eriksen,14.0,FUL,1180,1170,MUN,1130,1120,2023
0,0,0,0,0.0,370,0.0,0.0,0.0,0.0,266,0,0,0.0,0.0,2024-03-03,0,13,0,0,0,0,27,0,40734,0,1,3,0.0,0,-185,122,307,58,False,0,0,0,0,0.0,3,Christian Eriksen,14.0,MCI,1350,1360,MUN,1210,1230,2023
0,0,0,0,0.0,370,0.0,0.0,0.0,0.0,278,0,0,0.0,0.0,2024-03-09,0,8,0,0,0,0,28,0,40765,0,0,2,0.0,0,-187,155,342,58,True,0,0,0,0,0.0,3,Christian Eriksen,14.0,EVE,1125,1080,MUN,1130,1120,2023
