assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,0,0,0.0,212,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2023-09-30,0,14,0,0,0,0,7,0,0,0,1,0,0.0,0,0,0,0,45,False,0,0,0,0,0.0,3,David Ozoh,7,MUN,1130,1120,CRY,1120,1085,2023,0.0,,1.19015,1.0,1.19015,1.55408,16.0,1.55408
0,0,0,0,0.0,212,0.0,0.0,0.0,0.0,74,0,0,0.0,0.0,2023-10-07,0,16,0,0,0,0,8,0,145,0,0,0,0.0,0,90,123,33,45,True,0,0,0,0,0.0,3,David Ozoh,7,NFO,1125,1080,CRY,1080,1060,2023,0.0,,0.982452,5.0,0.982452,1.22105,12.0,1.22105
0,0,3,0,0.0,212,0.0,0.0,0.0,0.0,87,0,0,0.2,2.4,2023-10-21,3,15,0,0,0,0,9,0,223,0,0,4,0.0,1,42,84,42,45,False,0,0,0,0,0.0,3,David Ozoh,7,NEW,1050,1160,CRY,1120,1085,2023,0.0,,1.08795,3.0,1.08795,3.73336,9.0,3.73336
0,0,0,0,0.0,212,0.0,0.0,0.0,0.0,96,0,0,0.0,0.0,2023-10-27,0,18,0,0,0,0,10,0,294,0,2,1,0.0,0,51,109,58,45,True,0,0,0,0,0.0,3,David Ozoh,7,TOT,1150,1310,CRY,1080,1060,2023,0.0,,0.561834,3.0,0.561834,0.989103,12.0,0.989103
0,0,0,0,0.0,212,0.0,0.0,0.0,0.0,102,0,0,0.0,0.0,2023-11-04,0,21,0,0,0,0,11,0,408,0,2,0,0.0,0,90,133,43,45,False,0,0,0,0,0.0,3,David Ozoh,7,BUR,1050,1040,CRY,1120,1085,2023,0.0,,1.43653,2.0,1.43653,1.4998,9.0,1.4998
0,0,0,0,0.0,212,0.0,0.0,0.0,0.0,116,0,0,0.0,0.0,2023-11-11,0,8,0,0,0,0,12,0,398,0,3,2,0.0,0,-15,67,82,45,True,0,0,0,0,0.0,3,David Ozoh,7,EVE,1125,1080,CRY,1080,1060,2023,0.0,,1.89194,10.0,1.13077,1.7904,8.0,1.7904
0,0,0,0,0.0,212,0.0,0.0,0.0,0.0,125,0,0,0.0,0.0,2023-11-25,0,22,0,0,0,0,13,0,460,0,1,2,0.0,0,32,95,63,45,False,0,0,0,0,0.0,3,David Ozoh,7,LUT,1020,1090,CRY,1120,1085,2023,0.0,,1.83546,10.0,1.83546,0.996153,4.0,0.996153
0,0,0,0,0.0,212,0.0,0.0,0.0,0.0,140,0,0,0.0,0.0,2023-12-03,0,19,0,0,0,0,14,0,499,0,1,1,0.0,0,21,79,58,45,False,0,0,0,0,0.0,3,David Ozoh,7,WHU,1055,1150,CRY,1120,1085,2023,0.0,,0.987682,7.0,0.987682,1.1466,5.0,1.1466
0,0,0,0,0.0,212,0.0,0.0,0.0,0.0,143,0,0,0.0,0.0,2023-12-06,0,3,0,0,0,0,15,0,512,0,2,0,0.0,0,9,51,42,45,True,0,0,0,0,0.0,3,David Ozoh,7,BOU,1130,1075,CRY,1080,1060,2023,0.0,,1.26441,9.0,1.26441,1.79997,7.0,1.79997
0,0,2,0,0.1,212,0.0,0.0,0.0,0.0,153,0,0,0.0,0.0,2023-12-09,1,12,0,0,0,0,16,0,503,0,2,1,0.0,1,-21,36,57,45,True,0,0,0,0,0.0,3,David Ozoh,7,LIV,1350,1390,CRY,1080,1060,2023,0.0,,1.79152,4.0,1.03036,1.3708,15.0,1.3708
0,0,3,0,1.8,212,0.0,0.01,0.0,0.52,167,1,0,1.0,7.8,2023-12-16,56,13,0,0,0,0,17,0,488,0,2,2,0.0,1,-27,28,55,45,False,0,0,0,0,0.0,3,David Ozoh,7,MCI,1350,1360,CRY,1120,1085,2023,0.0,,1.64977,4.0,0.888604,2.41646,5.0,2.41646
