assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,13,1,32.9,288,0.2,0.27,0.07,2.73,5,0,0,4.9,10.8,2023-08-12 14:00:00+00:00,90,9,0,0,0,0,1,0,15157,1,1,0,5.0,3,0,0,0,55,False,0,3,Harry Wilson,10,1,EVE,1125,1065,FUL,1180,1170,1,2023
0,0,8,0,20.8,288,0.14,0.19,0.05,3.8,13,3,0,5.8,11.0,2023-08-19 14:00:00+00:00,90,4,0,0,0,0,2,0,20686,1,3,0,26.0,2,1268,3379,2111,55,True,0,3,Harry Wilson,10,2,BRE,1055,1150,FUL,1050,1060,1,2023
0,0,5,0,1.8,288,0.0,0.03,0.03,2.32,21,1,0,0.1,0.0,2023-08-26 14:00:00+00:00,70,1,0,0,0,0,3,0,17178,1,2,2,1.0,2,-4122,641,4763,55,False,0,3,Harry Wilson,10,3,ARS,1370,1330,FUL,1180,1170,1,2023
0,0,4,0,0.8,288,0.0,0.0,0.0,2.07,39,4,0,0.1,0.0,2023-09-02 14:00:00+00:00,80,13,0,0,0,0,4,0,15582,1,1,5,2.0,2,-2312,452,2764,54,False,0,3,Harry Wilson,10,4,MCI,1350,1360,FUL,1180,1170,1,2023
0,0,11,1,16.3,288,0.06,0.16,0.1,0.86,44,0,0,3.1,2.2,2023-09-16 14:00:00+00:00,80,12,0,0,0,0,5,0,20290,1,0,1,12.0,3,3501,5985,2484,54,True,0,3,Harry Wilson,10,5,LUT,1060,1120,FUL,1050,1060,1,2023
0,0,7,0,3.3,288,0.02,0.06,0.04,0.06,56,0,0,1.6,6.4,2023-09-23 14:00:00+00:00,11,8,0,0,0,0,6,0,18592,0,0,0,6.0,1,-1695,1457,3152,54,False,0,3,Harry Wilson,10,6,CRY,1080,1060,FUL,1180,1170,1,2023
0,0,0,0,3.2,288,0.01,0.01,0.0,1.17,64,2,0,0.9,0.0,2023-10-02 19:00:00+00:00,53,7,0,0,0,0,7,0,16130,1,2,0,6.0,1,-2603,608,3211,54,True,0,3,Harry Wilson,10,7,CHE,1150,1230,FUL,1050,1060,1,2023
0,0,4,0,6.1,288,0.18,0.21,0.03,0.02,76,0,0,1.1,3.4,2023-10-07 14:00:00+00:00,12,17,0,0,0,0,8,0,16708,0,1,3,1.0,1,173,1754,1581,54,True,0,3,Harry Wilson,10,8,SHU,1020,1060,FUL,1050,1060,1,2023
0,0,8,0,13.8,288,0.21,0.52,0.31,0.23,90,0,0,3.2,7.8,2023-10-23 19:00:00+00:00,28,18,0,0,0,0,9,0,15236,0,0,2,10.0,1,-1505,590,2095,54,False,0,3,Harry Wilson,10,9,TOT,1110,1230,FUL,1180,1170,1,2023
1,0,12,0,21.0,288,0.06,0.06,0.0,0.71,94,0,0,4.4,21.2,2023-10-29 14:00:00+00:00,32,5,0,0,0,0,10,0,14365,0,1,1,2.0,3,-964,366,1330,53,False,1,3,Harry Wilson,10,10,BHA,1070,1135,FUL,1180,1170,1,2023
0,0,3,1,14.0,288,0.19,0.36,0.17,0.56,104,0,0,2.8,1.0,2023-11-04 12:30:00+00:00,89,14,0,0,0,0,11,0,14671,1,1,0,13.0,2,132,1001,869,53,True,1,3,Harry Wilson,10,11,MUN,1210,1230,FUL,1050,1060,1,2023
0,0,1,0,5.5,288,0.14,0.19,0.05,2.0,112,1,0,1.2,0.6,2023-11-12 14:00:00+00:00,45,2,0,0,0,0,12,0,14250,0,1,3,6.0,1,-487,419,906,53,False,0,3,Harry Wilson,10,12,AVL,1140,1180,FUL,1180,1170,1,2023
1,0,11,0,0.5,288,0.0,0.0,0.0,0.14,124,0,0,0.6,1.4,2023-11-27 20:00:00+00:00,14,20,0,0,0,0,13,0,14087,0,2,3,4.0,4,-277,412,689,53,True,0,3,Harry Wilson,10,13,WOL,1105,1100,FUL,1050,1060,1,2023
0,0,24,0,2.7,288,0.02,0.26,0.24,0.95,136,2,1,8.2,46.2,2023-12-03 14:00:00+00:00,61,11,0,0,0,0,14,0,13812,1,3,4,33.0,7,-313,257,570,53,False,0,3,Harry Wilson,10,14,LIV,1210,1270,FUL,1180,1170,1,2023
1,0,17,0,11.2,288,0.13,0.17,0.04,0.19,145,0,0,3.5,17.8,2023-12-06 19:30:00+00:00,27,16,0,0,0,0,15,0,17682,0,0,5,6.0,4,3575,4048,473,53,True,0,3,Harry Wilson,10,15,NFO,1125,1080,FUL,1050,1060,1,2023
1,0,31,0,15.0,288,0.24,0.64,0.4,0.94,155,0,1,9.7,54.4,2023-12-10 14:00:00+00:00,45,19,0,0,0,0,16,0,17203,0,0,5,28.0,9,-403,989,1392,53,True,0,3,Harry Wilson,10,16,WHU,1140,1150,FUL,1050,1060,1,2023
0,0,8,0,4.9,288,0.02,0.02,0.0,3.97,168,3,0,2.4,12.6,2023-12-16 15:00:00+00:00,90,15,0,0,0,0,17,0,27269,1,0,3,6.0,2,9274,10586,1312,53,False,0,3,Harry Wilson,10,17,NEW,1050,1160,FUL,1180,1170,1,2023
0,0,9,0,19.1,288,0.04,0.22,0.18,0.41,173,2,0,5.4,10.6,2023-12-23 15:00:00+00:00,90,6,0,0,0,0,18,0,33102,1,2,0,24.0,2,5378,7648,2270,53,True,0,3,Harry Wilson,10,18,BUR,1050,1050,FUL,1050,1060,1,2023
0,0,2,0,1.5,288,0.0,0.0,0.0,0.26,182,1,0,0.2,0.0,2023-12-26 15:00:00+00:00,17,3,0,0,0,0,19,0,32137,0,0,3,0.0,1,-467,3842,4309,53,False,0,3,Harry Wilson,10,19,BOU,1055,1145,FUL,1180,1170,1,2023
0,0,4,0,0.5,288,0.0,0.03,0.03,0.06,193,0,0,0.7,2.0,2023-12-31 14:00:00+00:00,10,1,0,0,0,0,20,0,25213,0,1,2,4.0,1,-6902,646,7548,53,True,0,3,Harry Wilson,10,20,ARS,1370,1360,FUL,1050,1060,1,2023
