assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2023-08-12 14:00:00+00:00,0,9,0,0,0,0,1,0,1356,0,1,0,0.0,0,0,0,0,50,False,0,3,Ivan Neves Abreu Cavaleiro,10,EVE,1125,1065,FUL,1180,1170,1,2023
0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,13,0,0,0.0,0.0,2023-08-19 14:00:00+00:00,0,4,0,0,0,0,2,0,736,0,3,0,0.0,0,-596,0,596,50,True,0,3,Ivan Neves Abreu Cavaleiro,10,BRE,1055,1150,FUL,1050,1060,1,2023
0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,21,0,0,0.0,0.0,2023-08-26 14:00:00+00:00,0,1,0,0,0,0,3,0,585,0,2,2,0.0,0,-178,0,178,50,False,0,3,Ivan Neves Abreu Cavaleiro,10,ARS,1370,1330,FUL,1180,1170,1,2023
0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2023-09-02 14:00:00+00:00,0,13,0,0,0,0,4,0,511,0,1,5,0.0,0,-76,0,76,50,False,0,3,Ivan Neves Abreu Cavaleiro,10,MCI,1350,1360,FUL,1180,1170,1,2023
0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,44,0,0,0.0,0.0,2023-09-16 14:00:00+00:00,0,12,0,0,0,0,5,0,456,0,0,1,0.0,0,-54,0,54,50,True,0,3,Ivan Neves Abreu Cavaleiro,10,LUT,1060,1120,FUL,1050,1060,1,2023
0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,56,0,0,0.0,0.0,2023-09-23 14:00:00+00:00,0,8,0,0,0,0,6,0,443,0,0,0,0.0,0,-15,0,15,50,False,0,3,Ivan Neves Abreu Cavaleiro,10,CRY,1080,1060,FUL,1180,1170,1,2023
0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,64,0,0,0.0,0.0,2023-10-02 19:00:00+00:00,0,7,0,0,0,0,7,0,427,0,2,0,0.0,0,-16,0,16,50,True,0,3,Ivan Neves Abreu Cavaleiro,10,CHE,1150,1230,FUL,1050,1060,1,2023
0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,76,0,0,0.0,0.0,2023-10-07 14:00:00+00:00,0,17,0,0,0,0,8,0,412,0,1,3,0.0,0,-15,0,15,50,True,0,3,Ivan Neves Abreu Cavaleiro,10,SHU,1020,1060,FUL,1050,1060,1,2023
0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,90,0,0,0.0,0.0,2023-10-23 19:00:00+00:00,0,18,0,0,0,0,9,0,403,0,0,2,0.0,0,-8,0,8,50,False,0,3,Ivan Neves Abreu Cavaleiro,10,TOT,1110,1230,FUL,1180,1170,1,2023
0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,94,0,0,0.0,0.0,2023-10-29 14:00:00+00:00,0,5,0,0,0,0,10,0,394,0,1,1,0.0,0,-11,0,11,50,False,0,3,Ivan Neves Abreu Cavaleiro,10,BHA,1070,1135,FUL,1180,1170,1,2023
