assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,4,0,21.7,1613,0.03,0.09,0.06,0.96,1,2,0,2.8,0.2,2023-08-11 19:00:00+00:00,60,13,0,0,0,0,1,0,1053,1,3,0,6.0,2,0,0,0,50,True,0,3,Luca Koleosho,21,MCI,1360,1370,BUR,1050,1040,1,2023
0,0,4,0,16.9,1613,0.09,0.13,0.04,2.21,25,3,0,2.5,2.8,2023-08-27 13:00:00+00:00,67,2,0,0,0,0,3,0,3435,1,3,1,5.0,2,-228,166,394,50,True,0,3,Luca Koleosho,21,AVL,1220,1350,BUR,1050,1040,1,2023
1,0,12,0,11.1,1613,0.31,0.39,0.08,2.14,34,5,0,4.6,19.0,2023-09-02 14:00:00+00:00,67,18,0,0,0,0,4,0,3570,1,5,2,16.0,5,-76,270,346,50,True,0,3,Luca Koleosho,21,TOT,1150,1310,BUR,1050,1040,1,2023
0,0,5,0,23.6,1613,0.03,0.03,0.0,0.59,47,1,0,3.9,7.6,2023-09-18 18:45:00+00:00,75,16,0,0,0,0,5,0,4973,1,1,1,8.0,2,906,1462,556,50,False,0,3,Luca Koleosho,21,NFO,1050,1080,BUR,1050,1050,1,2023
0,0,3,0,2.9,1613,0.02,0.09,0.07,0.49,54,1,0,1.2,0.0,2023-09-23 19:00:00+00:00,72,14,0,0,0,0,6,0,7346,1,1,0,10.0,2,2249,2966,717,50,True,0,3,Luca Koleosho,21,MUN,1210,1230,BUR,1050,1040,1,2023
0,0,8,0,11.2,1613,0.13,0.13,0.0,1.91,66,1,0,2.1,3.4,2023-09-30 14:00:00+00:00,57,15,0,0,0,0,7,0,29302,1,0,2,6.0,1,18660,20444,1784,50,False,0,3,Luca Koleosho,21,NEW,1050,1160,BUR,1050,1050,1,2023
0,0,4,1,13.1,1613,0.16,0.25,0.09,1.0,15,0,0,4.9,3.0,2023-10-03 18:30:00+00:00,74,22,0,0,0,0,7,0,29302,1,2,1,33.0,3,18660,20444,1784,50,False,0,3,Luca Koleosho,21,LUT,1020,1090,BUR,1050,1050,1,2023
0,0,4,0,14.0,1613,0.02,0.06,0.04,0.39,73,2,0,2.9,8.2,2023-10-07 14:00:00+00:00,29,6,0,0,0,0,8,0,20710,0,4,1,7.0,1,-5195,1928,7123,50,True,0,3,Luca Koleosho,21,CHE,1150,1230,BUR,1050,1040,1,2023
0,0,6,0,1.4,1613,0.01,0.95,0.94,0.7,83,2,0,1.4,5.0,2023-10-21 14:00:00+00:00,45,4,0,0,0,0,9,0,17566,0,0,3,8.0,1,-3586,975,4561,50,False,0,3,Luca Koleosho,21,BRE,1110,1090,BUR,1050,1050,1,2023
0,0,-1,0,1.8,1613,0.01,0.01,0.0,1.07,93,2,0,1.0,0.0,2023-10-28 14:00:00+00:00,80,3,0,0,0,0,10,0,14426,1,1,2,8.0,2,-3226,565,3791,50,False,0,3,Luca Koleosho,21,BOU,1055,1145,BUR,1050,1050,1,2023
