assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,season,position
0,0,11,0,23.4,14,0.0693142190575599,0.2,0.1288643628358841,1.18,2,1,0,4.9,12.0,2023-08-12,90,16,0,0,0,0,1,0,1941821,1,1,2,14.0,2,0,0,0,85,True,0,Martin Ødegaard,13,3,1,0,0.1288643628358841,1,NFO,1125,1080,ARS,1370,1330,1.4410302499999998,9.75,1.2781050000000005,5.25,2.0115295,12.4375,1.37197745625,5.75,1.36434225,4.0,1.45205025,11.0,1.063239,4.125,2.010724375,11.4375,2023,MID
0,3,32,1,19.8,14,0.0701504796743393,0.92,0.803106427192688,0.8,12,0,1,9.1,44.6,2023-08-21,89,7,0,0,0,0,2,0,2052971,1,1,0,27.0,11,-87344,75089,162433,85,False,0,Martin Ødegaard,13,3,1,0,0.041974376887083,1,CRY,1080,1060,ARS,1370,1360,1.32903275,10.0,1.1766212500000002,3.5,1.885455125,12.125,1.41138701875,5.875,1.59856,9.75,0.7690887500000001,5.0,1.2329165625,6.6875,1.0144016875,5.3125,2023,MID
0,0,10,0,12.4,14,0.0,0.25,0.0964855179190635,0.29,21,1,0,4.8,11.8,2023-08-26,83,9,0,0,0,0,3,0,2222102,1,2,2,24.0,2,68376,166740,98364,85,True,0,Martin Ødegaard,13,3,0,0,0.0964855179190635,1,FUL,1180,1170,ARS,1370,1330,1.6408525,9.75,0.8907212500000002,5.5,1.9781970625,11.9375,1.476937875,6.375,1.45454975,8.5,2.6286,11.0,1.1073541875,6.25,2.0125490625,8.25,2023,MID
0,0,24,0,5.4,14,0.0,0.4,0.2741290032863617,0.96,31,1,1,8.4,38.2,2023-09-03,90,14,0,0,0,0,4,0,2020789,1,1,3,40.0,7,-228233,38052,266285,85,True,0,Martin Ødegaard,13,5,0,1,0.2741290032863617,1,MUN,1210,1230,ARS,1370,1330,2.3260225,12.5,0.8182505000000002,4.75,1.9883026875,12.5,1.4298014375,6.1875,2.54815,13.75,1.7758359999999995,9.25,2.239539875,12.875,1.4814716875,6.375,2023,MID
0,0,12,1,37.8,14,0.1071492508053779,0.39,0.2345794588327407,0.3,43,0,0,9.4,15.8,2023-09-17,90,8,0,0,0,0,5,0,2102450,1,1,0,40.0,3,905,104639,103734,85,False,0,Martin Ødegaard,13,2,3,0,0.2345794588327407,1,EVE,1125,1065,ARS,1370,1360,2.0472900000000003,12.25,0.9628477500000004,5.0,1.9537364375,11.25,1.381266375,6.25,1.98702625,4.75,1.95052,7.0,1.7219064375,4.875,1.9944963125,8.3125,2023,MID
0,0,1,0,29.9,14,0.0977013185620307,0.09,0.0274420399218797,1.5,51,2,0,5.6,11.2,2023-09-24,90,18,0,0,0,0,6,0,2125864,1,2,2,15.0,1,5787,88294,82507,85,True,1,Martin Ødegaard,13,1,3,0,0.0274420399218797,1,TOT,1150,1310,ARS,1370,1330,2.03728625,12.5,0.7920640000000002,4.75,1.838677375,10.625,1.3603195,6.125,2.3392825,17.25,1.3465792499999998,7.25,1.730196875,8.0,1.6344050625,8.125,2023,MID
2,3,56,1,48.3,14,0.8848351240158081,1.17,0.7611688375473022,0.69,62,0,1,14.0,64.8,2023-09-30,90,3,0,0,0,0,7,0,2213647,1,4,0,27.0,17,44576,183019,138443,85,False,0,Martin Ødegaard,13,1,3,0,0.0,1,BOU,1055,1145,ARS,1370,1360,2.07152875,11.75,1.0776890000000003,4.5,1.889128625,10.0625,1.424052,6.375,1.3771755,6.0,2.218775,15.0,1.243541375,6.6875,1.8525074375,10.3125,2023,MID
0,0,7,1,32.4,14,0.046504121273756,0.24,0.0726684927940368,0.55,71,0,0,5.4,12.0,2023-10-08,90,13,0,0,0,0,8,0,2306616,1,0,1,10.0,3,88758,218848,130090,85,True,0,Martin Ødegaard,13,3,2,0,0.0726684927940368,1,MCI,1360,1370,ARS,1370,1330,2.28235875,10.0,1.0263455000000004,7.25,1.937798625,10.625,1.433229125,6.8125,2.1181425,11.0,0.940749,3.25,2.06798,11.0,0.898734875,4.25,2023,MID
0,0,8,0,29.8,14,0.0791547447443008,0.11,0.0,1.34,84,2,0,3.7,7.0,2023-10-21,77,6,0,0,0,0,9,0,2374067,1,2,2,0.0,2,42087,126893,84806,85,False,0,Martin Ødegaard,13,0,2,0,0.0,1,CHE,1080,1170,ARS,1370,1360,1.90156575,9.5,0.9993360000000002,8.0,1.865939125,11.125,1.1968510625,6.0625,1.6385500000000002,10.75,1.07649125,6.25,1.6175851875,11.25,1.610405625,7.25,2023,MID
0,0,0,0,0.0,14,0.0,0.0,0.0,0.0,91,0,0,0.0,0.0,2023-10-28,0,23,0,0,0,0,10,0,2219658,0,0,5,0.0,0,-159675,57342,217017,85,True,0,Martin Ødegaard,13,0,0,0,0.0,1,SHU,1020,1060,ARS,1370,1330,1.965392,8.25,1.3581385000000004,9.25,1.76219475,10.8125,1.1816904375,6.3125,0.7884845,4.25,3.00843,10.75,0.8061741111111111,3.888888888888889,2.71417,11.555555555555555,2023,MID
0,0,0,0,0.0,14,0.0,0.0,0.0,0.0,107,0,0,0.0,0.0,2023-11-04,0,15,0,0,0,0,11,0,1929688,0,0,1,0.0,0,-289502,10562,300064,84,False,0,Martin Ødegaard,13,0,0,0,0.0,1,NEW,1050,1160,ARS,1370,1360,2.138407,9.5,0.8122623500000002,7.25,1.802124125,9.9375,1.094035775,6.1875,2.7792600000000003,6.25,0.92113425,4.5,2.50952025,8.4375,1.0429802,5.75,2023,MID
0,0,0,0,0.0,14,0.0,0.0,0.0,0.0,111,0,0,0.0,0.0,2023-11-11,0,21,0,0,0,0,12,0,1525026,0,1,3,0.0,0,-400725,5747,406472,84,True,0,Martin Ødegaard,13,0,0,0,0.0,1,BUR,1050,1050,ARS,1370,1330,1.2537252499999996,7.5,0.9320391000000002,5.0,1.8106929375,10.0,1.03852765,5.875,1.01303025,4.75,1.91739,8.75,0.920449818181818,5.181818181818182,1.9515334545454548,8.909090909090908,2023,MID
0,0,10,1,23.4,14,0.0614489018917083,0.23,0.1051025539636612,1.11,121,0,0,4.1,5.4,2023-11-25,90,4,0,0,0,0,13,0,1351496,1,1,0,12.0,3,-183793,6102,189895,83,False,0,Martin Ødegaard,13,1,1,0,0.1051025539636612,1,BRE,1110,1090,ARS,1370,1360,1.81507075,8.75,0.7994478500000002,3.75,1.8012391874999998,10.0625,1.00993415,5.5,2.2293000000000003,9.5,1.43155725,9.0,1.9066800625,8.25,1.3661629375,7.9375,2023,MID
0,3,46,0,88.6,14,1.6295984983444214,0.95,0.1084608063101768,0.71,131,1,1,16.1,53.4,2023-12-02,90,20,0,0,0,0,14,0,1387839,1,1,2,19.0,10,20251,49564,29313,83,True,0,Martin Ødegaard,13,1,6,1,0.1084608063101768,1,WOL,1105,1100,ARS,1370,1330,2.00734075,8.5,0.7856403500000002,2.75,1.8347629375,9.8125,1.028116025,5.0625,1.37475325,5.5,1.58610125,5.75,1.277489,5.875,2.0735690625,10.3125,2023,MID
1,0,24,0,72.0,14,0.2108885049819946,0.5,0.094151347875595,0.5,146,3,0,12.5,35.2,2023-12-05,90,22,0,0,0,0,15,0,1504214,1,4,3,18.0,5,108642,118096,9454,83,False,0,Martin Ødegaard,13,2,5,0,0.094151347875595,1,LUT,1020,1090,ARS,1370,1360,2.07452075,10.25,1.0483165,2.75,1.98132725,10.3125,0.957247275,5.0,0.7431734999999999,3.0,2.71882,9.5,1.2058885714285714,4.857142857142857,2.5505521428571427,9.857142857142858,2023,MID
0,0,9,0,19.9,14,0.0565500818192958,0.52,0.2220484018325805,0.51,151,1,0,5.5,8.6,2023-12-09,90,2,0,0,0,0,16,0,1520776,1,0,1,26.0,2,16295,50180,33885,83,False,0,Martin Ødegaard,13,3,1,0,0.2220484018325805,1,AVL,1140,1180,ARS,1370,1360,2.58769,13.25,0.8989925000000002,1.75,2.112449125,10.8125,0.9189069,4.6875,2.0863125,6.25,1.6063787499999995,9.5,2.0630133125,9.75,1.4732519375,6.8125,2023,MID
0,0,13,1,51.2,14,0.1924314647912979,0.54,0.2869778871536255,0.69,161,0,0,10.7,14.2,2023-12-17,90,5,0,0,0,0,17,0,1547514,1,0,2,42.0,3,17419,60647,43228,84,True,0,Martin Ødegaard,13,5,4,0,0.2869778871536255,1,BHA,1180,1240,ARS,1370,1330,2.3588725,12.25,0.9741907500000002,2.0,2.03069975,10.6875,0.9339555875,4.6875,1.6441095,15.75,1.5403200000000004,6.5,1.7908175,11.25,1.518588125,7.4375,2023,MID
1,3,26,0,38.2,14,0.2878430783748626,0.22,0.0693952217698097,0.95,174,1,0,8.6,40.0,2023-12-23,90,12,0,0,0,0,18,0,1524620,1,1,1,8.0,8,-21003,18499,39502,84,False,0,Martin Ødegaard,13,1,3,0,0.0693952217698097,1,LIV,1210,1270,ARS,1370,1360,2.594565,16.0,0.7241667500000002,1.75,2.151146,11.3125,0.9150024,4.625,1.967845,14.5,1.1921142499999997,4.5,2.2294874375,12.0,1.26321184375,5.875,2023,MID
0,0,12,0,92.0,14,0.6424314975738525,1.11,0.0895112007856369,1.48,181,2,0,16.4,23.2,2023-12-28,90,19,0,0,0,0,19,0,1591455,1,2,0,49.0,2,55086,73325,18239,84,True,0,Martin Ødegaard,13,3,6,0,0.0895112007856369,1,WHU,1140,1150,ARS,1370,1330,1.98156525,13.25,0.7001770000000003,3.25,2.0665054375,11.1875,0.9096112125,4.4375,1.3192149999999998,3.5,1.2719455000000002,12.5,1.4769766875,4.625,1.776510875,9.75,2023,MID
0,0,13,0,42.7,14,0.1903245598077774,0.35,0.1240257546305656,1.34,193,2,0,6.6,9.8,2023-12-31,90,9,0,0,0,0,20,0,1622013,1,1,2,13.0,2,25549,64620,39071,84,False,0,Martin Ødegaard,13,2,3,0,0.1240257546305656,1,FUL,1050,1060,ARS,1370,1360,2.03162775,15.25,0.9678910000000004,3.5,2.0388504375,11.5,0.956317025,4.375,1.09119175,8.75,1.939645,9.75,1.3442915,7.6875,1.5540201875,7.375,2023,MID
0,0,11,1,40.3,14,0.124113917350769,0.13,0.0878590270876884,0.33,201,0,0,6.0,10.0,2024-01-20,90,7,0,0,0,0,21,0,1841349,1,0,5,10.0,3,192137,299585,107448,85,True,0,Martin Ødegaard,13,1,3,0,0.0878590270876884,1,CRY,1120,1085,ARS,1370,1330,2.01723525,14.0,1.1928387500000002,4.0,2.0231860625,11.125,0.9914533375,4.4375,1.46812675,8.0,1.9425875,8.25,1.2744846875,6.0,1.67059525,9.5625,2023,MID
0,0,14,0,57.2,14,0.5174648761749268,0.88,0.1953274756669998,0.25,215,1,0,10.0,13.8,2024-01-30,90,16,0,0,0,0,22,0,1796548,1,2,1,29.0,2,-39905,61965,101870,85,False,0,Martin Ødegaard,13,3,4,0,0.1953274756669998,1,NFO,1050,1080,ARS,1370,1360,2.20521275,13.75,1.0990960000000003,3.25,2.193127625,11.625,0.9917604,4.25,1.466516,6.0,1.81895625,9.5,1.2868603125,5.625,1.6573185,9.375,2023,MID
