assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order
1,2,42,1,18.8,360,0.5058456659317017,0.67,0.7942110300064087,0.3,1,0,1,15.3,70.2,2023-08-11,90,21,0,0,0,0,1,0,188887,1,3,0,64.0,13,0,0,0,55,False,0,4,1,1,0.7942110300064087,3,Rodrigo 'Rodri' Hernandez,13,BUR,1050,1040,MCI,1360,1370,2023,0.7942110300064087,3.0
0,0,19,1,8.4,360,0.0,0.07,0.0,0.29,16,0,0,3.1,20.4,2023-08-19,90,15,0,0,0,0,2,0,831130,1,0,1,2.0,3,395603,422644,27041,56,True,0,0,0,0,0.0,3,Rodrigo 'Rodri' Hernandez,13,NEW,1210,1355,MCI,1350,1360,2023,0.0,3.0
0,3,39,0,19.3,360,0.0220532529056072,0.36,0.2633367478847503,0.73,30,1,1,10.8,51.8,2023-08-27,90,23,0,0,0,0,3,0,984866,1,2,1,37.0,10,114816,204457,89641,56,False,0,5,1,1,0.2633367478847503,3,Rodrigo 'Rodri' Hernandez,13,SHU,1045,1020,MCI,1360,1370,2023,0.2633367478847503,3.0
0,0,7,0,8.8,360,0.0,0.08,0.0,1.45,39,1,0,1.7,8.0,2023-09-02,75,9,0,0,0,0,4,0,1237508,1,1,5,0.0,1,195402,247089,51687,57,True,1,0,0,0,0.0,3,Rodrigo 'Rodri' Hernandez,13,FUL,1180,1170,MCI,1350,1360,2023,0.0,3.0
0,0,17,0,56.6,360,1.1511749029159546,1.32,0.1766586303710937,0.94,49,1,0,11.5,23.2,2023-09-16,90,19,0,0,0,0,5,0,1232114,1,3,1,35.0,1,-29725,102977,132702,57,False,1,5,4,0,0.1766586303710937,3,Rodrigo 'Rodri' Hernandez,13,WHU,1055,1150,MCI,1360,1370,2023,0.1766586303710937,3.0
0,0,1,0,14.1,360,0.0,0.24,0.0,1.92,59,0,0,1.7,1.2,2023-09-23,45,16,0,0,0,1,6,0,1215447,1,0,2,2.0,-2,-28647,80570,109217,57,True,0,0,0,0,0.0,3,Rodrigo 'Rodri' Hernandez,13,NFO,1125,1080,MCI,1350,1360,2023,0.0,3.0
0,0,0,0,0.0,360,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2023-09-30,0,20,0,0,0,0,7,0,695298,0,1,2,0.0,0,-506631,2473,509104,56,False,0,0,0,0,0.0,3,Rodrigo 'Rodri' Hernandez,13,WOL,1085,1115,MCI,1360,1370,2023,0.0,3.0
0,0,0,0,0.0,360,0.0,0.0,0.0,0.0,71,0,0,0.0,0.0,2023-10-08,0,1,0,0,0,0,8,0,589638,0,0,1,0.0,0,-123629,2064,125693,56,False,0,0,0,0,0.0,3,Rodrigo 'Rodri' Hernandez,13,ARS,1370,1330,MCI,1360,1370,2023,0.0,3.0
0,0,11,0,7.8,360,0.0,0.03,0.0,0.83,86,1,0,2.1,13.6,2023-10-21,90,5,0,0,0,0,9,0,598920,1,1,2,0.0,1,-689,26616,27305,56,True,1,0,0,0,0.0,3,Rodrigo 'Rodri' Hernandez,13,BHA,1180,1240,MCI,1350,1360,2023,0.0,3.0
1,0,22,1,8.8,360,0.0,0.14,0.0965770483016967,1.03,98,0,0,3.9,18.4,2023-10-29,90,14,0,0,0,0,10,0,578838,1,3,0,12.0,6,-21554,14047,35601,56,False,0,2,0,0,0.0965770483016967,3,Rodrigo 'Rodri' Hernandez,13,MUN,1130,1120,MCI,1360,1370,2023,0.0965770483016967,3.0
