assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,709,0.0,0.0,0.0,0.0,45,0,0,0.0,0.0,2023-09-16 14:00:00+00:00,0,5,0,0,0,0,5,0,3089,0,3,1,0.0,0,2295,2939,644,50,True,0,3,Sofyan Amrabat,14,5,BHA,1180,1240,MUN,1130,1120,1,2023
0,0,2,0,0.0,709,0.0,0.0,0.0,0.01,54,0,0,0.0,0.0,2023-09-23 19:00:00+00:00,1,6,0,0,0,0,6,0,3299,0,1,0,0.0,1,97,745,648,50,False,0,3,Sofyan Amrabat,14,6,BUR,1050,1040,MUN,1210,1230,1,2023
0,0,5,0,6.2,709,0.04,0.04,0.0,0.81,65,1,0,3.0,23.6,2023-09-30 14:00:00+00:00,90,8,0,0,0,0,7,0,14517,1,1,0,0.0,1,9371,10373,1002,50,True,1,3,Sofyan Amrabat,14,7,CRY,1120,1085,MUN,1130,1120,1,2023
0,0,14,0,39.6,709,0.12,0.12,0.0,0.95,78,1,0,5.4,12.4,2023-10-07 14:00:00+00:00,86,4,0,0,0,0,8,0,17275,1,1,2,2.0,2,2196,5479,3283,50,True,0,3,Sofyan Amrabat,14,8,BRE,1055,1150,MUN,1130,1120,1,2023
0,0,13,0,2.4,709,0.02,0.04,0.02,1.38,89,1,0,2.0,16.2,2023-10-21 19:00:00+00:00,90,17,0,0,0,0,9,0,18516,1,2,1,1.0,2,597,3930,3333,50,False,0,3,Sofyan Amrabat,14,9,SHU,1045,1020,MUN,1210,1230,1,2023
0,0,-1,0,0.3,709,0.0,0.0,0.0,1.54,98,1,0,0.8,7.6,2023-10-29 15:30:00+00:00,45,13,0,0,0,0,10,0,17883,1,3,0,0.0,0,-965,2290,3255,50,True,1,3,Sofyan Amrabat,14,10,MCI,1360,1370,MUN,1130,1120,1,2023
0,0,0,0,0.0,709,0.0,0.0,0.0,0.0,104,0,0,0.0,0.0,2023-11-04 12:30:00+00:00,0,10,0,0,0,0,11,0,17570,0,1,0,0.0,0,-755,2432,3187,50,False,0,3,Sofyan Amrabat,14,11,FUL,1050,1060,MUN,1210,1230,1,2023
0,0,0,0,0.0,709,0.0,0.0,0.0,0.0,118,0,0,0.0,0.0,2023-11-11 15:00:00+00:00,0,12,0,0,0,0,12,0,15616,0,0,1,0.0,0,-2111,788,2899,50,True,0,3,Sofyan Amrabat,14,12,LUT,1060,1120,MUN,1130,1120,1,2023
0,0,4,0,0.0,709,0.0,0.0,0.0,1.14,123,0,0,0.3,3.0,2023-11-26 16:30:00+00:00,18,9,0,0,0,0,13,0,14466,0,3,0,0.0,1,-1457,746,2203,50,False,0,3,Sofyan Amrabat,14,13,EVE,1125,1065,MUN,1210,1230,1,2023
0,0,0,0,0.5,709,0.0,0.03,0.03,0.0,138,0,0,0.3,1.6,2023-12-02 20:00:00+00:00,10,15,0,0,0,0,14,0,13715,0,0,1,1.0,1,-964,542,1506,50,False,0,3,Sofyan Amrabat,14,14,NEW,1050,1160,MUN,1210,1230,1,2023
0,0,21,0,12.5,709,0.02,0.02,0.0,1.4,150,1,0,2.2,9.6,2023-12-06 20:15:00+00:00,90,7,0,0,0,0,15,0,13198,1,1,2,0.0,2,-633,316,949,50,True,0,3,Sofyan Amrabat,14,15,CHE,1150,1230,MUN,1130,1120,1,2023
0,0,16,0,3.7,709,0.03,0.03,0.0,1.48,157,3,0,1.9,14.8,2023-12-09 15:00:00+00:00,90,3,0,0,0,0,16,0,13513,1,3,0,0.0,2,58,868,810,50,True,0,3,Sofyan Amrabat,14,16,BOU,1130,1075,MUN,1130,1120,1,2023
0,0,2,1,0.6,709,0.0,0.0,0.0,2.35,166,0,0,1.2,11.2,2023-12-17 16:30:00+00:00,90,11,0,0,0,0,17,0,13271,1,0,0,0.0,2,-487,563,1050,50,False,1,3,Sofyan Amrabat,14,17,LIV,1210,1270,MUN,1210,1230,1,2023
0,0,0,0,0.0,709,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2023-12-23 12:30:00+00:00,0,19,0,0,0,0,18,0,13325,0,0,2,0.0,0,-213,525,738,50,False,0,3,Sofyan Amrabat,14,18,WHU,1055,1150,MUN,1210,1230,1,2023
0,0,0,0,0.0,709,0.0,0.0,0.0,0.0,188,0,0,0.0,0.0,2023-12-26 20:00:00+00:00,0,2,0,0,0,0,19,0,13144,0,2,3,0.0,0,-336,343,679,50,True,0,3,Sofyan Amrabat,14,19,AVL,1220,1350,MUN,1130,1120,1,2023
