assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,2,0,0.3,638,0.0,0.0,0.0,0.21,7,0,0,0.5,4.6,2023-08-12 14:00:00+00:00,10,8,0,0,0,0,1,0,317,0,1,0,0.0,1,0,0,0,50,True,0,3,Vini de Souza Costa,17,CRY,1120,1085,SHU,1045,1020,1,2023
0,0,9,0,12.0,638,0.0,0.06,0.06,0.82,17,1,0,3.5,15.2,2023-08-18 18:45:00+00:00,57,16,0,0,0,0,2,0,673,1,1,2,8.0,1,24,111,87,50,False,0,3,Vini de Souza Costa,17,NFO,1050,1080,SHU,1020,1060,1,2023
0,0,5,0,0.3,638,0.0,0.0,0.0,3.52,30,2,0,1.3,8.8,2023-08-27 13:00:00+00:00,90,13,0,0,0,0,3,0,724,1,2,1,4.0,1,-100,47,147,50,True,1,3,Vini de Souza Costa,17,MCI,1360,1370,SHU,1045,1020,1,2023
0,0,10,0,2.4,638,0.01,0.01,0.0,2.59,40,2,0,2.4,13.6,2023-09-02 11:30:00+00:00,90,9,0,0,0,0,4,0,1165,1,2,2,8.0,2,204,297,93,50,True,0,3,Vini de Souza Costa,17,EVE,1125,1080,SHU,1045,1020,1,2023
0,0,14,0,1.2,638,0.0,0.0,0.0,1.87,48,2,0,2.2,21.2,2023-09-16 14:00:00+00:00,90,18,0,0,0,0,5,0,1145,1,1,2,0.0,2,-213,54,267,50,False,0,3,Vini de Souza Costa,17,TOT,1110,1230,SHU,1020,1060,1,2023
0,0,11,0,2.3,638,0.01,0.02,0.01,3.94,60,8,0,3.3,24.0,2023-09-24 15:30:00+00:00,90,15,0,0,0,0,6,0,1152,1,8,0,7.0,2,-53,51,104,50,True,0,3,Vini de Souza Costa,17,NEW,1210,1355,SHU,1045,1020,1,2023
0,0,13,0,3.3,638,0.03,0.12,0.09,2.14,69,2,0,2.9,16.2,2023-09-30 14:00:00+00:00,90,19,0,0,0,0,7,0,1161,1,0,2,9.0,2,-13,86,99,50,False,0,3,Vini de Souza Costa,17,WHU,1055,1150,SHU,1020,1060,1,2023
0,1,18,0,2.9,638,0.01,0.01,0.0,2.14,76,3,0,1.8,15.4,2023-10-07 14:00:00+00:00,90,10,0,0,0,0,8,0,1442,1,1,3,0.0,3,172,283,111,50,False,0,3,Vini de Souza Costa,17,FUL,1050,1060,SHU,1020,1060,1,2023
0,0,4,0,2.2,638,0.01,0.01,0.0,1.05,89,2,0,2.2,20.2,2023-10-21 19:00:00+00:00,90,14,0,0,0,0,9,0,1436,1,2,1,0.0,1,-105,98,203,50,True,1,3,Vini de Souza Costa,17,MUN,1210,1230,SHU,1045,1020,1,2023
0,0,15,0,2.3,638,0.01,0.01,0.0,2.78,91,5,0,2.1,15.0,2023-10-28 14:00:00+00:00,90,1,0,0,0,0,10,0,1481,1,0,5,4.0,2,1,98,97,50,False,0,3,Vini de Souza Costa,17,ARS,1370,1330,SHU,1020,1060,1,2023
