assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,-5,0,0.0,275,0.0,0.0,0.0,2.19,4,2,0,1.1,11.0,2024-08-17 11:30:00+00:00,33,12,0,0,0,0,1,0,337620,0,2,0,0.0,0,0,0,0,40,True,0,2,Ben Johnson,10,LIV,1370,1360,IPS,1070,1050,1,2024
1,0,2,0,17.8,275,0.2,0.2,0.0,3.34,17,4,0,4.9,31.4,2024-08-24 14:00:00+00:00,90,13,0,0,0,0,2,0,335628,1,1,4,0.0,3,-11308,6756,18064,40,False,0,2,Ben Johnson,10,MCI,1350,1360,IPS,1080,1100,1,2024
0,0,0,0,0.0,275,0.0,0.0,0.0,0.0,25,0,0,0.0,0.0,2024-08-31 14:00:00+00:00,0,9,0,0,0,0,3,0,455232,0,1,1,0.0,0,95008,142635,47627,40,True,0,2,Ben Johnson,10,FUL,1140,1180,IPS,1070,1050,1,2024
0,0,0,0,0.0,275,0.0,0.0,0.0,0.0,33,0,0,0.0,0.0,2024-09-14 14:00:00+00:00,0,5,0,0,0,0,4,0,416459,0,0,0,0.0,0,-35403,29280,64683,40,False,0,2,Ben Johnson,10,BHA,1070,1130,IPS,1080,1100,1,2024
0,0,4,0,0.1,275,0.0,0.0,0.0,0.11,48,0,0,0.1,0.8,2024-09-21 14:00:00+00:00,8,17,0,0,0,0,5,0,393131,0,1,1,0.0,1,-24390,4285,28675,40,False,0,2,Ben Johnson,10,SOU,1060,1060,IPS,1080,1100,1,2024
0,0,0,0,0.0,275,0.0,0.0,0.0,0.0,56,0,0,0.0,0.0,2024-09-29 13:00:00+00:00,0,2,0,0,0,0,6,0,327969,0,2,2,0.0,0,-65793,4541,70334,40,True,0,2,Ben Johnson,10,AVL,1140,1300,IPS,1070,1050,1,2024
0,0,6,0,2.7,275,0.02,0.02,0.0,3.79,70,4,0,1.9,16.2,2024-10-05 14:00:00+00:00,90,19,0,0,0,0,7,0,305814,1,1,4,0.0,0,-22998,2334,25332,40,False,0,2,Ben Johnson,10,WHU,1080,1120,IPS,1080,1100,1,2024
0,0,0,0,0.0,275,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2024-10-19 14:15:00+00:00,0,8,0,0,0,0,8,0,291999,0,2,0,0.0,0,-14670,3214,17884,40,True,0,2,Ben Johnson,10,EVE,1100,1100,IPS,1070,1050,1,2024
0,0,0,0,0.0,275,0.0,0.0,0.0,0.0,83,0,0,0.0,0.0,2024-10-26 14:00:00+00:00,0,4,0,0,0,0,9,0,259408,0,3,4,0.0,0,-31823,237,32060,40,False,0,2,Ben Johnson,10,BRE,1080,1100,IPS,1080,1100,1,2024
0,0,9,0,22.2,275,0.01,0.05,0.04,1.55,93,1,0,6.0,30.4,2024-11-02 15:00:00+00:00,90,11,0,0,0,0,10,0,237210,1,1,1,7.0,2,-22921,382,23303,40,True,0,2,Ben Johnson,10,LEI,1120,1080,IPS,1070,1050,1,2024
