assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order
0,0,5,0,2.5,520,0.0,0.06,0.0766145586967468,2.03,7,2,0,2.6,6.6,2024-08-17,90,2,0,0,0,0,1,0,60284,1,2,1,17.0,1,0,0,0,45,True,0,1,0,0,0.0766145586967468,2,Emerson Palmieri dos Santos,19,AVL,1140,1300,WHU,1080,1120,2024,0.0766145586967468,
0,0,27,1,1.6,520,0.0,0.01,0.0,1.32,14,0,0,1.9,17.6,2024-08-24,88,7,0,0,0,0,2,0,66134,1,2,0,0.0,6,-734,3770,4504,45,False,0,0,0,0,0.0,2,Emerson Palmieri dos Santos,19,CRY,1100,1090,WHU,1070,1130,2024,0.0,
0,0,-1,0,11.3,520,0.0585259944200515,0.06,0.0,2.24,30,2,0,2.4,8.2,2024-08-31,70,13,0,0,0,0,3,0,70586,1,3,1,4.0,0,-502,6740,7242,45,True,1,0,1,0,0.0,2,Emerson Palmieri dos Santos,19,MCI,1350,1390,WHU,1080,1120,2024,0.0,
0,0,4,0,30.5,520,0.0403781495988369,0.05,0.0,0.86,35,1,0,3.8,7.4,2024-09-14,56,9,0,0,0,0,4,0,71766,1,1,1,0.0,1,-1249,6081,7330,45,False,0,0,2,0,0.0,2,Emerson Palmieri dos Santos,19,FUL,1100,1100,WHU,1070,1130,2024,0.0,
0,0,-5,0,20.2,520,0.0863416641950607,0.16,0.0,1.51,50,3,0,2.5,4.4,2024-09-21,72,6,0,0,0,0,5,0,62502,1,3,0,0.0,1,-9243,373,9616,45,True,0,0,1,0,0.0,2,Emerson Palmieri dos Santos,19,CHE,1130,1330,WHU,1080,1120,2024,0.0,
0,0,-5,0,4.8,520,0.0,0.03,0.0327210910618305,0.26,53,1,0,0.2,0.0,2024-09-28,45,4,0,0,0,0,6,0,62869,1,1,1,1.0,0,-689,4593,5282,44,False,1,1,0,0,0.0327210910618305,2,Emerson Palmieri dos Santos,19,BRE,1080,1100,WHU,1070,1130,2024,0.0327210910618305,
0,0,14,0,16.2,520,0.0618312880396842,0.11,0.0,0.52,70,1,0,4.5,28.4,2024-10-05,82,10,0,0,0,0,7,0,62485,1,1,4,0.0,2,-1051,3125,4176,44,True,0,0,1,0,0.0,2,Emerson Palmieri dos Santos,19,IPS,1080,1100,WHU,1080,1120,2024,0.0,
0,0,8,0,26.4,520,0.1732166111469268,0.68,0.0071420753374695,1.92,79,4,0,5.6,22.6,2024-10-19,90,18,0,0,0,0,8,0,60178,1,1,4,7.0,0,-2437,1061,3498,44,False,0,1,2,0,0.0071420753374695,2,Emerson Palmieri dos Santos,19,TOT,1110,1330,WHU,1070,1130,2024,0.0071420753374695,
0,0,6,0,16.0,520,0.0,0.89,0.7400614023208618,2.12,90,1,0,5.8,15.6,2024-10-27,90,14,0,0,0,0,9,0,58048,1,1,2,26.0,1,-2291,686,2977,44,True,1,2,1,0,0.7400614023208618,2,Emerson Palmieri dos Santos,19,MUN,1140,1170,WHU,1080,1120,2024,0.7400614023208618,
0,0,-2,0,6.5,520,0.0,0.13,0.0,1.67,97,3,0,2.4,15.2,2024-11-02,78,16,0,0,0,0,10,0,57526,1,0,3,2.0,1,-897,1432,2329,44,False,0,0,0,0,0.0,2,Emerson Palmieri dos Santos,19,NFO,1140,1120,WHU,1070,1130,2024,0.0,
0,0,20,1,18.9,520,0.0127890650182962,0.06,0.0325470492243766,1.11,109,0,0,3.6,14.6,2024-11-09,90,8,0,0,0,0,11,0,59148,1,0,0,2.0,6,1218,3474,2256,44,True,0,1,1,0,0.0325470492243766,2,Emerson Palmieri dos Santos,19,EVE,1100,1100,WHU,1080,1120,2024,0.0325470492243766,
1,0,33,1,16.5,520,0.0607603229582309,0.05,0.0,1.6,119,0,0,5.5,36.2,2024-11-25,74,15,0,0,0,0,12,0,56935,1,2,0,2.0,9,-2350,1414,3764,44,False,0,0,1,0,0.0,2,Emerson Palmieri dos Santos,19,NEW,1100,1130,WHU,1070,1130,2024,0.0,
0,0,1,0,1.0,520,0.0,0.13,0.1289343982934951,3.38,129,5,1,5.9,44.2,2024-11-30,64,1,0,0,0,0,13,0,60481,1,5,2,14.0,5,2941,4614,1673,44,True,1,2,0,1,0.1289343982934951,2,Emerson Palmieri dos Santos,19,ARS,1360,1390,WHU,1080,1120,2024,0.1289343982934951,
0,0,-1,0,15.5,520,0.0508075058460235,0.04,0.0,0.58,137,1,0,2.3,5.8,2024-12-03,28,11,0,0,0,0,14,0,114960,0,1,3,2.0,1,49179,51555,2376,44,False,0,0,1,0,0.0,2,Emerson Palmieri dos Santos,19,LEI,1060,1090,WHU,1070,1130,2024,0.0,
