assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,22,1,1.4,3,0.0,0.14,0.0635012686252594,0.47,2,0,0,2.3,13.8,2024-08-17,90,False,20,0,0,0,0,1,0,1167503,1,0,2,8.0,6,0,0,0,60,True,0,1,0,0,0.0635012686252594,2,Gabriel dos Santos Magalhães,1,WOL,1070,1120,ARS,1260,1240,2024,0.0635012686252594,,1.6283,14.0,1.6283,0.575835,2.0,0.575835
0,1,25,1,1.9,3,0.0,0.02,0.0,1.28,11,0,0,2.3,21.4,2024-08-24,90,False,2,0,0,0,0,2,0,1248259,1,2,0,0.0,6,-25184,36723,61907,60,False,1,0,0,0,0.0,2,Gabriel dos Santos Magalhães,1,AVL,1080,1140,ARS,1370,1350,2024,0.0,,1.41399,10.0,1.41399,1.31664,3.0,1.31664
0,0,17,0,20.8,3,0.3396926820278168,0.13,0.0446664057672023,1.83,21,1,0,5.1,20.8,2024-08-31,90,False,5,0,0,0,0,3,0,1296327,1,1,1,9.0,2,853,86679,85826,60,True,0,1,2,0,0.0446664057672023,2,Gabriel dos Santos Magalhães,1,BHA,1100,1200,ARS,1260,1240,2024,0.0446664057672023,,2.41798,6.0,2.41798,1.81748,6.0,1.81748
0,3,40,1,0.7,3,0.0,0.27,0.5151799917221069,0.74,39,0,1,9.4,58.0,2024-09-15,90,False,18,0,0,0,0,4,0,1208425,1,1,0,35.0,15,-115425,61041,176466,60,False,0,1,0,1,0.5151799917221069,2,Gabriel dos Santos Magalhães,1,TOT,1140,1300,ARS,1370,1350,2024,0.5151799917221069,,1.1209,3.0,1.1209,0.792595,10.0,0.792595
0,0,15,0,0.8,3,0.0,0.5,1.0786733627319336,2.16,47,2,1,9.7,56.6,2024-09-22,90,False,13,0,0,0,0,5,0,1375740,1,2,2,40.0,7,131837,171534,39697,60,False,0,2,0,1,1.0786733627319336,2,Gabriel dos Santos Magalhães,1,MCI,1140,1300,ARS,1370,1350,2024,1.0786733627319336,,1.28411,1.0,1.28411,2.75588,13.0,2.75588
0,0,7,0,7.3,3,0.0,0.32,0.5110815763473511,0.32,51,2,0,8.4,19.6,2024-09-28,90,False,11,0,0,0,0,6,0,2452527,1,2,4,57.0,1,1006599,1038827,32228,61,True,0,3,0,0,0.5110815763473511,2,Gabriel dos Santos Magalhães,1,LEI,1080,1110,ARS,1260,1240,2024,0.5110815763473511,,6.05305,21.0,6.05305,0.337909,4.0,0.337909
0,0,5,0,3.7,3,0.0,0.24,0.2789819538593292,0.65,61,1,0,2.4,4.6,2024-10-05,90,False,17,0,0,0,0,7,0,2805003,1,1,3,16.0,2,328472,382083,53611,62,True,0,3,0,0,0.2789819538593292,2,Gabriel dos Santos Magalhães,1,SOU,1060,1090,ARS,1260,1240,2024,0.2789819538593292,,3.25165,14.0,3.25165,1.27313,3.0,1.27313
0,0,5,0,1.1,3,0.0,0.02,0.0394341796636581,1.82,71,2,0,2.8,21.6,2024-10-19,90,False,3,0,0,0,0,8,0,2960806,1,0,2,5.0,1,128228,194032,65804,62,False,0,1,0,0,0.0394341796636581,2,Gabriel dos Santos Magalhães,1,BOU,1080,1190,ARS,1370,1350,2024,0.0394341796636581,,0.740758,4.0,0.740758,2.18419,7.0,1.42302
0,0,7,0,0.7,3,0.0,0.0,0.0,0.39,81,1,0,0.5,4.4,2024-10-27,53,False,12,0,0,0,0,9,0,2845807,1,2,2,0.0,1,-102913,112341,215254,63,True,0,0,0,0,0.0,2,Gabriel dos Santos Magalhães,1,LIV,1360,1360,ARS,1260,1240,2024,0.0,,1.0883,6.0,1.0883,1.35346,8.0,1.35346
0,0,9,0,14.3,3,0.0580732338130474,0.1,0.0,0.53,96,1,0,3.4,17.6,2024-11-02,90,False,15,0,0,0,0,10,0,2413799,1,0,1,2.0,2,-434195,27273,461468,62,False,0,0,1,0,0.0,2,Gabriel dos Santos Magalhães,1,NEW,1100,1130,ARS,1370,1350,2024,0.0,,0.911305,9.0,0.911305,0.859715,9.0,0.859715
0,0,14,0,12.0,3,0.0374202020466327,0.23,0.0,1.28,103,1,0,3.8,21.6,2024-11-10,90,False,6,0,0,0,0,11,0,2339528,1,1,1,4.0,2,-93428,39875,133303,62,False,0,0,1,0,0.0,2,Gabriel dos Santos Magalhães,1,CHE,1150,1360,ARS,1370,1350,2024,0.0,,1.9605,6.0,1.9605,1.24067,6.0,1.24067
0,0,24,1,2.8,3,0.0,0.09,0.0391861274838447,0.33,111,0,0,1.8,11.2,2024-11-23,90,False,16,0,0,0,0,12,0,2523518,1,0,3,4.0,6,153769,224699,70930,61,True,0,1,0,0,0.0391861274838447,2,Gabriel dos Santos Magalhães,1,NFO,1230,1130,ARS,1260,1240,2024,0.0391861274838447,,1.66016,19.0,1.66016,0.403136,0.0,0.403136
