assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,2,0,0.0,371,0.0,0.0,0.0,0.06,1,0,0,0.1,1.4,2024-08-16,9,False,9,0,0,0,0,1,0,11027,0,0,1,0.0,1,0,0,0,45,True,0,0,0,0,0.0,2,Jonny Evans,14,FUL,1140,1180,MUN,1130,1120,2024,0.0,,2.04268,7.0,2.04268,0.418711,3.0,0.418711
0,0,0,0,0.0,371,0.0,0.0,0.0,0.0,13,0,0,0.0,0.0,2024-08-24,0,False,5,0,0,0,0,2,0,12326,0,1,2,0.0,0,-1260,467,1727,45,False,0,0,0,0,0.0,2,Jonny Evans,14,BHA,1070,1130,MUN,1140,1170,2024,0.0,,1.28556,8.0,1.28556,2.14153,10.0,2.14153
0,0,0,0,0.0,371,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,2024-09-01,0,False,12,0,0,0,0,3,0,11693,0,3,0,0.0,0,-1527,392,1919,44,True,0,0,0,0,0.0,2,Jonny Evans,14,LIV,1370,1360,MUN,1130,1120,2024,0.0,,1.50087,6.0,1.50087,2.10397,9.0,2.10397
0,0,3,0,0.9,371,0.0,0.0,0.0,0.0,38,0,0,0.5,4.4,2024-09-14,13,False,17,0,0,0,0,4,0,11606,0,3,0,0.0,1,-649,683,1332,44,False,0,0,0,0,0.0,2,Jonny Evans,14,SOU,1060,1060,MUN,1140,1170,2024,0.0,,3.02693,17.0,3.02693,1.35593,3.0,0.545317
0,0,0,0,0.0,371,0.0,0.0,0.0,0.0,43,0,0,0.0,0.0,2024-09-21,0,False,7,0,0,0,0,5,0,11547,0,0,0,0.0,0,-327,327,654,44,False,0,0,0,0,0.0,2,Jonny Evans,14,CRY,1100,1090,MUN,1140,1170,2024,0.0,,2.35056,12.0,2.35056,1.66928,5.0,1.66928
0,0,0,0,0.0,371,0.0,0.0,0.0,0.0,57,0,0,0.0,0.0,2024-09-29,0,False,18,0,0,0,0,6,0,11176,0,3,0,0.0,0,-564,271,835,44,True,0,0,0,0,0.0,2,Jonny Evans,14,TOT,1170,1350,MUN,1130,1120,2024,0.0,,0.600721,6.0,0.600721,5.4072,15.0,5.4072
0,3,33,1,0.8,371,0.0,0.09,0.0557727627456188,0.42,62,0,0,2.4,18.8,2024-10-06,90,False,2,0,0,0,0,7,0,10891,1,0,0,4.0,9,-441,186,627,44,False,0,1,0,0,0.0557727627456188,2,Jonny Evans,14,AVL,1120,1200,MUN,1140,1170,2024,0.0557727627456188,,0.448537,1.0,0.448537,0.532809,9.0,0.532809
0,0,9,0,1.6,371,0.0,0.01,0.0,0.73,75,1,0,1.7,13.2,2024-10-19,88,False,4,0,0,0,0,8,0,13785,1,1,2,2.0,1,2154,2845,691,44,True,1,0,0,0,0.0,2,Jonny Evans,14,BRE,1120,1190,MUN,1130,1120,2024,0.0,,1.76555,12.0,1.76555,0.892843,3.0,0.892843
0,0,0,0,0.0,371,0.0,0.0,0.0,0.0,90,0,0,0.0,0.0,2024-10-27,0,False,19,0,0,0,0,9,0,13487,0,1,2,0.0,0,-352,764,1116,44,False,0,0,0,0,0.0,2,Jonny Evans,14,WHU,1080,1120,MUN,1140,1170,2024,0.0,,2.62598,7.0,2.62598,2.99312,7.0,2.23195
0,0,0,0,0.0,371,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2024-11-03,0,False,6,0,0,0,0,10,0,12802,0,1,1,0.0,0,-798,352,1150,44,True,0,0,0,0,0.0,2,Jonny Evans,14,CHE,1130,1330,MUN,1130,1120,2024,0.0,,2.1605,4.0,1.39934,1.21071,8.0,1.21071
0,0,6,0,0.3,371,0.0,0.0,0.0,0.05,106,0,0,0.5,5.0,2024-11-10,33,False,11,0,0,0,0,11,0,12526,0,0,3,0.0,1,-416,321,737,44,True,0,0,0,0,0.0,2,Jonny Evans,14,LEI,1120,1080,MUN,1130,1120,2024,0.0,,1.2369,2.0,1.2369,0.417295,5.0,0.417295
0,0,9,0,0.5,371,0.0,0.0,0.0,1.36,116,1,0,0.9,8.2,2024-11-24,55,False,10,0,0,0,0,12,0,12813,1,1,1,0.0,1,45,685,640,44,False,0,0,0,0,0.0,2,Jonny Evans,14,IPS,1070,1050,MUN,1140,1170,2024,0.0,,1.26912,5.0,1.26912,1.98714,4.0,1.98714
0,0,0,0,0.0,371,0.0,0.0,0.0,0.0,126,0,0,0.0,0.0,2024-12-01,0,False,8,0,0,0,0,13,0,12972,0,0,4,0.0,0,57,525,468,44,True,0,0,0,0,0.0,2,Jonny Evans,14,EVE,1100,1100,MUN,1130,1120,2024,0.0,,1.76161,10.0,1.76161,0.766749,3.0,0.766749
0,0,0,0,0.0,371,0.0,0.0,0.0,0.0,131,0,0,0.0,0.0,2024-12-04,0,False,1,0,0,0,0,14,0,12598,0,0,2,0.0,0,-424,200,624,44,False,0,0,0,0,0.0,2,Jonny Evans,14,ARS,1360,1340,MUN,1140,1170,2024,0.0,,0.256083,1.0,0.256083,2.96684,8.0,2.96684
0,0,0,0,0.0,371,0.0,0.0,0.0,0.0,148,0,0,0.0,0.0,2024-12-07,0,False,16,0,0,0,0,15,0,11951,0,3,2,0.0,0,-711,116,827,44,True,0,0,0,0,0.0,2,Jonny Evans,14,NFO,1130,1070,MUN,1130,1120,2024,0.0,,1.4697,7.0,1.4697,0.651217,4.0,0.651217
