assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order
0,0,9,0,2.6,200,0.0,0.02,0.0,1.59,8,2,0,2.4,21.0,2024-08-18,90,4,0,0,0,0,1,0,643172,1,1,2,0.0,0,0,0,0,45,False,1,0,0,0,0.0,2,Marc Guéhi,7,BRE,1080,1100,CRY,1100,1090,2024,0.0,
0,0,6,0,0.8,200,0.0,0.02,0.0,1.39,14,2,0,3.6,34.8,2024-08-24,90,19,0,0,0,0,2,0,655527,1,2,0,0.0,1,-32443,20803,53246,45,True,0,0,0,0,0.0,2,Marc Guéhi,7,WHU,1070,1130,CRY,1100,1090,2024,0.0,
0,0,12,0,0.3,200,0.0,0.02,0.0,2.27,23,1,0,2.3,20.6,2024-09-01,90,6,0,0,0,0,3,0,606743,1,1,1,2.0,2,-58325,16966,75291,45,False,0,0,0,0,0.0,2,Marc Guéhi,7,CHE,1130,1320,CRY,1100,1090,2024,0.0,
0,0,6,0,11.3,200,0.0154110072180628,0.04,0.0,1.23,34,2,0,3.0,16.2,2024-09-14,90,11,0,0,0,0,4,0,599528,1,2,2,2.0,1,-21685,33611,55296,45,True,0,0,1,0,0.0,2,Marc Guéhi,7,LEI,1120,1080,CRY,1100,1090,2024,0.0,
0,0,25,1,0.0,200,0.0,0.0,0.0,1.7,43,0,0,2.2,21.6,2024-09-21,90,14,0,0,0,0,5,0,568415,1,0,0,0.0,6,-33628,7938,41566,45,True,0,0,0,0,0.0,2,Marc Guéhi,7,MUN,1140,1170,CRY,1100,1090,2024,0.0,
0,2,30,0,22.1,200,0.0202152673155069,0.28,0.4970260262489319,0.89,55,2,1,13.8,83.0,2024-09-28,90,8,0,0,0,0,6,0,575005,1,1,2,33.0,9,56,28985,28929,44,False,0,1,2,1,0.4970260262489319,2,Marc Guéhi,7,EVE,1080,1080,CRY,1100,1090,2024,0.4970260262489319,
0,0,13,0,0.6,200,0.0,0.01,0.0,1.4,66,1,0,2.7,26.8,2024-10-05,90,12,0,0,0,0,7,0,646642,1,1,0,0.0,2,60640,89079,28439,44,True,0,0,0,0,0.0,2,Marc Guéhi,7,LIV,1370,1360,CRY,1100,1090,2024,0.0,
0,0,8,0,1.5,200,0.0,0.01,0.0,1.62,77,1,0,2.1,17.6,2024-10-21,90,16,0,0,0,0,8,0,682869,1,0,1,2.0,2,30805,53196,22391,44,False,0,0,0,0,0.0,2,Marc Guéhi,7,NFO,1140,1120,CRY,1100,1090,2024,0.0,
0,0,24,1,0.6,200,0.0,0.07,0.0559440180659294,0.72,86,0,0,4.3,25.8,2024-10-27,90,18,0,0,0,0,9,0,670577,1,0,1,17.0,6,-11056,15958,27014,44,True,0,1,0,0,0.0559440180659294,2,Marc Guéhi,7,TOT,1170,1350,CRY,1100,1090,2024,0.0559440180659294,
0,0,22,0,1.6,200,0.0,0.73,0.8859896063804626,1.53,100,2,1,9.3,53.8,2024-11-02,90,20,0,0,0,0,10,0,718228,1,2,2,38.0,7,41347,58153,16806,44,False,0,2,0,1,0.8859896063804626,2,Marc Guéhi,7,WOL,1060,1090,CRY,1100,1090,2024,0.8859896063804626,
0,0,7,0,11.2,200,0.0130819762125611,0.1,0.1482011079788208,1.83,104,2,0,5.0,22.6,2024-11-09,90,9,0,0,0,0,11,0,796983,1,2,0,16.0,1,71827,84302,12475,45,True,0,2,1,0,0.1482011079788208,2,Marc Guéhi,7,FUL,1140,1180,CRY,1100,1090,2024,0.1482011079788208,
0,0,5,0,0.9,200,0.0,0.01,0.0,3.11,112,2,0,2.3,22.2,2024-11-23,90,2,0,0,0,0,12,0,801457,1,2,2,0.0,1,5595,42090,36495,45,False,0,0,0,0,0.0,2,Marc Guéhi,7,AVL,1120,1200,CRY,1100,1090,2024,0.0,
1,1,18,0,38.8,200,0.6431732177734375,0.21,0.1159902960062027,0.04,124,1,0,7.3,25.6,2024-11-30,90,15,1,0,0,0,13,0,802091,1,1,1,9.0,3,-1417,24464,25881,45,True,1,2,3,0,0.1159902960062027,2,Marc Guéhi,7,NEW,1130,1310,CRY,1100,1090,2024,0.1159902960062027,
0,0,25,1,2.3,200,0.0,0.1,0.0414027199149131,0.49,136,0,0,3.1,24.0,2024-12-03,90,10,0,0,0,0,14,0,823395,1,1,0,5.0,6,15721,40186,24465,45,False,0,1,0,0,0.0414027199149131,2,Marc Guéhi,7,IPS,1070,1050,CRY,1100,1090,2024,0.0414027199149131,
