assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,0,0,0.0,196,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2024-08-18,0,False,4,0,0,0,0,1,0,10517,0,1,2,0.0,0,0,0,0,45,False,0,0,0,0,0.0,2,Nathaniel Clyne,7,BRE,1070,1090,CRY,1140,1110,2024,0.0,,1.14757,4.0,1.14757,1.38064,1.0,1.38064
0,0,0,0,0.0,196,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2024-08-24,0,False,19,0,0,0,0,2,0,11426,0,2,0,0.0,0,-1253,302,1555,45,True,0,0,0,0,0.0,2,Nathaniel Clyne,7,WHU,1070,1130,CRY,1130,1110,2024,0.0,,1.3761,6.0,1.3761,1.53421,5.0,1.53421
0,0,5,0,0.2,196,0.0,0.0,0.0,2.27,23,1,0,1.5,14.8,2024-09-01,90,False,6,0,0,0,0,3,0,10839,1,1,1,0.0,2,-1371,322,1693,44,False,0,0,0,0,0.0,2,Nathaniel Clyne,7,CHE,1150,1360,CRY,1140,1110,2024,0.0,,0.459708,6.0,0.459708,2.97743,4.0,2.97743
0,0,10,0,1.8,196,0.0,0.02,0.0,1.22,34,2,0,1.5,11.2,2024-09-14,63,False,11,0,0,0,0,4,0,13313,1,2,2,2.0,1,1554,2861,1307,44,True,0,0,0,0,0.0,2,Nathaniel Clyne,7,LEI,1080,1110,CRY,1130,1110,2024,0.0,,2.88716,15.0,2.12599,1.65187,7.0,1.65187
0,0,0,0,0.0,196,0.0,0.0,0.0,0.0,43,0,0,0.0,0.0,2024-09-21,0,False,14,0,0,0,0,5,0,12960,0,0,0,0.0,0,-366,425,791,44,True,0,0,0,0,0.0,2,Nathaniel Clyne,7,MUN,1140,1170,CRY,1130,1110,2024,0.0,,1.66928,5.0,1.66928,2.35056,12.0,2.35056
0,0,0,0,0.0,196,0.0,0.0,0.0,0.0,55,0,0,0.0,0.0,2024-09-28,0,False,8,0,0,0,0,6,0,12472,0,1,2,0.0,0,-617,384,1001,44,False,0,0,0,0,0.0,2,Nathaniel Clyne,7,EVE,1130,1060,CRY,1140,1110,2024,0.0,,1.12358,8.0,1.12358,1.10959,6.0,1.10959
0,0,22,1,0.9,196,0.0,0.01,0.010468304157257,1.15,66,0,0,0.7,5.4,2024-10-05,73,False,12,0,0,0,0,7,0,11774,0,1,0,1.0,6,-784,153,937,44,True,0,1,0,0,0.010468304157257,2,Nathaniel Clyne,7,LIV,1360,1360,CRY,1130,1110,2024,0.010468304157257,,0.609481,3.0,0.609481,2.07332,11.0,2.07332
0,0,0,0,0.0,196,0.0,0.0,0.0,0.0,77,0,0,0.0,0.0,2024-10-21,0,False,16,0,0,0,0,8,0,12129,0,0,1,0.0,0,71,466,395,44,False,0,0,0,0,0.0,2,Nathaniel Clyne,7,NFO,1140,1130,CRY,1140,1110,2024,0.0,,0.835001,5.0,0.835001,1.88573,9.0,1.88573
0,0,0,0,0.0,196,0.0,0.0,0.0,0.0,86,0,0,0.0,0.0,2024-10-27,0,False,18,0,0,0,0,9,0,11819,0,0,1,0.0,0,-343,100,443,44,True,0,0,0,0,0.0,2,Nathaniel Clyne,7,TOT,1140,1350,CRY,1130,1110,2024,0.0,,0.978611,7.0,0.978611,1.0192,7.0,1.0192
0,0,1,0,0.0,196,0.0,0.0,0.0,0.15,100,0,0,0.2,2.0,2024-11-02,6,False,20,0,0,0,0,10,0,11585,0,2,2,0.0,1,-323,177,500,44,False,0,0,0,0,0.0,2,Nathaniel Clyne,7,WOL,1070,1100,CRY,1140,1110,2024,0.0,,2.64849,2.0,2.64849,1.65018,6.0,1.65018
