assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order
0,0,0,0,0.0,573,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2024-08-17,0,3,0,0,0,0,1,0,17842,0,1,1,0.0,0,0,0,0,45,True,0,0,0,0,0.0,2,Nikola Milenković,16,BOU,1130,1160,NFO,1140,1120,2024,0.0,
0,0,16,1,10.8,573,0.0163659416139125,0.99,0.8726280331611633,0.14,18,0,0,4.1,11.2,2024-08-24,90,17,0,0,0,0,2,0,17601,1,1,0,19.0,6,-2283,234,2517,45,False,0,3,1,0,0.8726280331611633,2,Nikola Milenković,16,SOU,1060,1060,NFO,1130,1070,2024,0.8726280331611633,
0,0,10,0,10.3,573,0.0442462153732776,0.01,0.0,0.74,29,1,0,2.1,8.6,2024-08-31,90,20,0,0,0,0,3,0,22945,1,1,1,2.0,2,3002,4904,1902,45,True,0,0,1,0,0.0,2,Nikola Milenković,16,WOL,1060,1120,NFO,1140,1120,2024,0.0,
0,0,22,1,0.3,573,0.0,0.0,0.0,0.94,36,0,0,1.8,18.0,2024-09-14,90,12,0,0,0,0,4,0,22998,1,1,0,0.0,6,-643,2677,3320,45,False,0,0,0,0,0.0,2,Nikola Milenković,16,LIV,1360,1340,NFO,1130,1070,2024,0.0,
0,0,6,0,0.2,573,0.0,0.0,0.0,0.94,42,2,0,3.1,31.2,2024-09-22,90,5,0,0,0,0,5,0,28995,1,2,2,0.0,1,4466,5657,1191,45,False,0,0,0,0,0.0,2,Nikola Milenković,16,BHA,1070,1130,NFO,1130,1070,2024,0.0,
0,0,9,0,0.7,573,0.0,0.14,0.0773444399237632,1.33,59,1,0,2.5,14.0,2024-09-28,90,9,0,0,0,0,6,0,36733,1,1,0,10.0,2,7081,14450,7369,45,True,0,1,0,0,0.0773444399237632,2,Nikola Milenković,16,FUL,1140,1180,NFO,1140,1120,2024,0.0773444399237632,
1,0,18,0,10.6,573,0.4478428065776825,0.07,0.0,2.27,65,1,0,4.4,23.2,2024-10-06,90,6,0,0,0,0,7,0,36511,1,1,1,10.0,5,-681,1769,2450,45,False,0,0,1,0,0.0,2,Nikola Milenković,16,CHE,1130,1320,NFO,1130,1070,2024,0.0,
0,0,25,1,0.8,573,0.0,0.19,0.0,1.12,77,0,0,1.5,8.2,2024-10-21,90,7,0,0,0,0,8,0,82802,1,0,1,6.0,6,42137,45338,3201,45,True,0,0,0,0,0.0,2,Nikola Milenković,16,CRY,1100,1090,NFO,1140,1120,2024,0.0,
0,0,5,0,0.0,573,0.0,0.06,0.0084242261946201,0.76,88,1,0,1.3,11.2,2024-10-25,90,11,0,0,0,0,9,0,100094,1,3,1,2.0,1,17694,21012,3318,45,False,1,1,0,0,0.0084242261946201,2,Nikola Milenković,16,LEI,1060,1090,NFO,1130,1070,2024,0.0084242261946201,
0,0,25,1,11.4,573,0.0729926973581314,0.56,0.8379088044166565,0.13,97,0,0,5.2,13.6,2024-11-02,90,19,0,0,0,0,10,0,107882,1,0,3,27.0,6,7435,12621,5186,45,True,0,2,1,0,0.8379088044166565,2,Nikola Milenković,16,WHU,1070,1130,NFO,1140,1120,2024,0.8379088044166565,
0,0,1,0,0.7,573,0.0,0.02,0.0115296207368373,1.7,107,3,0,2.1,17.8,2024-11-10,90,15,0,0,0,0,11,0,119976,1,3,1,2.0,1,11218,15405,4187,45,True,0,1,0,0,0.0115296207368373,2,Nikola Milenković,16,NEW,1130,1310,NFO,1140,1120,2024,0.0115296207368373,
0,0,5,0,1.0,573,0.0,0.06,0.0516373142600059,1.19,111,3,0,2.1,16.4,2024-11-23,90,1,0,0,0,0,12,0,118869,1,0,3,4.0,1,-1398,8059,9457,45,False,0,1,0,0,0.0516373142600059,2,Nikola Milenković,16,ARS,1360,1340,NFO,1130,1070,2024,0.0516373142600059,
0,0,25,1,0.2,573,0.0,0.05,0.0605103485286235,0.59,127,0,0,1.7,12.8,2024-11-30,90,10,0,0,0,0,13,0,126549,1,0,1,4.0,6,5978,9935,3957,45,True,0,1,0,0,0.0605103485286235,2,Nikola Milenković,16,IPS,1080,1100,NFO,1140,1120,2024,0.0605103485286235,
0,0,-13,0,0.0,573,0.0,0.22,0.1208163350820541,2.41,138,3,0,1.1,0.0,2024-12-04,90,13,0,0,0,0,14,0,132315,1,0,3,13.0,0,5524,13272,7748,45,False,1,2,0,0,0.1208163350820541,2,Nikola Milenković,16,MCI,1350,1360,NFO,1130,1070,2024,0.1208163350820541,
