assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,22,1,4.9,25,0.04,0.04,0.0,0.32,2,0,0,1.8,7.2,2024-08-17 14:00:00+00:00,68,20,0,0,0,0,1,0,230223,1,0,2,6.0,6,0,0,0,50,True,0,2,Oleksandr Zinchenko,1,WOL,1060,1120,ARS,1360,1340,1,2024
0,0,0,0,0.0,25,0.0,0.0,0.0,0.0,11,0,0,0.0,0.0,2024-08-24 16:30:00+00:00,0,2,0,0,0,0,2,0,312806,0,2,0,0.0,0,23613,46003,22390,50,False,0,2,Oleksandr Zinchenko,1,AVL,1120,1200,ARS,1360,1390,1,2024
0,0,3,0,0.0,25,0.0,0.0,0.0,0.28,21,0,0,0.0,0.0,2024-08-31 11:30:00+00:00,10,5,0,0,0,0,3,0,264308,0,1,1,0.0,1,-56048,16584,72632,50,True,0,2,Oleksandr Zinchenko,1,BHA,1130,1220,ARS,1360,1340,1,2024
0,0,0,0,0.0,25,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2024-09-15 13:00:00+00:00,0,18,0,0,0,0,4,0,227563,0,1,0,0.0,0,-45776,9852,55628,49,False,0,2,Oleksandr Zinchenko,1,TOT,1110,1330,ARS,1360,1390,1,2024
0,0,0,0,0.0,25,0.0,0.0,0.0,0.0,47,0,0,0.0,0.0,2024-09-22 15:30:00+00:00,0,13,0,0,0,0,5,0,184385,0,2,2,0.0,0,-44677,1173,45850,49,False,0,2,Oleksandr Zinchenko,1,MCI,1350,1360,ARS,1360,1390,1,2024
0,0,0,0,0.0,25,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2024-09-28 14:00:00+00:00,0,11,0,0,0,0,6,0,144882,0,2,4,0.0,0,-40098,164,40262,48,True,0,2,Oleksandr Zinchenko,1,LEI,1120,1080,ARS,1360,1340,1,2024
0,0,0,0,0.0,25,0.0,0.0,0.0,0.0,61,0,0,0.0,0.0,2024-10-05 14:00:00+00:00,0,17,0,0,0,0,7,0,121540,0,1,3,0.0,0,-23935,84,24019,48,True,0,2,Oleksandr Zinchenko,1,SOU,1070,1060,ARS,1360,1340,1,2024
0,0,0,0,0.0,25,0.0,0.0,0.0,0.0,71,0,0,0.0,0.0,2024-10-19 16:30:00+00:00,0,3,0,0,0,0,8,0,112095,0,0,2,0.0,0,-9937,103,10040,48,False,0,2,Oleksandr Zinchenko,1,BOU,1070,1130,ARS,1360,1390,1,2024
0,0,0,0,0.0,25,0.0,0.0,0.0,0.0,81,0,0,0.0,0.0,2024-10-27 16:30:00+00:00,0,12,0,0,0,0,9,0,111488,0,2,2,0.0,0,-1519,1054,2573,48,True,0,2,Oleksandr Zinchenko,1,LIV,1370,1360,ARS,1360,1340,1,2024
0,0,5,0,2.4,25,0.01,0.01,0.0,0.08,96,0,0,0.9,4.6,2024-11-02 12:30:00+00:00,29,15,0,0,0,0,10,0,110916,0,0,1,2.0,1,-1515,1859,3374,48,False,0,2,Oleksandr Zinchenko,1,NEW,1100,1130,ARS,1360,1390,1,2024
