assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,1,28,0,59.3,495,0.2627365887165069,0.41,0.1359588205814361,0.96,10,1,1,13.0,50.0,2024-08-19,90,False,11,0,0,0,0,1,0,3078763,1,1,1,21.0,9,0,0,0,55,False,0,1,4,1,0.1359588205814361,2,Pedro Porro,18,LEI,1050,1090,TOT,1140,1350,2024,0.1359588205814361,,1.40775,21.0,1.40775,1.02614,2.0,1.02614
0,0,23,1,21.5,495,0.0764976516366005,0.14,0.0213539022952318,1.0,19,0,0,4.8,25.2,2024-08-24,90,False,8,0,0,0,0,2,0,3281105,1,0,4,1.0,6,734,165086,164352,55,True,0,1,1,0,0.0213539022952318,2,Pedro Porro,18,EVE,1150,1100,TOT,1140,1300,2024,0.0213539022952318,,2.61143,9.0,2.61143,0.648869,5.0,0.648869
0,0,4,0,15.9,495,0.059588611125946,0.38,0.2024832814931869,1.57,28,2,0,5.5,16.0,2024-09-01,90,False,15,0,0,0,0,3,0,3565812,1,1,2,23.0,1,152937,358314,205377,55,False,0,6,1,0,0.2024832814931869,2,Pedro Porro,18,NEW,1100,1130,TOT,1140,1350,2024,0.2024832814931869,,1.63304,9.0,1.63304,1.58694,5.0,1.58694
0,0,18,0,57.1,495,0.2299446761608123,0.07,0.0,0.73,39,1,0,9.7,38.0,2024-09-15,90,False,1,0,0,0,0,4,0,3445940,1,1,0,2.0,2,-169685,226685,396370,55,True,0,0,4,0,0.0,2,Pedro Porro,18,ARS,1370,1350,TOT,1140,1300,2024,0.0,,0.792595,10.0,0.792595,1.1209,3.0,1.1209
0,0,13,0,7.9,495,0.0,0.09,0.024803090840578,0.8,49,1,0,2.8,14.2,2024-09-21,87,False,4,0,0,0,0,5,0,3516690,1,1,3,6.0,2,32674,142451,109777,56,True,0,2,0,0,0.024803090840578,2,Pedro Porro,18,BRE,1100,1350,TOT,1140,1300,2024,0.024803090840578,,3.89481,17.0,3.89481,0.893565,5.0,0.893565
0,0,30,1,27.7,495,0.3745900094509125,0.21,0.1195585206151008,0.96,57,0,0,6.7,22.2,2024-09-29,90,False,14,0,0,0,0,6,0,3137291,1,3,0,17.0,5,-372117,75293,447410,56,False,1,1,2,0,0.1195585206151008,2,Pedro Porro,18,MUN,1140,1110,TOT,1140,1350,2024,0.1195585206151008,,5.4072,15.0,5.4072,0.600721,6.0,0.600721
0,0,4,0,16.0,495,0.0862133279442787,0.22,0.0202279407531023,1.82,64,3,0,4.3,24.6,2024-10-06,90,False,5,0,0,0,0,7,0,3080537,1,2,3,2.0,1,-81203,86617,167820,55,False,0,1,1,0,0.0202279407531023,2,Pedro Porro,18,BHA,1080,1140,TOT,1140,1350,2024,0.0202279407531023,,1.09279,10.0,1.09279,1.97217,4.0,1.97217
0,0,10,0,43.5,495,0.0805020779371261,0.26,0.155852124094963,0.78,79,1,0,7.9,16.0,2024-10-19,90,False,19,0,0,0,0,8,0,3085094,1,1,4,19.0,2,-15416,110143,125559,55,True,0,4,2,0,0.155852124094963,2,Pedro Porro,18,WHU,1070,1130,TOT,1140,1300,2024,0.155852124094963,,1.44052,11.0,1.44052,0.858803,6.0,0.858803
0,0,10,0,23.1,495,0.0503389500081539,0.14,0.0336087718605995,0.83,86,1,0,4.1,14.8,2024-10-27,90,False,7,0,0,0,0,9,0,3110514,1,0,1,3.0,2,16522,116200,99678,55,False,0,1,1,0,0.0336087718605995,2,Pedro Porro,18,CRY,1130,1110,TOT,1140,1350,2024,0.0336087718605995,,1.0192,7.0,1.0192,0.978611,7.0,0.978611
0,0,5,0,4.6,495,0.0,0.06,0.080623984336853,1.86,99,1,0,1.8,5.0,2024-11-03,90,False,2,0,0,0,0,10,0,2987001,1,1,4,8.0,1,-123964,60224,184188,55,True,1,2,0,0,0.080623984336853,2,Pedro Porro,18,AVL,1160,1320,TOT,1140,1300,2024,0.080623984336853,,2.09751,11.0,2.09751,2.48749,3.0,2.48749
1,0,16,0,58.9,495,0.2522985637187958,0.17,0.0,1.74,108,2,0,10.0,37.0,2024-11-10,90,False,10,0,0,0,0,11,0,3011411,1,2,1,4.0,4,2005,106969,104964,55,True,0,0,4,0,0.0,2,Pedro Porro,18,IPS,1070,1080,TOT,1140,1300,2024,0.0,,1.75088,10.0,1.75088,2.18392,6.0,2.18392
0,2,42,1,6.1,495,0.0,0.32,0.449903666973114,2.14,118,0,1,8.3,60.2,2024-11-23,90,False,13,0,0,0,0,12,0,2774570,1,4,0,17.0,14,-222922,36674,259596,55,False,0,1,0,1,0.449903666973114,2,Pedro Porro,18,MCI,1140,1300,TOT,1140,1350,2024,0.449903666973114,,3.30449,8.0,3.30449,2.15899,14.0,2.15899
0,0,11,0,19.4,495,0.0144567592069506,0.14,0.0486477650701999,1.38,128,1,0,3.2,8.6,2024-12-01,90,False,9,0,0,0,0,13,0,3244527,1,1,1,4.0,2,415808,435969,20161,55,True,0,2,1,0,0.0486477650701999,2,Pedro Porro,18,FUL,1140,1160,TOT,1140,1300,2024,0.0486477650701999,,1.01086,7.0,1.01086,1.57274,7.0,1.57274
0,0,5,0,1.3,495,0.0,0.06,0.0399143919348716,2.16,133,0,0,2.0,11.4,2024-12-05,28,False,3,0,0,0,0,14,0,3338235,0,0,1,7.0,1,104846,168431,63585,56,False,0,1,0,0,0.0399143919348716,2,Pedro Porro,18,BOU,1080,1190,TOT,1140,1350,2024,0.0399143919348716,,0.623934,11.0,0.623934,3.27716,10.0,3.27716
