assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,172,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18 15:30:00+00:00,0,13,0,0,0,0,1,0,9795,0,2,0,0.0,0,0,0,0,50,True,0,2,Reece James,6,MCI,1350,1390,CHE,1130,1320,1,2024
0,0,0,0,0.0,172,0.0,0.0,0.0,0.0,20,0,0,0.0,0.0,2024-08-25 13:00:00+00:00,0,20,0,0,0,0,2,0,9284,0,6,2,0.0,0,-1652,264,1916,50,False,0,2,Reece James,6,WOL,1060,1090,CHE,1130,1330,1,2024
0,0,0,0,0.0,172,0.0,0.0,0.0,0.0,23,0,0,0.0,0.0,2024-09-01 12:30:00+00:00,0,7,0,0,0,0,3,0,8183,0,1,1,0.0,0,-1473,408,1881,50,True,0,2,Reece James,6,CRY,1100,1090,CHE,1130,1320,1,2024
0,0,0,0,0.0,172,0.0,0.0,0.0,0.0,32,0,0,0.0,0.0,2024-09-14 19:00:00+00:00,0,3,0,0,0,0,4,0,8172,0,1,0,0.0,0,-457,1336,1793,50,False,0,2,Reece James,6,BOU,1070,1130,CHE,1130,1330,1,2024
0,0,0,0,0.0,172,0.0,0.0,0.0,0.0,50,0,0,0.0,0.0,2024-09-21 11:30:00+00:00,0,19,0,0,0,0,5,0,7304,0,3,0,0.0,0,-958,158,1116,50,False,0,2,Reece James,6,WHU,1080,1120,CHE,1130,1330,1,2024
0,0,0,0,0.0,172,0.0,0.0,0.0,0.0,54,0,0,0.0,0.0,2024-09-28 14:00:00+00:00,0,5,0,0,0,0,6,0,6440,0,2,4,0.0,0,-933,131,1064,50,True,0,2,Reece James,6,BHA,1130,1220,CHE,1130,1320,1,2024
0,0,0,0,0.0,172,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2024-10-06 13:00:00+00:00,0,16,0,0,0,0,7,0,5930,0,1,1,0.0,0,-604,110,714,49,True,0,2,Reece James,6,NFO,1130,1070,CHE,1130,1320,1,2024
0,0,3,0,2.4,172,0.01,0.01,0.0,1.84,74,2,0,0.8,5.8,2024-10-20 15:30:00+00:00,52,12,0,0,0,0,8,0,7759,1,1,2,0.0,0,1491,1932,441,49,False,0,2,Reece James,6,LIV,1360,1340,CHE,1130,1330,1,2024
0,0,15,0,13.8,172,0.04,0.04,0.0,1.92,85,1,0,3.5,21.4,2024-10-27 14:00:00+00:00,90,15,0,0,0,0,9,0,22642,1,1,2,0.0,2,12738,13716,978,49,True,0,2,Reece James,6,NEW,1130,1310,CHE,1130,1320,1,2024
0,0,11,0,6.7,172,0.17,0.17,0.0,1.98,95,1,0,1.8,10.8,2024-11-03 16:30:00+00:00,90,14,0,0,0,0,10,0,48828,1,1,1,0.0,2,23353,26257,2904,49,False,0,2,Reece James,6,MUN,1130,1120,CHE,1130,1330,1,2024
