assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,6,0,15.1,474,0.4019381701946258,0.22,0.0,0.25,5,1,0,2.3,6.0,2024-08-17,45,False,15,0,0,0,0,1,0,13339,1,0,1,2.0,1,0,0,0,45,False,0,0,1,0,0.0,2,Sugawara Yukinari,17,NEW,1100,1130,SOU,1070,1060,2024,0.0,,1.95483,13.0,1.95483,0.433489,4.0,0.433489
0,0,13,0,6.1,474,0.0,0.09,0.0214539505541324,2.14,18,1,0,2.5,17.8,2024-08-24,71,False,16,0,0,0,0,2,0,14982,1,1,0,1.0,2,-318,851,1169,45,True,0,1,0,0,0.0214539505541324,2,Sugawara Yukinari,17,NFO,1130,1070,SOU,1060,1060,2024,0.0214539505541324,,0.214952,4.0,0.214952,2.86475,9.0,2.86475
0,0,21,0,31.8,474,0.6220018863677979,0.51,0.1060141995549202,2.78,22,3,1,11.7,58.6,2024-08-31,90,False,4,0,0,0,0,3,0,14874,1,1,3,27.0,7,-919,598,1517,45,False,0,3,2,1,0.1060141995549202,2,Sugawara Yukinari,17,BRE,1080,1100,SOU,1070,1060,2024,0.1060141995549202,,1.64713,14.0,1.64713,3.86281,15.0,3.86281
0,0,13,0,27.6,474,0.4784041941165924,0.21,0.0341485179960727,2.67,38,3,0,5.0,17.8,2024-09-14,90,False,14,0,0,0,0,4,0,28080,1,3,0,5.0,1,9169,12616,3447,45,True,0,1,2,0,0.0341485179960727,2,Sugawara Yukinari,17,MUN,1140,1170,SOU,1060,1060,2024,0.0341485179960727,,1.35593,3.0,0.545317,3.02693,17.0,3.02693
0,0,9,0,12.8,474,0.1315326541662216,0.03,0.0,1.69,48,1,0,3.6,19.6,2024-09-21,90,False,10,0,0,0,0,5,0,31524,1,1,1,4.0,2,2765,6409,3644,45,True,0,0,1,0,0.0,2,Sugawara Yukinari,17,IPS,1080,1100,SOU,1060,1060,2024,0.0,,2.89813,7.0,2.89813,1.645,5.0,1.645
0,0,0,0,11.5,474,0.0358436070382595,0.03,0.0,1.38,52,3,0,2.4,10.4,2024-09-30,90,False,3,0,0,0,0,6,0,30232,1,1,3,2.0,0,-1302,2209,3511,45,False,1,0,1,0,0.0,2,Sugawara Yukinari,17,BOU,1070,1130,SOU,1070,1060,2024,0.0,,0.696068,7.0,0.696068,1.44215,7.0,1.44215
0,0,-5,0,14.4,474,0.5442954301834106,0.14,0.0,2.3,61,3,0,2.3,6.8,2024-10-05,89,False,1,0,0,0,0,7,0,28145,1,1,3,2.0,1,-2403,1359,3762,45,False,0,0,1,0,0.0,2,Sugawara Yukinari,17,ARS,1360,1340,SOU,1070,1060,2024,0.0,,1.27313,3.0,1.27313,3.25165,14.0,3.25165
0,0,25,1,12.9,474,0.0122760739177465,0.13,0.0,1.01,78,0,0,2.9,12.0,2024-10-19,61,False,11,0,0,0,0,8,0,27025,1,3,2,4.0,5,-1630,746,2376,45,True,1,0,1,0,0.0,2,Sugawara Yukinari,17,LEI,1120,1080,SOU,1060,1060,2024,0.0,,2.42776,8.0,2.42776,2.83826,11.0,2.0771
0,0,0,0,0.0,474,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2024-10-26,0,False,13,0,0,0,0,9,0,24974,0,0,1,0.0,0,-2052,330,2382,45,False,0,0,0,0,0.0,2,Sugawara Yukinari,17,MCI,1350,1360,SOU,1070,1060,2024,0.0,,0.369989,6.0,0.369989,3.16286,12.0,3.16286
1,0,13,0,10.3,474,0.107665404677391,0.07,0.0,1.05,98,0,0,3.0,17.6,2024-11-02,11,False,8,0,0,0,0,10,0,24348,0,0,1,2.0,4,-998,628,1626,45,True,0,0,1,0,0.0,2,Sugawara Yukinari,17,EVE,1100,1100,SOU,1060,1060,2024,0.0,,0.540345,6.0,0.540345,1.78581,4.0,1.78581
