assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order
0,0,26,1,0.9,18,0.0,0.0,0.0,0.47,2,0,0,1.6,14.8,2024-08-17,90,20,0,0,0,0,1,0,3490919,1,0,2,0.0,6,0,0,0,60,True,0,0,0,0,0.0,2,William Saliba,1,WOL,1060,1120,ARS,1360,1340,2024,0.0,
0,0,24,1,1.2,18,0.0,0.01,0.0,1.28,11,0,0,2.5,23.8,2024-08-24,90,2,0,0,0,0,2,0,3770895,1,2,0,0.0,6,-54391,71155,125546,60,False,0,0,0,0,0.0,2,William Saliba,1,AVL,1120,1200,ARS,1360,1390,2024,0.0,
0,0,10,0,1.3,18,0.0,0.01,0.0,1.83,21,1,0,2.3,22.0,2024-08-31,90,5,0,0,0,0,3,0,3954073,1,1,1,0.0,2,16354,186343,169989,60,True,0,0,0,0,0.0,2,William Saliba,1,BHA,1130,1220,ARS,1360,1340,2024,0.0,
0,0,22,1,0.4,18,0.0,0.01,0.0,0.74,39,0,0,1.1,8.2,2024-09-15,90,18,0,0,0,0,4,0,3736254,1,1,0,2.0,5,-294232,95758,389990,60,False,1,0,0,0,0.0,2,William Saliba,1,TOT,1110,1330,ARS,1360,1390,2024,0.0,
0,0,7,0,0.3,18,0.0,0.0,0.0,2.16,47,2,0,2.5,24.2,2024-09-22,90,13,0,0,0,0,5,0,3663934,1,2,2,0.0,1,-106785,39461,146246,60,False,0,0,0,0,0.0,2,William Saliba,1,MCI,1350,1360,ARS,1360,1390,2024,0.0,
0,0,4,0,1.5,18,0.0,0.01,0.0,0.32,51,2,0,1.5,13.0,2024-09-28,90,11,0,0,0,0,6,0,3563681,1,2,4,0.0,0,-135179,170729,305908,60,True,1,0,0,0,0.0,2,William Saliba,1,LEI,1120,1080,ARS,1360,1340,2024,0.0,
0,0,10,0,4.0,18,0.0,0.03,0.0,0.65,61,1,0,1.9,13.4,2024-10-05,90,17,0,0,0,0,7,0,3419740,1,1,3,2.0,2,-164493,60456,224949,60,True,0,0,0,0,0.0,2,William Saliba,1,SOU,1070,1060,ARS,1360,1340,2024,0.0,
0,0,-12,0,0.1,18,0.0,0.0,0.0,0.03,71,2,0,0.0,0.0,2024-10-19,29,3,0,0,0,1,8,0,3345949,1,0,2,0.0,-3,-102072,43802,145874,60,False,0,0,0,0,0.0,2,William Saliba,1,BOU,1070,1130,ARS,1360,1390,2024,0.0,
0,0,0,0,0.0,18,0.0,0.0,0.0,0.0,81,0,0,0.0,0.0,2024-10-27,0,12,0,0,0,0,9,0,2485944,0,2,2,0.0,0,-845094,1772,846866,60,True,0,0,0,0,0.0,2,William Saliba,1,LIV,1370,1360,ARS,1360,1340,2024,0.0,
0,0,19,0,2.7,18,0.0,0.24,0.0,0.53,96,1,0,2.4,18.8,2024-11-02,90,15,0,0,0,0,10,0,2445021,1,0,1,2.0,2,-74076,55502,129578,60,False,0,0,0,0,0.0,2,William Saliba,1,NEW,1100,1130,ARS,1360,1390,2024,0.0,
0,0,18,0,22.3,18,0.5203959345817566,0.26,0.0,1.28,103,1,0,4.3,16.6,2024-11-10,90,6,0,0,0,0,11,0,2368808,1,1,1,4.0,2,-81301,20567,101868,60,False,0,0,2,0,0.0,2,William Saliba,1,CHE,1130,1320,ARS,1360,1390,2024,0.0,
0,1,32,1,2.8,18,0.0,0.02,0.0,0.33,111,0,0,2.7,24.0,2024-11-23,90,16,0,0,0,0,12,0,2392633,1,0,3,0.0,7,3449,65139,61690,60,True,0,0,0,0,0.0,2,William Saliba,1,NFO,1130,1070,ARS,1360,1340,2024,0.0,
0,0,6,0,1.0,18,0.0,0.01,0.0,1.54,129,2,0,2.0,18.6,2024-11-30,90,19,0,0,0,0,13,0,2495567,1,5,2,0.0,1,83815,112154,28339,60,False,0,0,0,0,0.0,2,William Saliba,1,WHU,1080,1120,ARS,1360,1390,2024,0.0,
0,3,41,1,1.5,18,0.0,0.7,0.9628716707229614,0.22,131,0,1,8.2,47.0,2024-12-04,90,14,0,0,0,0,14,0,2447500,1,0,2,33.0,15,-44337,43456,87793,60,True,0,1,0,1,0.9628716707229614,2,William Saliba,1,MUN,1140,1170,ARS,1360,1340,2024,0.9628716707229614,
