assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds
0,0,10,0,0.1,425,0.0,0.07,0.07,1.22,6,1,0,4.9,32.0,2024-08-17 14:00:00+00:00,90,3,0,0,0,0,1,0,21461,1,1,1,17.0,2,0,0,0,45,True,0,2,Willy Boly,16,BOU,1130,1160,NFO,1140,1120,1
0,0,3,0,0.1,425,0.0,0.0,0.0,0.0,18,0,0,0.0,0.0,2024-08-24 14:00:00+00:00,1,17,0,0,0,0,2,0,26683,0,1,0,0.0,1,814,2978,2164,45,False,0,2,Willy Boly,16,SOU,1060,1060,NFO,1130,1070,1
0,0,0,0,0.0,425,0.0,0.0,0.0,0.0,29,0,0,0.0,0.0,2024-08-31 14:00:00+00:00,0,20,0,0,0,0,3,0,24937,0,1,1,0.0,0,-2724,1119,3843,45,True,0,2,Willy Boly,16,WOL,1060,1120,NFO,1140,1120,1
0,0,0,0,0.0,425,0.0,0.0,0.0,0.0,36,0,0,0.0,0.0,2024-09-14 14:00:00+00:00,0,12,0,0,0,0,4,0,20676,0,1,0,0.0,0,-4949,567,5516,45,False,0,2,Willy Boly,16,LIV,1360,1340,NFO,1130,1070,1
0,0,0,0,0.0,425,0.0,0.0,0.0,0.0,42,0,0,0.0,0.0,2024-09-22 13:00:00+00:00,0,5,0,0,0,0,5,0,18089,0,2,2,0.0,0,-2738,55,2793,44,False,0,2,Willy Boly,16,BHA,1070,1130,NFO,1130,1070,1
0,0,0,0,0.0,425,0.0,0.0,0.0,0.0,59,0,0,0.0,0.0,2024-09-28 14:00:00+00:00,0,9,0,0,0,0,6,0,15848,0,1,0,0.0,0,-2294,36,2330,44,True,0,2,Willy Boly,16,FUL,1140,1180,NFO,1140,1120,1
0,0,0,0,0.0,425,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2024-10-06 13:00:00+00:00,0,6,0,0,0,0,7,0,15268,0,1,1,0.0,0,-736,308,1044,43,False,0,2,Willy Boly,16,CHE,1130,1320,NFO,1130,1070,1
0,0,0,0,0.0,425,0.0,0.0,0.0,0.0,77,0,0,0.0,0.0,2024-10-21 19:00:00+00:00,0,7,0,0,0,0,8,0,15038,0,0,1,0.0,0,-368,341,709,43,True,0,2,Willy Boly,16,CRY,1100,1090,NFO,1140,1120,1
0,0,0,0,0.0,425,0.0,0.0,0.0,0.0,88,0,0,0.0,0.0,2024-10-25 19:00:00+00:00,0,11,0,0,0,0,9,0,14841,0,3,1,0.0,0,-282,263,545,43,False,0,2,Willy Boly,16,LEI,1060,1090,NFO,1130,1070,1
0,0,0,0,0.0,425,0.0,0.0,0.0,0.0,97,0,0,0.0,0.0,2024-11-02 15:00:00+00:00,0,19,0,0,0,0,10,0,14448,0,0,3,0.0,0,-463,254,717,43,True,0,2,Willy Boly,16,WHU,1070,1130,NFO,1140,1120,1
