assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,-1,0,1.8,321,0.1288326978683471,0.0,0.0,0.04,4,0,0,0.8,0.0,2024-08-17,11,False,10,0,0,0,0,1,0,367195,0,2,0,6.0,0,0,0,0,75,False,1,0,1,0,0.0,4,Cody Gakpo,12,IPS,1070,1080,LIV,1360,1360,2024,0.0,,3.92906,13.0,3.92906,0.342601,2.0,0.342601
0,0,3,0,1.1,321,0.0,0.04,0.0323112271726131,0.0,16,0,0,0.7,2.2,2024-08-25,18,False,4,0,0,0,0,2,0,309876,0,0,2,4.0,1,-88748,17819,106567,74,True,0,1,0,0,0.0323112271726131,4,Cody Gakpo,12,BRE,1100,1350,LIV,1340,1360,2024,0.0323112271726131,,2.71877,21.0,2.71877,0.457239,2.0,0.457239
0,0,2,0,0.0,321,0.0,0.34,0.5083661675453186,0.87,27,0,0,1.2,1.2,2024-09-01,24,False,14,0,0,0,0,3,0,247819,0,3,0,11.0,1,-72769,15664,88433,73,False,0,2,0,0,0.5083661675453186,4,Cody Gakpo,12,MUN,1140,1110,LIV,1360,1360,2024,0.5083661675453186,,2.10397,9.0,2.10397,1.50087,6.0,1.50087
0,0,3,0,1.5,321,0.0,0.0,0.0,0.3,36,1,0,0.3,1.2,2024-09-14,29,False,16,0,0,0,0,4,0,207627,0,1,0,0.0,1,-47998,13125,61123,72,True,0,0,0,0,0.0,4,Cody Gakpo,12,NFO,1230,1130,LIV,1340,1360,2024,0.0,,1.17044,6.0,1.17044,0.589532,4.0,0.589532
0,0,10,0,30.8,321,0.5401819944381714,0.16,0.0784086212515831,0.55,46,0,0,4.4,7.2,2024-09-21,18,False,3,0,0,0,0,5,0,203266,0,0,3,6.0,1,-9803,13131,22934,72,True,0,1,3,0,0.0784086212515831,4,Cody Gakpo,12,BOU,1140,1210,LIV,1340,1360,2024,0.0784086212515831,,2.43731,13.0,2.43731,1.46979,6.0,1.46979
0,0,3,0,1.2,321,0.0,0.01,0.0,0.01,60,0,0,0.6,1.0,2024-09-28,17,False,20,0,0,0,0,6,0,188387,0,2,1,4.0,1,-17568,7157,24725,72,False,0,0,0,0,0.0,4,Cody Gakpo,12,WOL,1070,1100,LIV,1360,1360,2024,0.0,,2.11724,11.0,1.35607,0.748925,2.0,0.748925
1,0,30,1,56.3,321,0.634814441204071,0.3,0.0825925841927528,0.64,66,0,0,10.4,36.4,2024-10-05,90,False,7,0,0,0,0,7,0,184193,1,1,0,11.0,4,-8255,9254,17509,71,False,1,2,5,0,0.0825925841927528,4,Cody Gakpo,12,CRY,1130,1110,LIV,1360,1360,2024,0.0825925841927528,,2.07332,11.0,2.07332,0.609481,3.0,0.609481
0,0,4,0,13.9,321,0.1521145701408386,0.17,0.0518696680665016,0.63,74,1,0,2.2,1.6,2024-10-20,65,False,6,0,0,0,0,8,0,187727,1,1,2,6.0,2,-831,9783,10614,71,True,0,1,1,0,0.0518696680665016,4,Cody Gakpo,12,CHE,1150,1360,LIV,1340,1360,2024,0.0518696680665016,,2.22517,2.0,1.464,1.33904,6.0,1.33904
0,0,6,0,1.9,321,0.0,0.01,0.0,0.23,81,0,0,0.4,2.4,2024-10-27,27,False,1,0,0,0,0,9,0,186802,0,2,2,0.0,1,-2443,4708,7151,71,False,0,0,0,0,0.0,4,Cody Gakpo,12,ARS,1260,1240,LIV,1360,1360,2024,0.0,,1.35346,8.0,1.35346,1.0883,6.0,1.0883
0,3,35,0,16.8,321,0.063719667494297,0.24,0.1145695373415947,1.01,94,1,1,7.4,39.2,2024-11-02,90,False,5,0,0,0,0,10,0,195124,1,1,2,18.0,9,5490,15429,9939,71,True,0,3,1,1,0.1145695373415947,4,Cody Gakpo,12,BHA,1100,1200,LIV,1340,1360,2024,0.1145695373415947,,1.81037,10.0,1.81037,1.01568,5.0,1.01568
