assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season
0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18,0,13,0,0,0,0,1,0,11959,0,2,0,0.0,0,0,0,0,55,True,0,0,0,0,0.0,4,David Datro Fofana,6,MCI,1350,1390,CHE,1130,1320,2024
0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,20,0,0,0.0,0.0,2024-08-25,0,20,0,0,0,0,2,0,13012,0,6,2,0.0,0,-1638,1057,2695,55,False,0,0,0,0,0.0,4,David Datro Fofana,6,WOL,1060,1090,CHE,1130,1330,2024
0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,23,0,0,0.0,0.0,2024-09-01,0,7,0,0,0,0,3,0,12667,0,1,1,0.0,0,-1400,1559,2959,54,True,0,0,0,0,0.0,4,David Datro Fofana,6,CRY,1100,1090,CHE,1130,1320,2024
0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,32,0,0,0.0,0.0,2024-09-14,0,3,0,0,0,0,4,0,12410,0,1,0,0.0,0,-1384,2111,3495,54,False,0,0,0,0,0.0,4,David Datro Fofana,6,BOU,1070,1130,CHE,1130,1330,2024
0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,50,0,0,0.0,0.0,2024-09-21,0,19,0,0,0,0,5,0,9962,0,3,0,0.0,0,-2446,0,2446,54,False,0,0,0,0,0.0,4,David Datro Fofana,6,WHU,1080,1120,CHE,1130,1330,2024
0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,54,0,0,0.0,0.0,2024-09-28,0,5,0,0,0,0,6,0,8797,0,2,4,0.0,0,-1230,0,1230,54,True,0,0,0,0,0.0,4,David Datro Fofana,6,BHA,1130,1220,CHE,1130,1320,2024
0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2024-10-06,0,16,0,0,0,0,7,0,8087,0,1,1,0.0,0,-718,0,718,54,True,0,0,0,0,0.0,4,David Datro Fofana,6,NFO,1130,1070,CHE,1130,1320,2024
0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,74,0,0,0.0,0.0,2024-10-20,0,12,0,0,0,0,8,0,7703,0,1,2,0.0,0,-392,0,392,54,False,0,0,0,0,0.0,4,David Datro Fofana,6,LIV,1360,1340,CHE,1130,1330,2024
0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,85,0,0,0.0,0.0,2024-10-27,0,15,0,0,0,0,9,0,7523,0,1,2,0.0,0,-188,0,188,54,True,0,0,0,0,0.0,4,David Datro Fofana,6,NEW,1130,1310,CHE,1130,1320,2024
0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2024-11-03,0,14,0,0,0,0,10,0,7323,0,1,1,0.0,0,-202,0,202,54,False,0,0,0,0,0.0,4,David Datro Fofana,6,MUN,1130,1120,CHE,1130,1330,2024
0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,103,0,0,0.0,0.0,2024-11-10,0,1,0,0,0,0,11,0,7192,0,1,1,0.0,0,-133,0,133,54,True,0,0,0,0,0.0,4,David Datro Fofana,6,ARS,1360,1390,CHE,1130,1320,2024
0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,117,0,0,0.0,0.0,2024-11-23,0,11,0,0,0,0,12,0,7062,0,2,1,0.0,0,-127,0,127,54,False,0,0,0,0,0.0,4,David Datro Fofana,6,LEI,1060,1090,CHE,1130,1330,2024
0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,123,0,0,0.0,0.0,2024-12-01,0,2,0,0,0,0,13,0,6993,0,0,3,0.0,0,-70,0,70,54,True,0,0,0,0,0.0,4,David Datro Fofana,6,AVL,1140,1300,CHE,1130,1320,2024
0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,140,0,0,0.0,0.0,2024-12-04,0,17,0,0,0,0,14,0,6924,0,5,1,0.0,0,-73,0,73,54,False,0,0,0,0,0.0,4,David Datro Fofana,6,SOU,1060,1060,CHE,1130,1330,2024
