assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,season,position
0,2,31,1,0.6,351,0.0,0.28,0.6556934714317322,1.01,9,0,1,7.5,36.4,2024-08-18,90,False,6,0,0,0,0,1,0,4408007,1,2,0,38.0,7,0,0,0,150,False,1,Erling Haaland,351,2,0,1,0.6556934714317322,13,CHE,1150,1360,MCI,1230,1350,2.4426925,10.5,1.6664547500000002,8.25,2.2747368125,9.625,1.7291985625,9.125,3.1739875,13.5,0.6421301250000002,1.75,2.5157470625,15.8125,0.94846640625,3.75,2024,FWD
0,3,80,0,3.3,351,0.0,1.83,1.840464234352112,0.29,17,1,3,18.4,97.2,2024-08-24,89,False,10,0,0,0,0,2,0,5207729,1,1,4,83.0,17,222715,275319,52604,150,True,0,Erling Haaland,351,7,0,2,1.0792953968048096,13,IPS,1070,1080,MCI,1140,1300,0.342601,2.0,3.92906,13.0,0.342601,2.0,3.92906,13.0,2.3377275,11.25,0.8082158750000001,3.5,2.4901639375,15.8125,1.00278878125,4.1875,2024,FWD
0,3,93,0,11.1,351,0.4139332473278045,1.82,1.313664793968201,0.73,30,1,3,18.4,106.8,2024-08-31,90,False,19,0,0,0,0,3,0,6054723,1,3,1,66.0,17,566889,642719,75830,151,False,0,Erling Haaland,351,5,1,3,1.313664793968201,13,WHU,1080,1100,MCI,1230,1350,2.0722897499999995,4.5,1.7504740000000003,8.75,1.5220158124999998,4.25,2.297020625,12.0625,2.3192275,11.75,0.9060595,3.5,2.5089795625,14.9375,0.91847434375,3.6875,2024,FWD
0,3,58,0,1.5,351,0.0,1.11,0.7304578423500061,0.96,37,1,2,15.9,72.2,2024-09-14,90,False,4,0,0,0,0,4,0,6928685,1,1,2,85.0,13,684275,791306,107031,152,True,0,Erling Haaland,351,6,0,2,0.7304578423500061,13,BRE,1100,1350,MCI,1140,1300,1.85056475,5.75,2.2909775,12.75,1.67313325,7.6875,1.6329857500000002,9.625,2.4416425000000004,15.5,0.6821472500000001,3.5,2.5499364375,15.0625,0.94618696875,3.9375,2024,FWD
0,3,33,0,0.5,351,0.0,0.83,0.829184889793396,0.65,47,2,1,15.7,42.2,2024-09-22,90,False,1,0,0,0,0,5,0,7253417,1,2,2,114.0,9,274627,329275,54648,153,True,0,Erling Haaland,351,6,0,1,0.829184889793396,13,ARS,1370,1350,MCI,1140,1300,1.6452924999999998,8.25,1.1256375,5.25,2.11561075,14.5625,0.8977935625,4.375,2.25108,17.0,0.8848425,5.0,2.5347133125,15.625,0.95400265625,3.8125,2024,FWD
0,0,12,0,12.3,351,0.1188350841403007,0.55,0.3910007178783417,1.57,58,1,0,8.4,14.8,2024-09-28,90,False,15,0,0,0,0,6,0,7583749,1,1,1,57.0,2,258724,286015,27291,153,False,0,Erling Haaland,351,5,1,0,0.3910007178783417,13,NEW,1100,1130,MCI,1230,1350,1.5152300000000003,6.75,2.2123175,7.5,2.1232315,9.4375,1.657095875,6.9375,2.644955,17.75,0.9405625000000002,3.25,2.5418476875,14.8125,1.02464928125,3.8125,2024,FWD
0,0,10,0,23.6,351,0.1925285458564758,0.34,0.2977975308895111,2.6,69,2,0,7.5,9.2,2024-10-05,90,False,9,0,0,0,0,7,0,7704044,1,2,3,42.0,2,59763,132448,72685,154,True,0,Erling Haaland,351,4,2,0,0.2977975308895111,13,FUL,1140,1160,MCI,1140,1300,2.1805425,5.25,0.7754495,4.25,1.56644371875,6.625,1.41387825,6.125,2.1917,18.0,1.1564227500000002,4.75,2.5351145625,15.5,0.96768178125,3.6875,2024,FWD
0,0,6,0,13.2,351,0.0823856741189956,0.02,0.0,0.97,80,1,0,2.3,2.2,2024-10-20,90,False,20,0,0,0,0,8,0,7811209,1,2,1,8.0,2,47225,110645,63420,154,False,0,Erling Haaland,351,0,1,0,0.0,13,WOL,1070,1100,MCI,1230,1350,0.8587465,5.5,2.5273275,9.75,1.002523375,4.5625,2.304736875,11.0,1.7351675,14.75,1.6092375,6.25,2.5442864375,15.625,1.10812290625,3.9375,2024,FWD
0,0,26,1,2.0,351,0.0,2.33,2.43924331665039,0.21,89,0,1,12.5,32.0,2024-10-26,90,False,17,0,0,0,0,9,0,7845366,1,0,1,91.0,6,5336,77692,72356,154,True,0,Erling Haaland,351,8,0,1,2.43924331665039,13,SOU,1060,1090,MCI,1140,1300,1.823772,6.25,2.294265,9.25,1.3509453750000002,6.125,2.3205658125,11.9375,1.6883925,15.5,1.5368067500000002,4.75,2.3873270625,15.5625,1.08154709375,3.6875,2024,FWD
0,0,-1,0,0.6,351,0.0,0.9,1.597485899925232,2.04,91,2,0,7.3,3.2,2024-11-02,90,False,3,0,0,0,0,10,0,7679947,1,1,2,69.0,2,-178318,39141,217459,154,False,0,Erling Haaland,351,6,0,0,1.597485899925232,13,BOU,1080,1190,MCI,1230,1350,1.47615525,6.75,1.0807222500000002,7.25,1.8236050625,7.0,1.6759793125,10.8125,1.7901375000000002,15.25,1.3082765,6.0,2.4435176875,15.0625,1.01125140625,3.9375,2024,FWD
