assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,season,position
0,0,7,1,2.8,617,0.0,0.75,0.9944638013839722,0.59,12,0,0,4.9,11.2,2024-08-25,71,False,15,0,0,0,0,2,0,10269,1,1,1,35.0,2,8001,8938,937,60,True,0,Francisco Evanilson de Lima Barbosa,617,3,0,0,0.9944638013839722,3,NEW,1150,1290,BOU,1080,1190,1.363055,7.0,2.170675,14.25,1.8316285625,7.0625,1.7239664375,9.75,2.20303225,8.5,1.767255,9.0,2.14742075,9.5,1.488403,7.0625,2024,FWD
0,0,3,0,0.8,617,0.0,0.27,0.139943391084671,1.71,24,2,0,0.6,0.0,2024-08-31,64,False,8,0,0,0,0,3,0,35863,1,3,2,7.0,2,21574,29281,7707,60,False,0,Francisco Evanilson de Lima Barbosa,617,1,0,0,0.139943391084671,3,EVE,1130,1060,BOU,1140,1210,1.8796625,8.25,1.6654625000000003,9.5,1.8600129375,7.375,1.6932551875,9.75,0.8858020000000002,5.25,2.01987075,8.5,1.2834806250000002,6.625,1.7673246875,8.25,2024,FWD
0,0,0,1,12.0,617,0.1013539806008338,0.99,0.8637921810150146,0.47,32,0,0,5.0,3.2,2024-09-14,67,False,6,0,1,0,0,4,0,28366,1,1,0,35.0,0,-7617,5629,13246,60,True,0,Francisco Evanilson de Lima Barbosa,617,3,1,0,0.1026233211159706,3,CHE,1150,1360,BOU,1080,1190,2.35079,7.25,1.82273,10.5,1.986949875,7.3125,1.7407508125,9.875,1.91643,6.5,1.515047,8.5,2.3128511875,8.9375,1.6086724375,8.1875,2024,FWD
0,0,6,0,23.9,617,0.4790083169937134,0.28,0.0300676524639129,1.66,46,3,0,3.4,3.0,2024-09-21,75,False,12,0,0,0,0,5,0,27389,1,0,3,7.0,2,-1896,5360,7256,59,False,0,Francisco Evanilson de Lima Barbosa,617,2,2,0,0.0300676524639129,3,LIV,1340,1360,BOU,1140,1210,2.2346175,6.0,1.656484,10.75,1.99327175,7.25,1.6987580625,9.875,2.48056,12.25,0.7225604999999997,3.5,2.669921875,15.5,1.092619,5.5625,2024,FWD
0,3,34,0,1.2,617,0.0,0.44,0.6221068501472473,0.58,52,1,1,6.4,34.8,2024-09-30,75,False,17,0,0,0,0,6,0,55529,1,1,3,28.0,9,26459,35700,9241,59,True,0,Francisco Evanilson de Lima Barbosa,617,2,0,1,0.6221068501472473,3,SOU,1060,1090,BOU,1080,1190,2.1247775,6.5,1.9547990000000004,11.5,1.839723,6.6875,1.7312449375,10.5625,1.5290355,7.0,2.8498725,11.5,1.284375,6.0,2.2465839375,11.1875,2024,FWD
0,0,7,0,10.5,617,0.0,0.28,0.1172955110669136,0.76,68,1,0,3.2,1.4,2024-10-05,80,False,11,0,0,0,0,7,0,87187,1,0,1,20.0,2,29194,36823,7629,59,False,0,Francisco Evanilson de Lima Barbosa,617,3,0,0,0.1172955110669136,3,LEI,1050,1090,BOU,1140,1210,1.8515325,6.25,1.6555985000000002,11.0,1.7521055,6.6875,1.6001123125,10.9375,1.0256125,5.5,3.2319575,12.0,1.4352100125000002,4.4375,2.08464825,9.75,2024,FWD
1,0,17,1,12.2,617,0.0678947493433952,0.08,0.0281005073338747,0.68,71,0,0,3.0,1.4,2024-10-19,81,False,1,0,0,0,0,8,0,60367,1,0,2,16.0,5,-25294,3996,29290,59,True,0,Francisco Evanilson de Lima Barbosa,617,1,1,0,0.0281005073338747,3,ARS,1370,1350,BOU,1080,1190,1.5997199999999998,6.25,1.2445417500000002,7.75,1.786914875,6.75,1.598755,10.375,2.9274275,9.75,1.2898785,7.5,2.491284375,13.75,1.0360570625,4.9375,2024,FWD
0,3,28,0,0.6,617,0.0,0.04,0.0293816626071929,0.48,82,1,1,5.7,33.4,2024-10-26,26,False,2,0,0,0,0,9,0,59335,0,1,1,23.0,8,-2224,6573,8797,59,False,0,Francisco Evanilson de Lima Barbosa,617,1,0,1,0.0293816626071929,3,AVL,1080,1140,BOU,1140,1210,1.76144,6.75,1.1965497500000004,6.5,1.841571125,6.9375,1.6341530625,10.25,1.37180225,8.0,1.3613684999999998,3.5,1.54340603125,7.0625,1.8038826875,6.9375,2024,FWD
0,1,32,1,0.8,617,0.0,0.47,0.7182064652442932,0.65,91,0,1,7.5,38.6,2024-11-02,77,False,13,0,0,0,0,10,0,58243,1,1,2,36.0,7,-2018,8092,10110,59,True,0,Francisco Evanilson de Lima Barbosa,617,2,0,1,0.7182064652442932,3,MCI,1230,1350,BOU,1080,1190,1.47615525,6.75,1.0807222500000002,7.25,1.8236050625,7.0,1.6759793125,10.8125,1.7901375000000002,15.25,1.3082765,6.0,2.4435176875,15.0625,1.01125140625,3.9375,2024,FWD
0,2,35,0,23.3,617,0.102626271545887,0.98,0.8381772041320801,1.48,101,3,1,9.0,41.4,2024-11-09,90,False,4,0,0,0,0,11,0,126777,1,2,3,25.0,8,64526,70498,5972,59,False,0,Francisco Evanilson de Lima Barbosa,617,1,2,1,0.8381772041320801,3,BRE,1070,1090,BOU,1140,1210,1.72794275,6.5,1.4948802500000002,9.75,1.8276119375,6.625,1.7278518125,11.375,2.4659585,5.75,1.3872384999999996,10.25,1.7590865625,6.6875,1.6320955,11.1875,2024,FWD
