assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,3,0,0.2,232,0.0,0.0,0.0,0.3,3,1,0,0.7,5.0,2024-08-17,27,False,5,0,0,0,0,1,0,14764,0,3,0,2.0,1,0,0,0,55,True,0,0,0,0,0.0,4,Iliman Ndiaye,8,BHA,1100,1200,EVE,1130,1060,2024,0.0,,0.405325,4.0,0.405325,1.79083,5.0,1.79083
0,0,-4,0,1.1,232,0.0,0.06,0.0729162916541099,0.77,19,2,0,2.4,10.2,2024-08-24,33,False,18,0,0,0,0,2,0,14175,0,0,4,13.0,1,-1997,605,2602,55,False,0,1,0,0,0.0729162916541099,4,Iliman Ndiaye,8,TOT,1140,1300,EVE,1150,1100,2024,0.0729162916541099,,0.648869,5.0,0.648869,2.61143,9.0,2.61143
0,0,11,1,3.3,232,0.0,0.3,0.2934225797653198,0.68,24,0,0,5.8,14.8,2024-08-31,82,False,3,0,0,0,0,3,0,17168,1,3,2,40.0,2,1597,4735,3138,54,True,0,3,0,0,0.2934225797653198,4,Iliman Ndiaye,8,BOU,1140,1210,EVE,1130,1060,2024,0.2934225797653198,,2.55629,15.0,2.55629,2.95688,7.0,2.95688
0,0,7,0,1.3,232,0.0,0.01,0.0,1.81,31,3,0,1.4,8.6,2024-09-14,80,False,2,0,0,0,0,4,0,27162,1,2,3,4.0,1,7798,13935,6137,54,False,1,0,0,0,0.0,4,Iliman Ndiaye,8,AVL,1080,1140,EVE,1150,1100,2024,0.0,,0.852158,3.0,0.852158,3.15876,9.0,3.15876
0,2,35,0,47.1,232,0.4928369522094726,0.27,0.457683652639389,0.58,45,1,1,11.7,44.4,2024-09-21,80,False,11,0,0,0,0,5,0,28361,1,1,1,25.0,8,962,4341,3379,54,False,0,2,4,1,0.457683652639389,4,Iliman Ndiaye,8,LEI,1050,1090,EVE,1150,1100,2024,0.457683652639389,,1.82377,6.0,1.82377,1.33793,8.0,1.33793
0,1,24,0,17.8,232,0.0175908599048852,0.05,0.0,0.95,55,1,0,4.0,17.8,2024-09-28,90,False,7,0,0,0,0,6,0,73927,1,1,2,4.0,3,42818,53410,10592,54,True,0,0,1,0,0.0,4,Iliman Ndiaye,8,CRY,1140,1110,EVE,1130,1060,2024,0.0,,1.10959,6.0,1.10959,1.12358,8.0,1.12358
0,0,15,1,10.2,232,0.0,0.06,0.0,2.05,67,0,0,3.4,17.4,2024-10-05,90,False,15,0,0,0,0,7,0,102200,1,0,0,6.0,2,26331,37803,11472,54,True,0,0,0,0,0.0,4,Iliman Ndiaye,8,NEW,1150,1290,EVE,1130,1060,2024,0.0,,0.692214,3.0,0.692214,1.79048,11.0,1.02931
0,3,40,1,1.1,232,0.0,0.42,0.4195161759853363,1.04,73,0,1,7.2,44.4,2024-10-19,80,False,10,0,0,0,0,8,0,112110,1,2,0,26.0,9,8805,20371,11566,54,False,0,2,0,1,0.4195161759853363,4,Iliman Ndiaye,8,IPS,1070,1080,EVE,1150,1100,2024,0.4195161759853363,,1.60804,9.0,1.60804,1.174,3.0,1.174
0,0,7,0,7.4,232,0.0,0.04,0.0,1.26,87,1,0,1.4,6.2,2024-10-26,90,False,9,0,0,0,0,9,0,148371,1,1,1,0.0,2,34038,40533,6495,54,True,0,0,0,0,0.0,4,Iliman Ndiaye,8,FUL,1140,1160,EVE,1130,1060,2024,0.0,,0.884845,7.0,0.884845,1.49531,7.0,1.49531
0,0,6,1,1.6,232,0.0,0.03,0.0850531756877899,0.43,98,0,0,3.5,4.0,2024-11-02,61,False,17,0,0,0,0,10,0,150162,1,0,1,29.0,2,1932,17657,15725,54,False,0,2,0,0,0.0850531756877899,4,Iliman Ndiaye,8,SOU,1060,1050,EVE,1150,1100,2024,0.0850531756877899,,1.78581,4.0,1.78581,0.540345,6.0,0.540345
