assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season
1,3,47,0,14.2,110,0.0740582570433616,1.01,0.7543930411338806,0.61,8,1,1,10.8,50.2,2024-08-18,83,7,0,0,0,0,1,0,232431,1,1,2,44.0,11,0,0,0,60,True,1,2,1,1,0.7543930411338806,4,Yoane Wissa,4,CRY,1100,1090,BRE,1080,1100,2024
0,0,7,0,0.8,110,0.0,0.01,0.0,2.52,16,2,0,0.8,5.0,2024-08-25,72,12,0,0,0,0,2,0,417530,1,0,2,2.0,2,104855,135516,30661,60,False,0,0,0,0,0.0,4,Yoane Wissa,4,LIV,1360,1340,BRE,1120,1190,2024
0,2,36,0,37.1,110,0.2902472615242004,1.34,1.676953911781311,1.57,22,1,1,14.7,41.2,2024-08-31,90,17,0,0,0,0,3,0,738698,1,1,3,69.0,8,271078,368334,97256,61,True,0,6,3,1,1.676953911781311,4,Yoane Wissa,4,SOU,1070,1060,BRE,1080,1100,2024
0,2,31,0,4.8,110,0.0,0.34,0.5732027292251587,0.68,37,2,1,7.4,33.8,2024-09-14,45,13,0,0,0,0,4,0,769897,1,1,2,35.0,7,29193,223277,194084,61,False,0,1,0,1,0.5732027292251587,4,Yoane Wissa,4,MCI,1350,1360,BRE,1120,1190,2024
0,0,0,0,0.0,110,0.0,0.0,0.0,0.0,49,0,0,0.0,0.0,2024-09-21,0,18,0,0,0,0,5,0,495998,0,1,3,0.0,0,-274961,81784,356745,61,False,0,0,0,0,0.0,4,Yoane Wissa,4,TOT,1110,1330,BRE,1120,1190,2024
0,0,0,0,0.0,110,0.0,0.0,0.0,0.0,53,0,0,0.0,0.0,2024-09-28,0,19,0,0,0,0,6,0,291187,0,1,1,0.0,0,-208267,1851,210118,60,True,0,0,0,0,0.0,4,Yoane Wissa,4,WHU,1070,1130,BRE,1080,1100,2024
0,0,0,0,0.0,110,0.0,0.0,0.0,0.0,63,0,0,0.0,0.0,2024-10-05,0,20,0,0,0,0,7,0,218924,0,3,5,0.0,0,-75589,1118,76707,59,True,0,0,0,0,0.0,4,Yoane Wissa,4,WOL,1060,1120,BRE,1080,1100,2024
0,0,1,0,1.7,110,0.0,0.01,0.0,0.36,75,0,0,0.4,0.0,2024-10-19,24,14,0,0,0,0,8,0,190161,0,1,2,2.0,1,-30132,2484,32616,59,False,0,0,0,0,0.0,4,Yoane Wissa,4,MUN,1130,1120,BRE,1120,1190,2024
1,1,38,0,2.9,110,0.0,1.46,1.081411361694336,1.3,83,3,1,9.9,40.6,2024-10-26,90,10,0,0,0,0,9,0,310897,1,3,4,55.0,10,112793,121111,8318,59,True,0,4,0,1,1.081411361694336,4,Yoane Wissa,4,IPS,1080,1100,BRE,1080,1100,2024
0,0,7,1,4.8,110,0.0,0.01,0.0,0.75,92,0,0,0.3,0.0,2024-11-04,71,9,0,0,0,0,10,0,576529,1,1,2,0.0,2,259084,279435,20351,60,False,0,0,0,0,0.0,4,Yoane Wissa,4,FUL,1100,1100,BRE,1120,1190,2024
0,3,60,0,6.0,110,0.0,0.62,0.6879029273986816,2.61,101,2,2,11.9,67.4,2024-11-09,90,3,0,0,0,0,11,0,691218,1,2,3,46.0,13,115958,148521,32563,60,True,0,2,0,2,0.6879029273986816,4,Yoane Wissa,4,BOU,1130,1160,BRE,1080,1100,2024
0,0,1,1,10.5,110,0.0360039770603179,0.83,0.9216415286064148,0.67,114,0,0,2.7,2.0,2024-11-23,71,8,0,0,0,0,12,0,913436,1,0,0,14.0,2,213781,275724,61943,61,False,0,2,1,0,0.9216415286064148,4,Yoane Wissa,4,EVE,1080,1080,BRE,1120,1190,2024
0,2,36,0,15.5,110,0.0920514091849327,0.83,0.5843530893325806,1.06,121,1,1,7.9,42.6,2024-11-30,90,11,0,0,0,0,13,0,960196,1,1,4,21.0,8,44188,106630,62442,61,True,0,2,1,1,0.5843530893325806,4,Yoane Wissa,4,LEI,1120,1080,BRE,1080,1100,2024
0,0,3,0,11.3,110,0.2454630583524704,0.06,0.0670724213123321,1.7,132,3,0,1.4,0.0,2024-12-04,70,2,0,0,0,0,14,0,1028869,1,1,3,4.0,2,68172,141044,72872,62,False,0,1,1,0,0.0670724213123321,4,Yoane Wissa,4,AVL,1120,1200,BRE,1120,1190,2024
