assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds
0,0,2,0,0.0,235,0.02,0.02,0.0,1.43,3,3,0,2.4,23.8,2024-08-17 14:00:00+00:00,90,5,0,0,0,0,1,2,1450939,1,3,0,0.0,1,0,0,0,50,True,0,1,Jordan Pickford,8,BHA,1130,1220,EVE,1080,1080,1
0,0,-5,0,0.1,235,0.0,0.0,0.0,2.43,19,4,0,2.1,21.2,2024-08-24 14:00:00+00:00,90,18,0,0,0,0,2,3,1338340,1,0,4,0.0,1,-175085,10658,185743,50,False,0,1,Jordan Pickford,8,TOT,1110,1330,EVE,1100,1100,1
0,0,5,0,0.0,235,0.0,0.0,0.0,2.22,24,3,0,2.9,29.0,2024-08-31 14:00:00+00:00,90,3,0,0,0,0,3,4,1184757,1,3,2,0.0,2,-177736,22290,200026,49,True,0,1,Jordan Pickford,8,BOU,1130,1160,EVE,1080,1080,1
0,0,7,0,0.0,235,0.01,0.01,0.0,2.12,31,3,0,3.2,32.4,2024-09-14 16:30:00+00:00,90,2,0,0,0,0,4,4,1005768,1,2,3,0.0,2,-194859,13052,207911,49,False,0,1,Jordan Pickford,8,AVL,1120,1200,EVE,1100,1100,1
0,0,7,0,0.0,235,0.01,0.01,0.0,0.66,45,1,0,1.3,13.0,2024-09-21 14:00:00+00:00,90,11,0,0,0,0,5,1,946255,1,1,1,0.0,2,-70544,12415,82959,49,False,0,1,Jordan Pickford,8,LEI,1060,1090,EVE,1100,1100,1
0,0,9,0,0.0,235,0.01,0.01,0.0,0.95,55,1,0,2.0,20.2,2024-09-28 14:00:00+00:00,90,7,0,0,0,0,6,3,868060,1,1,2,0.0,2,-83631,17476,101107,48,True,1,1,Jordan Pickford,8,CRY,1100,1090,EVE,1080,1080,1
0,3,36,1,0.0,235,0.0,0.0,0.0,2.05,67,0,0,4.3,43.2,2024-10-05 16:30:00+00:00,90,15,0,0,1,0,7,3,828414,1,0,0,0.0,15,-45669,11075,56744,48,True,0,1,Jordan Pickford,8,NEW,1130,1310,EVE,1080,1080,1
0,0,28,1,0.0,235,0.0,0.0,0.0,1.25,73,0,0,1.6,15.8,2024-10-19 14:15:00+00:00,90,10,0,0,0,0,8,2,965800,1,2,0,0.0,6,115903,138254,22351,48,False,0,1,Jordan Pickford,8,IPS,1070,1050,EVE,1100,1100,1
0,0,12,0,0.0,235,0.01,0.01,0.0,1.26,87,1,0,2.4,24.4,2024-10-26 16:30:00+00:00,90,9,0,0,0,0,9,2,1031005,1,1,1,0.0,2,62043,84253,22210,48,True,0,1,Jordan Pickford,8,FUL,1140,1180,EVE,1080,1080,1
0,0,7,0,0.1,235,0.01,0.01,0.0,0.74,98,1,0,1.3,12.6,2024-11-02 15:00:00+00:00,90,17,0,0,0,0,10,1,1107599,1,0,1,0.0,2,63474,87088,23614,49,False,0,1,Jordan Pickford,8,SOU,1060,1060,EVE,1100,1100,1
