assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,penalties_order
0,0,0,0,0.0,5,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,20,0,0,0,0,1,0,7300,0,0,2,0.0,0,0,0,0,40,True,0,1,Karl Hein,1,WOL,1060,1120,ARS,1360,1340,2024,
0,0,0,0,0.0,5,0.0,0.0,0.0,0.0,11,0,0,0.0,0.0,2024-08-24T16:30:00Z,0,2,0,0,0,0,2,0,6016,0,2,0,0.0,0,-1230,0,1230,40,False,0,1,Karl Hein,1,AVL,1120,1200,ARS,1360,1390,2024,
0,0,0,0,0.0,5,0.0,0.0,0.0,0.0,21,0,0,0.0,0.0,2024-08-31T11:30:00Z,0,5,0,0,0,0,3,0,5334,0,1,1,0.0,0,-706,0,706,40,True,0,1,Karl Hein,1,BHA,1130,1220,ARS,1360,1340,2024,
0,0,0,0,0.0,5,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2024-09-15T13:00:00Z,0,18,0,0,0,0,4,0,4862,0,1,0,0.0,0,-495,0,495,40,False,0,1,Karl Hein,1,TOT,1110,1330,ARS,1360,1390,2024,
0,0,0,0,0.0,5,0.0,0.0,0.0,0.0,47,0,0,0.0,0.0,2024-09-22T15:30:00Z,0,13,0,0,0,0,5,0,4663,0,2,2,0.0,0,-226,0,226,40,False,0,1,Karl Hein,1,MCI,1350,1360,ARS,1360,1390,2024,
0,0,0,0,0.0,5,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,11,0,0,0,0,6,0,4331,0,2,4,0.0,0,-325,0,325,40,True,0,1,Karl Hein,1,LEI,1120,1080,ARS,1360,1340,2024,
0,0,0,0,0.0,5,0.0,0.0,0.0,0.0,61,0,0,0.0,0.0,2024-10-05T14:00:00Z,0,17,0,0,0,0,7,0,4153,0,1,3,0.0,0,-188,0,188,40,True,0,1,Karl Hein,1,SOU,1070,1060,ARS,1360,1340,2024,
0,0,0,0,0.0,5,0.0,0.0,0.0,0.0,71,0,0,0.0,0.0,2024-10-19T16:30:00Z,0,3,0,0,0,0,8,0,4010,0,0,2,0.0,0,-142,0,142,40,False,0,1,Karl Hein,1,BOU,1070,1130,ARS,1360,1390,2024,
0,0,0,0,0.0,5,0.0,0.0,0.0,0.0,81,0,0,0.0,0.0,2024-10-27T16:30:00Z,0,12,0,0,0,0,9,0,3922,0,2,2,0.0,0,-94,0,94,40,True,0,1,Karl Hein,1,LIV,1370,1360,ARS,1360,1340,2024,
0,0,0,0,0.0,5,0.0,0.0,0.0,0.0,96,0,0,0.0,0.0,2024-11-02T12:30:00Z,0,15,0,0,0,0,10,0,3823,0,0,1,0.0,0,-101,0,101,40,False,0,1,Karl Hein,1,NEW,1100,1130,ARS,1360,1390,2024,
0,0,0,0,0.0,5,0.0,0.0,0.0,0.0,103,0,0,0.0,0.0,2024-11-10T16:30:00Z,0,6,0,0,0,0,11,0,3722,0,1,1,0.0,0,-91,0,91,40,False,0,1,Karl Hein,1,CHE,1130,1320,ARS,1360,1390,2024,
0,0,0,0,0.0,5,0.0,0.0,0.0,0.0,111,0,0,0.0,0.0,2024-11-23T15:00:00Z,0,16,0,0,0,0,12,0,3624,0,0,3,0.0,0,-103,0,103,40,True,0,1,Karl Hein,1,NFO,1130,1070,ARS,1360,1340,2024,
0,0,0,0,0.0,5,0.0,0.0,0.0,0.0,129,0,0,0.0,0.0,2024-11-30T17:30:00Z,0,19,0,0,0,0,13,0,3535,0,5,2,0.0,0,-91,0,91,40,False,0,1,Karl Hein,1,WHU,1080,1120,ARS,1360,1390,2024,
0,0,0,0,0.0,5,0.0,0.0,0.0,0.0,131,0,0,0.0,0.0,2024-12-04T20:15:00Z,0,14,0,0,0,0,14,0,3466,0,0,2,0.0,0,-72,0,72,40,True,0,1,Karl Hein,1,MUN,1140,1170,ARS,1360,1340,2024,
