assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds
0,0,5,1,3.8,239,0.02,0.12,0.1,1.57,1,0,0,1.9,1.0,2024-08-16 19:00:00+00:00,77,14,0,0,0,0,1,0,21783,1,0,1,14.0,3,0,0,0,50,False,0,3,Adama Traoré,9,MUN,1130,1120,FUL,1140,1180,1
1,0,26,0,45.5,239,0.5,0.71,0.21,0.34,15,1,0,10.5,29.6,2024-08-24 14:00:00+00:00,68,11,0,0,0,0,2,0,69340,1,1,2,30.0,5,26185,34446,8261,50,True,0,3,Adama Traoré,9,LEI,1120,1080,FUL,1100,1100,1
0,3,33,0,20.9,239,0.25,0.4,0.15,0.45,25,1,1,8.8,41.6,2024-08-31 14:00:00+00:00,90,10,0,0,0,0,3,0,118606,1,1,1,25.0,9,40121,61954,21833,50,False,1,3,Adama Traoré,9,IPS,1070,1050,FUL,1140,1180,1
0,0,12,0,24.7,239,0.02,0.58,0.56,0.76,35,1,0,7.3,14.6,2024-09-14 14:00:00+00:00,90,19,0,0,0,0,4,0,345857,1,1,1,34.0,2,198663,269026,70363,50,True,0,3,Adama Traoré,9,WHU,1070,1130,FUL,1100,1100,1
1,0,24,0,42.7,239,0.63,0.73,0.1,1.24,44,1,0,9.7,29.4,2024-09-21 14:00:00+00:00,73,15,0,0,0,0,5,0,369926,1,1,3,25.0,4,26987,60272,33285,50,True,1,3,Adama Traoré,9,NEW,1130,1310,FUL,1100,1100,1
0,0,11,1,3.4,239,0.01,0.05,0.04,0.63,59,0,0,1.1,0.8,2024-09-28 14:00:00+00:00,68,16,0,0,0,0,6,0,412450,1,1,0,7.0,3,39142,85562,46420,51,False,0,3,Adama Traoré,9,NFO,1140,1120,FUL,1140,1180,1
0,0,4,0,13.7,239,0.02,1.31,1.29,1.57,69,3,0,5.9,12.8,2024-10-05 14:00:00+00:00,90,13,0,0,0,0,7,0,386483,1,2,3,32.0,2,-26027,33075,59102,51,False,0,3,Adama Traoré,9,MCI,1350,1360,FUL,1140,1180,1
0,0,12,0,21.7,239,0.27,0.27,0.0,1.51,72,2,0,3.4,4.4,2024-10-19 14:00:00+00:00,67,2,0,0,0,0,8,0,404709,1,3,1,8.0,2,13281,47349,34068,51,True,0,3,Adama Traoré,9,AVL,1140,1300,FUL,1100,1100,1
0,0,9,1,32.3,239,0.12,0.25,0.13,0.34,87,0,0,6.3,10.0,2024-10-26 16:30:00+00:00,67,8,0,0,0,0,9,0,395887,1,1,1,21.0,3,-9495,22983,32478,51,False,0,3,Adama Traoré,9,EVE,1080,1080,FUL,1140,1180,1
1,0,16,0,26.1,239,0.07,0.24,0.17,0.41,92,0,0,7.2,23.0,2024-11-04 20:00:00+00:00,25,4,0,0,0,0,10,0,392531,0,1,2,23.0,4,-5136,31046,36182,51,True,0,3,Adama Traoré,9,BRE,1120,1190,FUL,1100,1100,1
