assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,576,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2024-08-17 16:30:00+00:00,0,2,0,0,0,0,1,0,2056,0,2,1,0.0,0,0,0,0,50,True,0,3,Andy Irving,19,AVL,1140,1300,WHU,1080,1120,1,2024
0,0,0,0,0.0,576,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2024-08-24 14:00:00+00:00,0,7,0,0,0,0,2,0,2411,0,2,0,0.0,0,-248,79,327,50,False,0,3,Andy Irving,19,CRY,1100,1090,WHU,1070,1130,1,2024
0,0,0,0,0.0,576,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,2024-08-31 16:30:00+00:00,0,13,0,0,0,0,3,0,2346,0,3,1,0.0,0,-334,92,426,49,True,0,3,Andy Irving,19,MCI,1350,1390,WHU,1080,1120,1,2024
0,0,0,0,0.0,576,0.0,0.0,0.0,0.0,35,0,0,0.0,0.0,2024-09-14 14:00:00+00:00,0,9,0,0,0,0,4,0,2595,0,1,1,0.0,0,-34,252,286,49,False,0,3,Andy Irving,19,FUL,1100,1100,WHU,1070,1130,1,2024
0,0,4,0,2.6,576,0.0,0.04,0.04,0.68,50,0,0,1.8,8.4,2024-09-21 11:30:00+00:00,18,6,0,0,0,0,5,0,2670,0,3,0,7.0,1,-56,92,148,49,True,0,3,Andy Irving,19,CHE,1130,1330,WHU,1080,1120,1,2024
0,0,0,0,0.0,576,0.0,0.0,0.0,0.0,53,0,0,0.0,0.0,2024-09-28 14:00:00+00:00,1,4,0,0,0,0,6,0,2664,0,1,1,0.0,0,-72,128,200,49,False,1,3,Andy Irving,19,BRE,1080,1100,WHU,1070,1130,1,2024
0,0,0,0,0.0,576,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2024-10-05 14:00:00+00:00,0,10,0,0,0,0,7,0,2594,0,1,4,0.0,0,-139,70,209,49,True,0,3,Andy Irving,19,IPS,1080,1100,WHU,1080,1120,1,2024
0,0,0,0,0.0,576,0.0,0.0,0.0,0.0,79,0,0,0.0,0.0,2024-10-19 11:30:00+00:00,0,18,0,0,0,0,8,0,2616,0,1,4,0.0,0,-60,66,126,49,False,0,3,Andy Irving,19,TOT,1110,1330,WHU,1070,1130,1,2024
0,0,0,0,0.0,576,0.0,0.0,0.0,0.0,90,0,0,0.0,0.0,2024-10-27 14:00:00+00:00,0,14,0,0,0,0,9,0,2578,0,1,2,0.0,0,-69,23,92,49,True,0,3,Andy Irving,19,MUN,1140,1170,WHU,1080,1120,1,2024
0,0,6,0,0.3,576,0.0,0.0,0.0,0.51,97,0,0,0.5,4.2,2024-11-02 15:00:00+00:00,11,16,0,0,0,0,10,0,2603,0,0,3,0.0,1,-34,49,83,48,False,0,3,Andy Irving,19,NFO,1140,1120,WHU,1070,1130,1,2024
0,0,0,0,0.0,576,0.0,0.0,0.0,0.0,109,0,0,0.0,0.0,2024-11-09 15:00:00+00:00,0,8,0,0,0,0,11,0,2633,0,0,0,0.0,0,-13,56,69,48,True,0,3,Andy Irving,19,EVE,1100,1100,WHU,1080,1120,1,2024
0,0,3,0,0.7,576,0.0,0.0,0.0,0.07,119,0,0,0.3,2.6,2024-11-25 20:00:00+00:00,6,15,0,0,0,0,12,0,2635,0,2,0,0.0,1,-41,50,91,48,False,0,3,Andy Irving,19,NEW,1100,1130,WHU,1070,1130,1,2024
