assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,1,25,0,6.7,78,0.0,0.48,0.7865713238716125,1.3,6,1,1,9.9,39.0,2024-08-17,90,False,16,0,0,0,0,1,0,92042,1,1,1,53.0,8,0,0,0,55,False,0,5,0,1,0.7865713238716125,3,Antoine Semenyo,3,NFO,1140,1130,BOU,1140,1210,2024,0.7865713238716125,,1.90915,4.0,1.90915,1.24405,10.0,1.24405
1,0,20,0,33.9,78,1.7407962083816528,1.5,0.4047765731811523,1.61,12,1,0,9.8,26.0,2024-08-25,90,False,15,0,0,0,0,2,0,153277,1,1,1,38.0,5,34280,46515,12235,55,True,0,7,3,0,0.4047765731811523,3,Antoine Semenyo,3,NEW,1150,1290,BOU,1080,1190,2024,0.4047765731811523,,2.53513,8.0,2.53513,1.89287,9.0,1.89287
0,0,23,0,15.8,78,0.0614266097545623,0.53,0.8046465516090393,1.97,24,2,1,11.5,40.4,2024-08-31,90,False,8,0,0,0,0,3,0,316904,1,3,2,59.0,6,143450,191022,47572,55,False,1,5,1,1,0.8046465516090393,3,Antoine Semenyo,3,EVE,1130,1060,BOU,1140,1210,2024,0.8046465516090393,,2.95688,7.0,2.95688,2.55629,15.0,2.55629
0,0,4,0,2.3,78,0.0,0.13,0.0997376292943954,0.78,32,1,0,1.2,0.0,2024-09-14,90,False,6,0,0,0,0,4,0,610621,1,1,0,13.0,1,265962,389980,124018,56,True,1,3,0,0,0.0997376292943954,3,Antoine Semenyo,3,CHE,1150,1360,BOU,1080,1190,2024,0.0997376292943954,,1.53731,5.0,0.77614,0.932726,9.0,0.932726
0,0,9,0,3.2,78,0.0,0.36,0.4660230278968811,1.65,46,3,0,5.1,8.6,2024-09-21,69,False,12,0,0,0,0,5,0,622698,1,0,3,39.0,2,16404,77210,60806,56,False,0,4,0,0,0.4660230278968811,3,Antoine Semenyo,3,LIV,1340,1360,BOU,1140,1210,2024,0.4660230278968811,,1.46979,6.0,1.46979,2.43731,13.0,2.43731
0,0,24,0,23.6,78,0.1880842745304107,0.3,0.2992951571941376,0.6,52,1,1,9.4,39.8,2024-09-30,88,False,17,0,0,0,0,6,0,1075028,1,1,3,31.0,7,432986,521955,88969,57,True,0,4,2,1,0.2992951571941376,3,Antoine Semenyo,3,SOU,1060,1090,BOU,1080,1190,2024,0.2992951571941376,,1.44215,7.0,1.44215,0.696068,7.0,0.696068
0,0,13,0,15.0,78,0.0451715588569641,0.3,0.163442462682724,0.79,68,1,0,5.2,13.2,2024-10-05,90,False,11,0,0,0,0,7,0,1178610,1,0,1,24.0,2,102342,166631,64289,57,False,0,3,1,0,0.163442462682724,3,Antoine Semenyo,3,LEI,1050,1090,BOU,1140,1210,2024,0.163442462682724,,1.94963,7.0,1.94963,0.912063,2.0,0.912063
0,0,-1,1,22.0,78,0.020929617807269,0.72,0.7980775833129883,0.68,71,0,0,6.4,9.4,2024-10-19,90,False,1,0,0,0,0,8,0,950434,1,0,2,33.0,2,-220672,27873,248545,57,True,1,6,1,0,0.7980775833129883,3,Antoine Semenyo,3,ARS,1370,1350,BOU,1080,1190,2024,0.7980775833129883,,2.18419,7.0,1.42302,0.740758,4.0,0.740758
0,0,6,0,23.6,78,0.0436678640544414,0.05,0.0850384905934333,1.81,82,1,0,4.2,4.4,2024-10-26,90,False,2,0,0,0,0,9,0,884395,1,1,1,14.0,1,-70156,29994,100150,56,False,1,2,2,0,0.0850384905934333,3,Antoine Semenyo,3,AVL,1080,1140,BOU,1140,1210,2024,0.0850384905934333,,0.328651,6.0,0.328651,1.974,16.0,1.974
0,3,50,0,40.6,78,0.4785524606704712,0.7,1.0588160753250122,1.56,91,1,1,14.8,59.0,2024-11-02,90,False,13,0,0,0,0,10,0,771408,1,1,2,48.0,10,-114829,24148,138977,56,True,0,4,3,1,1.0588160753250122,3,Antoine Semenyo,3,MCI,1230,1350,BOU,1080,1190,2024,1.0588160753250122,,2.4493,6.0,2.4493,2.3527,17.0,2.3527
