assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,4,0,3.9,259,0.0,0.01,0.0,0.87,1,1,0,0.8,0.2,2024-08-16,12,False,14,0,0,0,0,1,0,16297,0,0,1,4.0,1,0,0,0,55,False,0,0,0,0,0.0,3,Harry Wilson,9,MUN,1140,1110,FUL,1140,1160,2024,0.0,,0.418711,3.0,0.418711,2.04268,7.0,2.04268
0,0,0,0,1.3,259,0.0,0.01,0.0,0.27,15,0,0,0.8,0.0,2024-08-24,21,False,11,0,0,0,0,2,0,17199,0,1,2,8.0,0,-1762,677,2439,55,True,1,0,0,0,0.0,3,Harry Wilson,9,LEI,1080,1110,FUL,1140,1110,2024,0.0,,1.96218,7.0,1.96218,0.857005,1.0,0.857005
0,0,3,0,0.0,259,0.0,0.0,0.0,0.09,25,0,0,0.0,0.0,2024-08-31,3,False,10,0,0,0,0,3,0,15210,0,1,1,0.0,1,-2863,993,3856,54,False,0,0,0,0,0.0,3,Harry Wilson,9,IPS,1070,1080,FUL,1140,1160,2024,0.0,,1.18883,4.0,1.18883,0.707048,2.0,0.707048
0,0,0,0,0.0,259,0.0,0.0,0.0,0.0,35,0,0,0.0,0.0,2024-09-14,0,False,19,0,0,0,0,4,0,14169,0,1,1,0.0,0,-1626,827,2453,54,True,0,0,0,0,0.0,3,Harry Wilson,9,WHU,1070,1130,FUL,1140,1110,2024,0.0,,2.88601,6.0,2.88601,0.682719,4.0,0.682719
0,0,0,0,0.0,259,0.0,0.0,0.0,0.0,44,0,0,0.0,0.0,2024-09-21,0,False,15,0,0,0,0,5,0,13404,0,1,3,0.0,0,-985,353,1338,54,True,0,0,0,0,0.0,3,Harry Wilson,9,NEW,1150,1290,FUL,1140,1110,2024,0.0,,3.21141,7.0,3.21141,1.09768,3.0,1.09768
0,0,0,0,0.0,259,0.0,0.0,0.0,0.0,59,0,0,0.0,0.0,2024-09-28,0,False,16,0,0,0,0,6,0,12654,0,1,0,0.0,0,-909,448,1357,53,False,0,0,0,0,0.0,3,Harry Wilson,9,NFO,1140,1130,FUL,1140,1160,2024,0.0,,1.43592,4.0,0.674751,0.614351,8.0,0.614351
0,0,0,0,0.0,259,0.0,0.0,0.0,0.0,69,0,0,0.0,0.0,2024-10-05,0,False,13,0,0,0,0,7,0,11974,0,2,3,0.0,0,-844,381,1225,53,False,0,0,0,0,0.0,3,Harry Wilson,9,MCI,1140,1300,FUL,1140,1160,2024,0.0,,2.75846,11.0,2.75846,1.36684,8.0,1.36684
0,0,4,0,2.0,259,0.0,0.01,0.0,0.06,72,0,0,0.3,1.4,2024-10-19,10,False,2,0,0,0,0,8,0,11798,0,3,1,0.0,1,-391,314,705,53,True,0,0,0,0,0.0,3,Harry Wilson,9,AVL,1160,1320,FUL,1140,1110,2024,0.0,,2.63074,3.0,1.86957,1.43595,9.0,1.43595
0,0,3,0,0.6,259,0.0,0.01,0.0,0.45,87,1,0,0.1,0.6,2024-10-26,11,False,8,0,0,0,0,9,0,11730,0,1,1,0.0,1,-187,250,437,53,False,0,0,0,0,0.0,3,Harry Wilson,9,EVE,1130,1060,FUL,1140,1160,2024,0.0,,1.49531,7.0,1.49531,0.884845,7.0,0.884845
0,3,44,0,1.8,259,0.0,0.31,0.2440167069435119,0.41,92,0,2,10.6,65.4,2024-11-04,8,False,4,0,0,0,0,10,0,11780,0,1,2,39.0,13,-67,487,554,52,True,1,3,0,2,0.2440167069435119,3,Harry Wilson,9,BRE,1100,1350,FUL,1140,1110,2024,0.2440167069435119,,1.43017,13.0,1.43017,0.739231,2.0,0.739231
0,0,24,0,0.8,259,0.0,0.45,0.5460522770881653,0.04,104,0,1,5.6,34.0,2024-11-09,8,False,7,0,0,0,0,11,0,22039,0,2,0,21.0,6,9185,10088,903,52,False,0,1,0,1,0.5460522770881653,3,Harry Wilson,9,CRY,1130,1110,FUL,1140,1160,2024,0.5460522770881653,,2.25331,7.0,2.25331,1.96037,4.0,1.96037
0,0,1,0,9.0,259,0.0,0.09,0.0255613978952169,0.56,115,2,0,0.8,0.0,2024-11-23,31,False,20,0,0,0,0,12,0,58788,0,4,1,1.0,1,32959,36705,3746,52,True,0,1,0,0,0.0255613978952169,3,Harry Wilson,9,WOL,1070,1120,FUL,1140,1110,2024,0.0255613978952169,,0.717158,6.0,0.717158,1.33903,8.0,1.33903
0,0,3,0,3.1,259,0.0,0.01,0.0,0.02,128,0,0,1.8,6.4,2024-12-01,28,False,18,0,0,0,0,13,0,54760,0,1,1,8.0,1,-2594,6908,9502,52,False,0,0,0,0,0.0,3,Harry Wilson,9,TOT,1140,1300,FUL,1140,1160,2024,0.0,,1.57274,7.0,1.57274,1.01086,7.0,1.01086
0,0,6,0,19.3,259,0.0133942132815718,0.23,0.0957550778985023,1.27,135,1,0,3.3,3.4,2024-12-05,79,False,5,0,0,0,0,14,0,48576,1,1,3,10.0,2,-6486,2333,8819,52,True,0,1,1,0,0.0957550778985023,3,Harry Wilson,9,BHA,1100,1200,FUL,1140,1110,2024,0.0957550778985023,,0.666644,3.0,0.666644,1.09939,2.0,1.09939
0,0,4,0,1.1,259,0.0,0.0,0.0,0.35,145,0,0,0.3,2.2,2024-12-08,30,False,1,0,0,0,0,15,0,42127,0,1,1,0.0,1,-6504,756,7260,52,True,0,0,0,0,0.0,3,Harry Wilson,9,ARS,1370,1350,FUL,1140,1110,2024,0.0,,0.150988,0.0,0.150988,2.4333,12.0,2.4333
0,0,4,0,13.1,259,0.0260631330311298,0.64,0.426979124546051,1.68,155,2,0,2.6,0.0,2024-12-14,86,False,12,0,0,0,0,16,0,36712,1,2,2,16.0,2,-5814,727,6541,52,False,0,4,1,0,0.426979124546051,3,Harry Wilson,9,LIV,1340,1360,FUL,1140,1160,2024,0.426979124546051,,1.2862,6.0,1.2862,2.09698,8.0,2.09698
0,0,6,1,10.3,259,0.0,0.31,0.3857499361038208,0.26,165,0,0,4.8,0.0,2024-12-22,86,False,17,0,0,0,0,17,0,37604,1,0,0,39.0,3,454,4239,3785,52,True,0,4,0,0,0.3857499361038208,3,Harry Wilson,9,SOU,1060,1090,FUL,1140,1110,2024,0.3857499361038208,,1.25255,8.0,1.25255,0.280031,3.0,0.280031
0,0,23,0,11.8,259,0.0636896416544914,0.67,0.3957754671573639,0.55,174,0,1,8.3,33.6,2024-12-26,23,False,6,0,0,0,0,18,0,33999,0,2,1,38.0,6,-3515,1356,4871,52,False,0,2,1,1,0.3957754671573639,3,Harry Wilson,9,CHE,1150,1360,FUL,1140,1160,2024,0.3957754671573639,,1.77929,4.0,1.77929,1.55626,6.0,1.55626
