assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,3,0,0.3,585,0.0,0.0,0.0,0.0,8,0,0,0.1,0.2,2024-08-18 13:00:00+00:00,6,4,0,0,0,0,1,0,29330,0,1,2,0.0,1,0,0,0,60,False,0,3,Ismaïla Sarr,7,BRE,1080,1100,CRY,1100,1090,1,2024
0,0,6,0,15.0,585,0.17,0.27,0.1,0.36,14,1,0,2.2,1.4,2024-08-24 14:00:00+00:00,19,19,0,0,0,0,2,0,29102,0,2,0,6.0,1,-4332,1726,6058,60,True,0,3,Ismaïla Sarr,7,WHU,1070,1130,CRY,1100,1090,1,2024
0,0,5,0,32.3,585,0.45,0.45,0.0,0.41,23,0,0,4.3,7.0,2024-09-01 12:30:00+00:00,21,6,0,0,0,0,3,0,22812,0,1,1,4.0,1,-7383,1244,8627,59,False,0,3,Ismaïla Sarr,7,CHE,1130,1320,CRY,1100,1090,1,2024
1,0,12,0,0.5,585,0.0,0.08,0.08,0.01,34,0,0,1.5,0.2,2024-09-14 14:00:00+00:00,9,11,0,0,0,0,4,0,21168,0,2,2,14.0,4,-2874,1884,4758,59,True,0,3,Ismaïla Sarr,7,LEI,1120,1080,CRY,1100,1090,1,2024
0,0,8,0,11.8,585,0.12,0.43,0.31,0.28,43,0,0,6.8,9.4,2024-09-21 16:30:00+00:00,45,14,0,0,0,0,5,0,21206,0,0,0,47.0,1,-633,1432,2065,59,True,0,3,Ismaïla Sarr,7,MUN,1140,1170,CRY,1100,1090,1,2024
0,0,1,0,0.9,585,0.0,0.0,0.0,0.14,55,0,0,0.1,0.4,2024-09-28 14:00:00+00:00,28,8,0,0,0,0,6,0,20896,0,1,2,0.0,1,-792,1817,2609,58,False,0,3,Ismaïla Sarr,7,EVE,1080,1080,CRY,1100,1090,1,2024
0,0,8,0,0.4,585,0.0,0.08,0.08,1.4,66,1,0,2.3,4.0,2024-10-05 11:30:00+00:00,90,12,0,0,0,0,7,0,19316,1,1,0,19.0,1,-1933,776,2709,58,True,1,3,Ismaïla Sarr,7,LIV,1370,1360,CRY,1100,1090,1,2024
0,0,3,0,0.3,585,0.0,0.0,0.0,0.06,77,0,0,0.3,0.2,2024-10-21 19:00:00+00:00,16,16,0,0,0,0,8,0,19577,0,0,1,2.0,1,-323,1219,1542,58,False,0,3,Ismaïla Sarr,7,NFO,1140,1120,CRY,1100,1090,1,2024
0,0,14,1,20.5,585,0.09,0.21,0.12,0.68,86,0,0,7.4,13.4,2024-10-27 14:00:00+00:00,66,18,0,0,0,0,9,0,19123,1,0,1,40.0,3,-629,525,1154,58,True,0,3,Ismaïla Sarr,7,TOT,1170,1350,CRY,1100,1090,1,2024
0,0,9,0,29.4,585,0.04,0.5,0.46,1.45,100,2,0,11.0,14.8,2024-11-02 17:30:00+00:00,89,20,0,0,0,0,10,0,20933,1,2,2,66.0,2,1314,2530,1216,57,False,0,3,Ismaïla Sarr,7,WOL,1060,1090,CRY,1100,1090,1,2024
0,0,8,0,16.7,585,0.38,0.38,0.0,1.83,104,2,0,1.9,2.0,2024-11-09 15:00:00+00:00,87,9,0,0,0,0,11,0,24178,1,2,0,0.0,2,2806,4674,1868,57,True,0,3,Ismaïla Sarr,7,FUL,1140,1180,CRY,1100,1090,1,2024
