assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season
0,0,0,0,0.0,420,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2024-08-17,0,17,0,0,0,0,1,0,13992,0,0,1,0.0,0,0,0,0,50,True,0,0,0,0,0.0,3,Joe Willock,15,SOU,1070,1060,NEW,1100,1130,2024
0,0,4,0,2.3,420,0.0,0.09,0.0858331024646759,0.42,12,0,0,1.3,1.4,2024-08-25,20,3,0,0,0,0,2,0,14514,0,1,1,9.0,1,-1870,953,2823,50,False,0,1,0,0,0.0858331024646759,3,Joe Willock,15,BOU,1070,1130,NEW,1130,1310,2024
0,0,0,0,0.0,420,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,2024-09-01,0,18,0,0,0,0,3,0,12770,0,1,2,0.0,0,-2355,1376,3731,49,True,0,0,0,0,0.0,3,Joe Willock,15,TOT,1170,1350,NEW,1100,1130,2024
1,0,23,0,52.3,420,0.5652511119842529,0.17,0.1087054759263992,0.37,40,0,0,9.2,33.0,2024-09-15,45,20,0,0,0,0,4,0,9671,0,2,1,7.0,4,-3126,310,3436,49,False,0,1,5,0,0.1087054759263992,3,Joe Willock,15,WOL,1060,1090,NEW,1130,1310,2024
0,0,2,0,11.7,420,0.0258104354143142,0.01,0.0,1.28,44,2,0,1.5,3.0,2024-09-21,45,9,0,0,0,0,5,0,19438,1,1,3,0.0,1,8214,9930,1716,48,False,0,0,1,0,0.0,3,Joe Willock,15,FUL,1100,1100,NEW,1130,1310,2024
0,0,3,0,0.0,420,0.0,0.0,0.0,0.24,58,0,0,0.0,0.0,2024-09-28,13,13,0,0,0,0,6,0,22594,0,1,1,0.0,1,2895,6340,3445,48,True,0,0,0,0,0.0,3,Joe Willock,15,MCI,1350,1390,NEW,1100,1130,2024
0,0,1,0,1.1,420,0.0,0.01,0.0,0.06,67,0,0,0.5,1.6,2024-10-05,21,8,0,0,0,0,7,0,24116,0,0,0,2.0,1,1006,4108,3102,48,False,0,0,0,0,0.0,3,Joe Willock,15,EVE,1080,1080,NEW,1130,1310,2024
0,0,2,0,1.3,420,0.0,0.03,0.0,0.55,76,0,0,0.6,2.6,2024-10-19,24,5,0,0,0,0,8,0,23220,0,1,0,2.0,1,-1091,1467,2558,48,True,0,0,0,0,0.0,3,Joe Willock,15,BHA,1130,1220,NEW,1100,1130,2024
0,0,5,0,11.3,420,0.3166383802890777,0.17,0.0,0.41,85,0,0,2.2,4.4,2024-10-27,22,6,0,0,0,0,9,0,22161,0,1,2,6.0,1,-1187,625,1812,48,False,0,0,1,0,0.0,3,Joe Willock,15,CHE,1130,1320,NEW,1130,1310,2024
0,0,7,1,11.4,420,0.0558766163885593,0.08,0.1300494968891143,0.67,96,0,0,4.6,9.2,2024-11-02,64,1,0,0,0,0,10,0,21137,1,0,1,25.0,2,-1176,904,2080,48,True,1,2,1,0,0.1300494968891143,3,Joe Willock,15,ARS,1360,1390,NEW,1100,1130,2024
0,0,12,0,40.2,420,0.4863510131835937,0.19,0.0765838399529457,0.48,107,1,0,6.6,10.2,2024-11-10,68,16,0,0,0,0,11,0,21649,1,3,1,16.0,2,293,1936,1643,48,False,0,2,3,0,0.0765838399529457,3,Joe Willock,15,NFO,1140,1120,NEW,1130,1310,2024
0,0,1,0,1.5,420,0.0,0.27,0.1147209927439689,0.21,119,1,0,1.8,3.6,2024-11-25,45,19,0,0,0,0,12,0,22728,1,2,0,13.0,1,829,2488,1659,48,True,0,2,0,0,0.1147209927439689,3,Joe Willock,15,WHU,1070,1130,NEW,1100,1130,2024
0,0,3,1,3.8,420,0.0,0.01,0.0,1.6,124,0,0,0.4,0.4,2024-11-30,74,7,0,0,0,0,13,0,20817,1,1,1,0.0,2,-1882,430,2312,48,False,1,0,0,0,0.0,3,Joe Willock,15,CRY,1100,1090,NEW,1130,1310,2024
0,0,5,0,0.0,420,0.0,0.0,0.0,0.08,139,0,0,0.2,2.0,2024-12-04,2,12,0,0,0,0,14,0,20079,0,3,3,0.0,1,-849,800,1649,48,True,0,0,0,0,0.0,3,Joe Willock,15,LIV,1370,1360,NEW,1100,1130,2024
