assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order
0,0,0,0,0.0,462,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2024-08-17,0,15,0,0,0,0,1,0,587,0,0,1,0.0,0,0,0,0,50,False,0,0,0,0,0.0,3,Kamaldeen Sulemana,17,NEW,1100,1130,SOU,1070,1060,2024,0.0,
0,0,0,0,0.0,462,0.0,0.0,0.0,0.0,18,0,0,0.0,0.0,2024-08-24,0,16,0,0,0,0,2,0,423,0,1,0,0.0,0,-180,11,191,50,True,0,0,0,0,0.0,3,Kamaldeen Sulemana,17,NFO,1130,1070,SOU,1060,1060,2024,0.0,
0,0,0,0,0.0,462,0.0,0.0,0.0,0.0,22,0,0,0.0,0.0,2024-08-31,0,4,0,0,0,0,3,0,433,0,1,3,0.0,0,-12,97,109,50,False,0,0,0,0,0.0,3,Kamaldeen Sulemana,17,BRE,1080,1100,SOU,1070,1060,2024,0.0,
0,0,0,0,0.0,462,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2024-09-14,0,14,0,0,0,0,4,0,360,0,3,0,0.0,0,-85,63,148,50,True,0,0,0,0,0.0,3,Kamaldeen Sulemana,17,MUN,1140,1170,SOU,1060,1060,2024,0.0,
0,0,0,0,0.0,462,0.0,0.0,0.0,0.0,48,0,0,0.0,0.0,2024-09-21,0,10,0,0,0,0,5,0,329,0,1,1,0.0,0,-30,20,50,50,True,0,0,0,0,0.0,3,Kamaldeen Sulemana,17,IPS,1080,1100,SOU,1060,1060,2024,0.0,
0,0,0,0,0.0,462,0.0,0.0,0.0,0.0,52,0,0,0.0,0.0,2024-09-30,0,3,0,0,0,0,6,0,306,0,1,3,0.0,0,-34,11,45,50,False,0,0,0,0,0.0,3,Kamaldeen Sulemana,17,BOU,1070,1130,SOU,1070,1060,2024,0.0,
0,0,0,0,0.0,462,0.0,0.0,0.0,0.0,61,0,0,0.0,0.0,2024-10-05,0,1,0,0,0,0,7,0,304,0,1,3,0.0,0,-6,25,31,50,False,0,0,0,0,0.0,3,Kamaldeen Sulemana,17,ARS,1360,1340,SOU,1070,1060,2024,0.0,
0,0,5,0,0.3,462,0.0,0.02,0.0528060086071491,0.28,78,1,0,1.2,7.0,2024-10-19,12,11,0,0,0,0,8,0,346,0,3,2,5.0,1,9,36,27,50,True,0,1,0,0,0.0528060086071491,3,Kamaldeen Sulemana,17,LEI,1120,1080,SOU,1060,1060,2024,0.0528060086071491,
0,0,2,0,0.0,462,0.0,0.0,0.0,0.52,89,0,0,0.0,0.0,2024-10-26,3,13,0,0,0,0,9,0,402,0,0,1,0.0,1,15,42,27,50,False,0,0,0,0,0.0,3,Kamaldeen Sulemana,17,MCI,1350,1360,SOU,1070,1060,2024,0.0,
0,0,0,0,0.0,462,0.0,0.0,0.0,0.0,98,0,0,0.0,0.0,2024-11-02,0,8,0,0,0,0,10,0,482,0,0,1,0.0,0,10,45,35,50,True,0,0,0,0,0.0,3,Kamaldeen Sulemana,17,EVE,1100,1100,SOU,1060,1060,2024,0.0,
0,0,0,0,0.0,462,0.0,0.0,0.0,0.0,110,0,0,0.0,0.0,2024-11-09,0,20,0,0,0,0,11,0,556,0,0,2,0.0,0,27,71,44,50,False,0,0,0,0,0.0,3,Kamaldeen Sulemana,17,WOL,1060,1090,SOU,1070,1060,2024,0.0,
0,0,0,0,0.0,462,0.0,0.0,0.0,0.0,120,0,0,0.0,0.0,2024-11-24,0,12,0,0,0,0,12,0,581,0,3,2,0.0,0,-32,34,66,50,True,0,0,0,0,0.0,3,Kamaldeen Sulemana,17,LIV,1370,1360,SOU,1060,1060,2024,0.0,
0,0,5,0,0.0,462,0.0,0.0,0.0,0.08,122,0,0,0.1,1.0,2024-11-29,2,5,0,0,0,0,13,0,628,0,1,1,0.0,1,4,50,46,50,False,0,0,0,0,0.0,3,Kamaldeen Sulemana,17,BHA,1070,1130,SOU,1070,1060,2024,0.0,
0,0,1,0,0.8,462,0.0,0.01,0.0,1.86,140,2,0,0.9,2.0,2024-12-04,28,6,0,0,0,0,14,0,657,0,5,1,6.0,1,3,53,50,50,True,0,0,0,0,0.0,3,Kamaldeen Sulemana,17,CHE,1130,1330,SOU,1060,1060,2024,0.0,
