assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds
0,0,1,0,30.5,28,0.21,0.42,0.21,1.39,7,1,0,4.2,0.0,2024-08-17 16:30:00+00:00,73,19,0,0,0,0,1,0,328252,1,2,1,13.0,1,0,0,0,65,False,1,3,Leon Bailey,2,WHU,1080,1120,AVL,1140,1300,1
0,0,10,0,14.5,28,0.02,0.06,0.04,0.87,11,2,0,4.6,14.6,2024-08-24 16:30:00+00:00,90,1,0,0,0,0,2,0,310648,1,2,0,17.0,2,-37766,15599,53365,65,True,0,3,Leon Bailey,2,ARS,1360,1390,AVL,1120,1200,1
0,0,1,0,0.5,28,0.01,0.01,0.0,0.0,26,0,0,0.0,0.0,2024-08-31 14:00:00+00:00,15,11,0,0,0,0,3,0,317474,1,2,1,0.0,1,-2843,64796,67639,65,False,0,3,Leon Bailey,2,LEI,1060,1090,AVL,1140,1300,1
0,0,0,0,0.0,28,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,2024-09-14 16:30:00+00:00,0,8,0,0,0,0,4,0,160644,0,2,3,0.0,0,-154509,2212,156721,64,True,0,3,Leon Bailey,2,EVE,1100,1100,AVL,1120,1200,1
0,0,7,0,17.4,28,0.33,0.4,0.07,0.0,41,0,0,4.0,3.6,2024-09-21 14:00:00+00:00,45,20,0,0,0,0,5,0,142911,0,1,3,19.0,1,-21993,4702,26695,64,True,0,3,Leon Bailey,2,WOL,1060,1120,AVL,1120,1200,1
1,0,21,0,18.7,28,0.45,0.45,0.0,0.55,56,1,0,4.0,17.0,2024-09-29 13:00:00+00:00,63,10,0,0,0,0,6,0,132102,1,2,2,4.0,5,-12466,8787,21253,64,False,0,3,Leon Bailey,2,IPS,1070,1050,AVL,1140,1300,1
0,0,6,1,11.9,28,0.06,0.09,0.03,0.25,62,0,0,2.1,2.6,2024-10-06 13:00:00+00:00,62,14,0,0,0,0,7,0,117167,1,0,0,6.0,3,-15672,3737,19409,64,True,0,3,Leon Bailey,2,MUN,1140,1170,AVL,1120,1200,1
0,0,1,0,14.8,28,0.05,0.07,0.02,1.52,72,1,0,3.0,6.2,2024-10-19 14:00:00+00:00,60,9,0,0,0,0,8,0,114424,1,3,1,9.0,1,-4125,5491,9616,63,False,1,3,Leon Bailey,2,FUL,1100,1100,AVL,1140,1300,1
1,0,15,0,10.3,28,0.16,0.16,0.0,0.12,82,1,0,2.9,16.2,2024-10-26 14:00:00+00:00,19,3,0,0,0,0,9,0,116049,0,1,1,2.0,4,758,7007,6249,63,True,0,3,Leon Bailey,2,BOU,1130,1160,AVL,1120,1200,1
0,0,4,0,0.8,28,0.0,0.02,0.02,0.15,99,1,0,0.8,0.2,2024-11-03 14:00:00+00:00,9,18,0,0,0,0,10,0,115070,0,1,4,7.0,1,-1660,7084,8744,63,False,0,3,Leon Bailey,2,TOT,1110,1330,AVL,1140,1300,1
