assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,14,0,23.3,54,0.1924305558204651,0.29,0.1691761612892151,2.46,7,1,0,5.7,17.8,2024-08-17,90,False,19,0,0,0,0,1,0,786621,1,2,1,16.0,2,0,0,0,50,False,0,2,2,0,0.1691761612892151,3,Morgan Rogers,2,WHU,1080,1100,AVL,1160,1320,2024,0.1691761612892151,,2.6703,8.0,2.6703,2.8047,5.0,2.04353
0,0,16,0,23.4,54,0.4343551397323608,0.18,0.2029620558023452,0.87,11,2,0,5.3,14.4,2024-08-24,90,False,1,0,0,0,0,2,0,831058,1,2,0,15.0,2,8365,54529,46164,50,True,0,3,2,0,0.2029620558023452,3,Morgan Rogers,2,ARS,1370,1350,AVL,1080,1140,2024,0.2029620558023452,,1.31664,3.0,1.31664,1.41399,10.0,1.41399
0,0,9,0,15.1,54,0.367504358291626,0.2,0.0,0.45,26,1,0,2.3,7.4,2024-08-31,90,False,11,0,0,0,0,3,0,1402281,1,2,1,0.0,2,527279,610894,83615,51,False,0,0,1,0,0.0,3,Morgan Rogers,2,LEI,1050,1090,AVL,1160,1320,2024,0.0,,2.16385,6.0,2.16385,0.774741,3.0,0.774741
0,0,3,0,12.4,54,0.1019778847694397,0.27,0.5155586004257202,0.9,31,2,0,8.9,21.2,2024-09-14,90,False,8,0,0,0,0,4,0,1625941,1,2,3,55.0,2,213093,366774,153681,51,True,0,4,1,0,0.5155586004257202,3,Morgan Rogers,2,EVE,1150,1100,AVL,1080,1140,2024,0.5155586004257202,,3.15876,9.0,3.15876,0.852158,3.0,0.852158
2,3,34,0,35.3,54,1.1093136072158811,0.6,0.0,0.51,41,1,0,9.4,42.2,2024-09-21,90,False,20,0,0,0,0,5,0,1639922,1,1,3,16.0,10,13611,100954,87343,51,True,1,0,3,0,0.0,3,Morgan Rogers,2,WOL,1070,1120,AVL,1080,1140,2024,0.0,,2.37351,9.0,2.37351,0.520117,4.0,0.520117
0,0,14,0,2.5,54,0.0,0.38,0.3770438432693481,0.55,56,1,1,6.3,29.6,2024-09-29,63,False,10,0,0,0,0,6,0,1942675,1,2,2,31.0,7,284582,388357,103775,52,False,0,2,0,1,0.3770438432693481,3,Morgan Rogers,2,IPS,1070,1080,AVL,1160,1320,2024,0.3770438432693481,,1.14494,5.0,1.14494,1.84608,6.0,1.84608
0,0,4,1,14.1,54,0.0324515402317047,0.07,0.1798357814550399,0.52,62,0,0,2.8,1.4,2024-10-06,90,False,14,0,0,0,0,7,0,2198776,1,0,0,12.0,3,248533,309236,60703,53,True,0,2,1,0,0.1798357814550399,3,Morgan Rogers,2,MUN,1140,1170,AVL,1080,1140,2024,0.1798357814550399,,0.532809,9.0,0.532809,0.448537,1.0,0.448537
0,0,18,0,15.3,54,0.0251479931175708,0.84,0.495184063911438,1.57,72,1,1,7.2,33.8,2024-10-19,82,False,9,0,0,0,0,8,0,2293893,1,3,1,23.0,6,89360,165264,75904,53,False,1,3,1,1,0.495184063911438,3,Morgan Rogers,2,FUL,1140,1110,AVL,1160,1320,2024,0.495184063911438,,1.43595,9.0,1.43595,2.63074,3.0,1.86957
0,0,-2,0,12.6,54,0.0584600865840911,0.16,0.1068822219967842,0.18,82,0,0,1.9,0.6,2024-10-26,56,False,3,0,0,0,0,9,0,2501552,1,1,1,6.0,1,194741,221984,27243,54,True,0,1,1,0,0.1068822219967842,3,Morgan Rogers,2,BOU,1140,1210,AVL,1080,1140,2024,0.1068822219967842,,1.974,16.0,1.974,0.328651,6.0,0.328651
0,2,33,0,20.9,54,0.4321775734424591,0.77,0.9392834901809692,0.96,99,1,1,9.4,38.6,2024-11-03,68,False,18,0,0,0,0,10,0,2396567,1,1,4,34.0,9,-94793,84119,178912,54,False,0,2,2,1,0.9392834901809692,3,Morgan Rogers,2,TOT,1140,1300,AVL,1160,1320,2024,0.9392834901809692,,2.48749,3.0,2.48749,2.09751,11.0,2.09751
0,0,-1,0,28.8,54,0.0738702788949012,0.22,0.058744627982378,2.02,105,2,0,4.1,4.0,2024-11-09,90,False,12,0,0,0,0,11,0,2332069,1,0,2,8.0,1,-62826,94131,156957,54,False,1,1,2,0,0.058744627982378,3,Morgan Rogers,2,LIV,1340,1360,AVL,1160,1320,2024,0.058744627982378,,1.66337,4.0,1.66337,2.68196,7.0,2.68196
0,0,5,0,19.1,54,0.0488728880882263,0.23,0.0961086004972457,1.23,112,2,0,4.7,8.2,2024-11-23,81,False,7,0,0,0,0,12,0,2423480,1,2,2,20.0,2,69806,177597,107791,54,True,0,1,1,0,0.0961086004972457,3,Morgan Rogers,2,CRY,1140,1110,AVL,1080,1140,2024,0.0961086004972457,,3.04455,11.0,2.28338,1.61437,2.0,1.61437
0,0,7,0,3.2,54,0.0,0.0,0.0,0.94,123,2,0,0.4,1.2,2024-12-01,65,False,6,0,0,0,0,13,0,2286614,1,0,3,0.0,2,-126237,59723,185960,54,False,0,0,0,0,0.0,3,Morgan Rogers,2,CHE,1150,1360,AVL,1160,1320,2024,0.0,,0.875443,4.0,0.875443,1.94939,4.0,1.94939
0,1,34,0,39.7,54,0.3029485046863556,0.57,0.2161572724580764,0.96,132,1,1,10.4,42.8,2024-12-04,86,False,4,0,0,0,0,14,0,2205736,1,1,3,21.0,8,-93335,71291,164626,53,True,0,3,3,1,0.2161572724580764,3,Morgan Rogers,2,BRE,1100,1350,AVL,1080,1140,2024,0.2161572724580764,,3.21673,11.0,2.45556,1.13266,5.0,1.13266
0,0,7,1,50.3,54,0.3293689489364624,0.72,0.1263557523488998,0.33,141,0,0,7.8,14.0,2024-12-07,90,False,17,0,0,0,0,15,0,2433903,1,0,1,14.0,2,208876,244718,35842,53,True,1,3,3,0,0.1263557523488998,3,Morgan Rogers,2,SOU,1060,1090,AVL,1080,1140,2024,0.1263557523488998,,2.51338,13.0,2.51338,0.385832,7.0,0.385832
0,0,7,0,12.9,54,0.0299912616610527,0.08,0.0454938076436519,1.78,158,2,0,3.5,4.8,2024-12-14,90,False,16,0,0,0,0,16,0,2312518,1,1,2,17.0,2,-108680,54654,163334,54,False,0,1,1,0,0.0454938076436519,3,Morgan Rogers,2,NFO,1140,1130,AVL,1160,1320,2024,0.0454938076436519,,0.389423,7.0,0.389423,2.2861,5.0,2.2861
1,3,50,1,30.6,54,0.5055661201477051,0.56,0.7140070199966431,0.73,161,0,1,12.6,60.0,2024-12-21,90,False,13,0,0,0,0,17,0,2006707,1,1,2,35.0,14,-305564,26283,331847,53,True,0,4,2,1,0.7140070199966431,3,Morgan Rogers,2,MCI,1230,1350,AVL,1080,1140,2024,0.7140070199966431,,2.05988,7.0,2.05988,1.09627,4.0,1.09627
0,0,9,0,0.4,54,0.0,0.0,0.0,2.49,177,2,0,0.6,3.4,2024-12-26,68,False,15,0,0,0,0,18,0,2352964,1,0,3,2.0,2,327600,363066,35466,54,False,0,0,0,0,0.0,3,Morgan Rogers,2,NEW,1100,1130,AVL,1160,1320,2024,0.0,,0.225522,2.0,0.225522,2.82867,20.0,2.82867
1,2,34,0,14.8,54,0.1469765603542328,0.29,0.0678399354219436,1.13,181,2,1,9.4,39.4,2024-12-30,90,False,5,0,0,0,0,19,0,2621178,1,2,2,40.0,11,263586,314637,51051,55,True,1,2,1,1,0.0678399354219436,3,Morgan Rogers,2,BHA,1100,1200,AVL,1080,1140,2024,0.0678399354219436,,1.87997,13.0,1.1188,0.938042,6.0,0.938042
