assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,6,0,26.7,560,0.16,0.2,0.04,0.11,9,1,0,4.3,7.4,2024-08-18,32,False,13,0,0,0,0,1,0,100779,0,2,0,9.0,1,0,0,0,65,True,0,0,0,0,0.0,3,Pedro Lomba Neto,6,MCI,1230,1350,CHE,1150,1360,2024,0.02,,1.06123,8.0,1.06123,1.18038,10.0,1.18038
1,0,12,0,13.3,560,0.0,0.05,0.0,0.17,20,0,0,4.1,21.6,2024-08-25,45,False,20,0,0,0,0,2,0,106044,0,6,2,6.0,4,-7679,11121,18800,65,False,0,0,0,0,0.0,3,Pedro Lomba Neto,6,WOL,1070,1100,CHE,1150,1360,2024,0.0,,2.02935,6.0,2.02935,2.4181,8.0,2.4181
0,0,-1,0,2.2,560,0.02,0.02,0.0,0.13,23,1,0,0.1,0.0,2024-09-01,57,False,7,0,0,0,0,3,0,107645,1,1,1,0.0,0,-3643,20308,23951,65,True,1,0,0,0,0.0,3,Pedro Lomba Neto,6,CRY,1140,1110,CHE,1150,1360,2024,0.0,,2.97743,4.0,2.97743,0.459708,6.0,0.459708
0,0,5,0,16.3,560,0.03,0.03,0.0,1.29,32,0,0,2.1,4.4,2024-09-14,45,False,3,0,0,0,0,4,0,93108,1,1,0,0.0,1,-17382,10810,28192,64,False,0,0,0,0,0.0,3,Pedro Lomba Neto,6,BOU,1080,1190,CHE,1150,1360,2024,0.0,,0.932726,9.0,0.932726,1.53731,5.0,0.77614
0,0,4,0,2.8,560,0.02,0.02,0.0,0.35,50,0,0,1.7,8.4,2024-09-21,33,False,19,0,0,0,0,5,0,80588,0,3,0,6.0,1,-13757,3013,16770,64,False,0,0,0,0,0.0,3,Pedro Lomba Neto,6,WHU,1080,1100,CHE,1150,1360,2024,0.0,,2.39727,9.0,2.39727,0.758267,12.0,0.758267
0,0,5,0,10.3,560,0.09,0.16,0.07,0.22,54,0,0,2.4,4.2,2024-09-28,27,False,5,0,0,0,0,6,0,65681,0,2,4,9.0,1,-15530,1533,17063,63,True,0,0,0,0,0.0,3,Pedro Lomba Neto,6,BHA,1100,1200,CHE,1150,1360,2024,0.035,,3.65839,10.0,2.89722,1.20712,7.0,1.20712
0,0,5,0,19.5,560,0.04,0.04,0.0,0.25,65,0,0,2.4,4.0,2024-10-06,1,False,16,0,0,0,0,7,0,56899,0,1,1,0.0,0,-9456,1341,10797,62,True,1,0,0,0,0.0,3,Pedro Lomba Neto,6,NFO,1230,1130,CHE,1150,1360,2024,0.0,,2.27752,13.0,2.27752,1.66654,5.0,1.66654
0,0,6,0,40.9,560,0.09,0.11,0.02,0.78,74,1,0,5.1,8.6,2024-10-20,45,False,12,0,0,0,0,8,0,51808,0,1,2,1.0,1,-5707,727,6434,62,False,0,0,0,0,0.0,3,Pedro Lomba Neto,6,LIV,1340,1360,CHE,1150,1360,2024,0.01,,1.33904,6.0,1.33904,2.22517,2.0,1.464
1,1,28,0,42.8,560,0.27,0.45,0.18,1.92,85,1,0,11.0,31.4,2024-10-27,90,False,15,0,0,0,0,9,0,51705,1,1,2,36.0,5,-586,1963,2549,62,True,1,0,0,0,0.0,3,Pedro Lomba Neto,6,NEW,1150,1290,CHE,1150,1360,2024,0.09,,1.61794,5.0,1.61794,1.74225,11.0,1.74225
0,0,10,0,2.4,560,0.01,0.07,0.06,1.98,95,1,0,2.7,8.0,2024-11-03,90,False,14,0,0,0,0,10,0,70829,1,1,1,17.0,2,17494,20581,3087,62,False,0,0,0,0,0.0,3,Pedro Lomba Neto,6,MUN,1140,1110,CHE,1150,1360,2024,0.03,,1.21071,8.0,1.21071,2.1605,4.0,1.39934
0,3,35,0,35.3,560,0.52,0.58,0.06,0.99,103,1,1,9.7,44.4,2024-11-10,90,False,1,0,0,0,0,11,0,75229,1,1,1,17.0,9,4077,9779,5702,62,True,1,0,0,0,0.0,3,Pedro Lomba Neto,6,ARS,1370,1350,CHE,1150,1360,2024,0.03,,1.24067,6.0,1.24067,1.9605,6.0,1.9605
0,0,0,0,0.0,560,0.0,0.0,0.0,0.0,117,0,0,0.0,0.0,2024-11-23,0,False,11,0,0,0,0,12,0,195409,0,2,1,0.0,0,109639,117524,7885,62,False,0,0,0,0,0.0,3,Pedro Lomba Neto,6,LEI,1050,1090,CHE,1150,1360,2024,0.0,,2.81658,13.0,2.81658,0.967987,3.0,0.206818
0,0,8,1,7.1,560,0.05,0.08,0.03,1.15,123,0,0,1.6,3.6,2024-12-01,90,False,2,0,0,0,0,13,0,159186,1,0,3,5.0,3,-30255,10524,40779,62,True,0,0,0,0,0.0,3,Pedro Lomba Neto,6,AVL,1160,1320,CHE,1150,1360,2024,0.015,,1.94939,4.0,1.94939,0.875443,4.0,0.875443
0,0,0,0,0.0,560,0.0,0.0,0.0,0.0,140,0,0,0.0,0.0,2024-12-04,0,False,17,0,0,0,0,14,0,146738,0,5,1,0.0,0,-14028,11309,25337,62,False,0,0,0,0,0.0,3,Pedro Lomba Neto,6,SOU,1060,1050,CHE,1150,1360,2024,0.0,,5.8331,18.0,5.8331,1.91014,6.0,1.91014
