assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season
0,0,24,0,6.5,113,0.05,0.22,0.17,0.21,3,0,1,7.2,39.6,2024-08-17T14:00:00Z,45,8,0,0,0,0,1,0,42304,0,3,0,26.0,6,0,0,0,55,False,0,3,Simon Adingra,5,EVE,1080,1080,BHA,1130,1220,2024
1,0,14,0,10.8,113,0.56,0.65,0.09,0.1,13,0,0,3.5,15.2,2024-08-24T11:30:00Z,1,14,0,0,0,0,2,0,78578,0,1,2,9.0,4,20093,28196,8103,55,True,0,3,Simon Adingra,5,MUN,1140,1170,BHA,1070,1130,2024
0,0,1,0,1.0,113,0.01,0.01,0.0,0.0,21,0,0,0.1,0.0,2024-08-31T11:30:00Z,5,1,0,0,0,0,3,0,95769,0,1,1,0.0,1,11905,33475,21570,55,False,0,3,Simon Adingra,5,ARS,1360,1340,BHA,1130,1220,2024
0,0,2,0,1.6,113,0.01,0.04,0.03,0.14,33,0,0,0.8,2.2,2024-09-14T14:00:00Z,22,10,0,0,0,0,4,0,104017,0,0,0,4.0,1,4769,27664,22895,55,True,0,3,Simon Adingra,5,IPS,1080,1100,BHA,1070,1130,2024
0,0,4,0,12.6,113,0.02,0.05,0.03,0.86,42,1,0,2.4,1.4,2024-09-22T13:00:00Z,61,16,0,0,0,0,5,0,94940,1,2,2,10.0,2,-9625,6273,15898,55,True,0,3,Simon Adingra,5,NFO,1130,1070,BHA,1070,1130,2024
0,0,0,0,0.0,113,0.0,0.0,0.0,0.0,54,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,6,0,0,0,0,6,0,80778,0,2,4,0.0,0,-14540,3461,18001,55,False,0,3,Simon Adingra,5,CHE,1130,1320,BHA,1130,1220,2024
0,0,0,0,0.0,113,0.0,0.0,0.0,0.0,64,0,0,0.0,0.0,2024-10-06T15:30:00Z,0,18,0,0,0,0,7,0,59222,0,2,3,0.0,0,-21719,642,22361,55,True,0,3,Simon Adingra,5,TOT,1170,1350,BHA,1070,1130,2024
0,0,0,0,0.0,113,0.0,0.0,0.0,0.0,76,0,0,0.0,0.0,2024-10-19T14:00:00Z,0,15,0,0,0,0,8,0,50281,0,1,0,0.0,0,-9554,560,10114,54,False,0,3,Simon Adingra,5,NEW,1100,1130,BHA,1130,1220,2024
0,0,0,0,0.0,113,0.0,0.0,0.0,0.0,84,0,0,0.0,0.0,2024-10-26T14:00:00Z,0,20,0,0,0,0,9,0,48168,0,2,2,0.0,0,-2418,920,3338,54,True,0,3,Simon Adingra,5,WOL,1060,1120,BHA,1070,1130,2024
0,0,3,0,0.5,113,0.02,0.02,0.0,0.0,94,0,0,0.4,1.2,2024-11-02T15:00:00Z,3,12,0,0,0,0,10,0,45056,0,1,2,2.0,1,-3250,1227,4477,54,False,0,3,Simon Adingra,5,LIV,1360,1340,BHA,1130,1220,2024
0,0,5,0,1.1,113,0.03,0.03,0.0,2.03,102,1,0,0.6,4.8,2024-11-09T17:30:00Z,64,13,0,0,0,0,11,0,42932,1,1,2,0.0,2,-2240,759,2999,53,True,0,3,Simon Adingra,5,MCI,1350,1390,BHA,1070,1130,2024
0,0,6,0,0.7,113,0.01,0.01,0.0,0.89,113,1,0,0.6,5.2,2024-11-23T15:00:00Z,26,3,0,0,0,0,12,0,42846,0,2,1,0.0,1,-359,1786,2145,53,False,0,3,Simon Adingra,5,BOU,1070,1130,BHA,1130,1220,2024
0,0,5,0,10.8,113,0.16,0.19,0.03,0.05,122,0,0,3.9,5.4,2024-11-29T20:00:00Z,18,17,0,0,0,0,13,0,42424,0,1,1,23.0,1,-509,1404,1913,53,True,0,3,Simon Adingra,5,SOU,1070,1060,BHA,1070,1130,2024
