assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,2,0,11.7,243,0.05,0.05,0.0,0.94,1,1,0,2.0,3.8,2024-08-16 19:00:00+00:00,26,14,0,0,0,0,1,0,3772,0,0,1,4.0,0,0,0,0,50,False,1,3,Tom Cairney,9,MUN,1130,1120,FUL,1140,1180,1,2024
0,0,0,0,0.7,243,0.0,0.0,0.0,0.27,15,0,0,0.4,2.8,2024-08-24 14:00:00+00:00,21,11,0,0,0,0,2,0,4007,0,1,2,0.0,0,-473,198,671,50,True,1,3,Tom Cairney,9,LEI,1120,1080,FUL,1100,1100,1,2024
0,0,3,0,0.3,243,0.0,0.0,0.0,0.09,25,0,0,0.1,0.2,2024-08-31 14:00:00+00:00,3,10,0,0,0,0,3,0,3928,0,1,1,0.0,1,-350,462,812,49,False,0,3,Tom Cairney,9,IPS,1070,1050,FUL,1140,1180,1,2024
0,0,10,0,15.3,243,0.13,0.13,0.0,0.33,35,1,0,2.1,5.2,2024-09-14 14:00:00+00:00,17,19,0,0,0,0,4,0,3995,0,1,1,0.0,1,-131,552,683,49,True,0,3,Tom Cairney,9,WHU,1070,1130,FUL,1100,1100,1,2024
0,0,0,0,0.0,243,0.0,0.0,0.0,0.0,44,0,0,0.0,0.0,2024-09-21 14:00:00+00:00,0,15,0,0,0,0,5,0,3881,0,1,3,0.0,0,-184,152,336,49,True,0,3,Tom Cairney,9,NEW,1130,1310,FUL,1100,1100,1,2024
0,0,0,0,0.0,243,0.0,0.0,0.0,0.0,59,0,0,0.0,0.0,2024-09-28 14:00:00+00:00,0,16,0,0,0,0,6,0,3698,0,1,0,0.0,0,-240,131,371,49,False,0,3,Tom Cairney,9,NFO,1140,1120,FUL,1140,1180,1,2024
0,0,10,0,5.8,243,0.02,0.02,0.0,0.23,69,1,0,1.3,7.2,2024-10-05 14:00:00+00:00,25,13,0,0,0,0,7,0,3542,0,2,3,0.0,1,-208,80,288,49,False,0,3,Tom Cairney,9,MCI,1350,1360,FUL,1140,1180,1,2024
0,0,9,0,15.8,243,0.31,0.31,0.0,0.06,72,0,0,2.2,6.4,2024-10-19 14:00:00+00:00,10,2,0,0,0,0,8,0,3563,0,3,1,0.0,1,-62,142,204,48,True,0,3,Tom Cairney,9,AVL,1140,1300,FUL,1100,1100,1,2024
0,0,0,0,0.0,243,0.0,0.0,0.0,0.0,87,0,0,0.0,0.0,2024-10-26 16:30:00+00:00,0,8,0,0,0,0,9,0,3620,0,1,1,0.0,0,11,153,142,48,False,0,3,Tom Cairney,9,EVE,1080,1080,FUL,1140,1180,1,2024
0,0,4,0,16.3,243,0.03,0.03,0.0,0.41,92,0,0,1.9,3.0,2024-11-04 20:00:00+00:00,8,4,0,0,0,0,10,0,3609,0,1,2,0.0,1,-41,157,198,48,True,0,3,Tom Cairney,9,BRE,1120,1190,FUL,1100,1100,1,2024
0,0,3,0,4.0,243,0.01,0.01,0.0,0.04,104,0,0,0.7,3.0,2024-11-09 15:00:00+00:00,7,7,0,0,0,0,11,0,3572,0,2,0,0.0,1,-80,104,184,48,False,0,3,Tom Cairney,9,CRY,1100,1090,FUL,1140,1180,1,2024
