assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,penalties_order
0,0,0,0,0.0,331,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2024-08-17T11:30:00Z,0,10,0,0,0,0,1,0,4200,0,2,0,0.0,0,0,0,0,45,False,0,3,Tyler Morton,12,IPS,1070,1050,LIV,1370,1360,2024,
0,0,0,0,0.0,331,0.0,0.0,0.0,0.0,16,0,0,0.0,0.0,2024-08-25T15:30:00Z,0,4,0,0,0,0,2,0,4837,0,0,2,0.0,0,-247,352,599,45,True,0,3,Tyler Morton,12,BRE,1120,1190,LIV,1360,1340,2024,
0,0,0,0,0.0,331,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,2024-09-01T15:00:00Z,0,14,0,0,0,0,3,0,5133,0,3,0,0.0,0,-189,528,717,45,False,0,3,Tyler Morton,12,MUN,1130,1120,LIV,1370,1360,2024,
0,0,0,0,0.0,331,0.0,0.0,0.0,0.0,36,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,16,0,0,0,0,4,0,5445,0,1,0,0.0,0,-6,882,888,45,True,0,3,Tyler Morton,12,NFO,1130,1070,LIV,1360,1340,2024,
0,0,0,0,0.0,331,0.0,0.0,0.0,0.0,46,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,3,0,0,0,0,5,0,5459,0,0,3,0.0,0,-127,289,416,45,True,0,3,Tyler Morton,12,BOU,1130,1160,LIV,1360,1340,2024,
0,0,0,0,0.0,331,0.0,0.0,0.0,0.0,60,0,0,0.0,0.0,2024-09-28T16:30:00Z,0,20,0,0,0,0,6,0,5303,0,2,1,0.0,0,-263,221,484,45,False,0,3,Tyler Morton,12,WOL,1060,1090,LIV,1370,1360,2024,
0,0,0,0,0.0,331,0.0,0.0,0.0,0.0,66,0,0,0.0,0.0,2024-10-05T11:30:00Z,0,7,0,0,0,0,7,0,5237,0,1,0,0.0,0,-176,201,377,45,False,0,3,Tyler Morton,12,CRY,1100,1090,LIV,1370,1360,2024,
0,0,0,0,0.0,331,0.0,0.0,0.0,0.0,74,0,0,0.0,0.0,2024-10-20T15:30:00Z,0,6,0,0,0,0,8,0,8862,0,1,2,0.0,0,2463,3306,843,44,True,0,3,Tyler Morton,12,CHE,1130,1330,LIV,1360,1340,2024,
0,0,0,0,0.0,331,0.0,0.0,0.0,0.0,81,0,0,0.0,0.0,2024-10-27T16:30:00Z,0,1,0,0,0,0,9,0,13884,0,2,2,0.0,0,3509,5226,1717,44,False,0,3,Tyler Morton,12,ARS,1360,1340,LIV,1370,1360,2024,
0,0,0,0,0.0,331,0.0,0.0,0.0,0.0,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,5,0,0,0,0,10,0,18198,0,1,2,0.0,0,4105,7050,2945,44,True,0,3,Tyler Morton,12,BHA,1130,1220,LIV,1360,1340,2024,
0,0,0,0,0.0,331,0.0,0.0,0.0,0.0,105,0,0,0.0,0.0,2024-11-09T20:00:00Z,0,2,0,0,0,0,11,0,18996,0,0,2,0.0,0,622,3751,3129,44,True,0,3,Tyler Morton,12,AVL,1140,1300,LIV,1360,1340,2024,
0,0,0,0,0.0,331,0.0,0.0,0.0,0.0,120,0,0,0.0,0.0,2024-11-24T14:00:00Z,0,17,0,0,0,0,12,0,18332,0,3,2,0.0,0,-616,2233,2849,44,False,0,3,Tyler Morton,12,SOU,1060,1060,LIV,1370,1360,2024,
0,0,0,0,0.0,331,0.0,0.0,0.0,0.0,125,0,0,0.0,0.0,2024-12-01T16:00:00Z,0,13,0,0,0,0,13,0,18203,0,0,2,0.0,0,-404,1386,1790,44,True,0,3,Tyler Morton,12,MCI,1350,1390,LIV,1360,1340,2024,
0,0,0,0,0.0,331,0.0,0.0,0.0,0.0,139,0,0,0.0,0.0,2024-12-04T19:30:00Z,0,15,0,0,0,0,14,0,17683,0,3,3,0.0,0,-617,1273,1890,44,False,0,3,Tyler Morton,12,NEW,1100,1130,LIV,1370,1360,2024,
