assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order
0,0,14,0,1.1,300,0.0,0.08,0.0971366167068481,1.23,10,1,0,4.8,24.0,2024-08-19,90,18,0,0,0,0,1,0,12929,1,1,1,23.0,2,0,0,0,50,True,0,2,0,0,0.0971366167068481,3,Wilfred Ndidi,11,TOT,1170,1350,LEI,1060,1090,2024,0.0971366167068481,
0,0,18,0,12.4,300,0.0410540513694286,0.1,0.0660362839698791,1.78,15,2,0,5.0,20.4,2024-08-24,90,9,0,0,0,0,2,0,15977,1,1,2,17.0,2,-64,1831,1895,50,False,0,1,1,0,0.0660362839698791,3,Wilfred Ndidi,11,FUL,1100,1100,LEI,1120,1080,2024,0.0660362839698791,
1,0,20,0,16.9,300,0.5083983540534973,0.01,0.0,1.54,26,2,0,4.9,22.4,2024-08-31,88,2,0,0,0,0,3,0,15377,1,2,1,10.0,5,-1549,1424,2973,50,True,0,0,1,0,0.0,3,Wilfred Ndidi,11,AVL,1140,1300,LEI,1060,1090,2024,0.0,
2,1,32,0,45.6,300,1.4083861112594604,0.79,0.0,1.52,34,1,0,9.2,42.0,2024-09-14,75,7,0,0,0,0,4,0,18319,1,2,2,4.0,8,1280,3449,2169,50,False,1,0,4,0,0.0,3,Wilfred Ndidi,11,CRY,1100,1090,LEI,1120,1080,2024,0.0,
0,0,17,0,6.4,300,0.0,0.12,0.1014905571937561,1.1,45,1,0,4.9,17.0,2024-09-21,90,8,0,0,0,0,5,0,62188,1,1,1,26.0,2,39453,44852,5399,50,True,0,3,0,0,0.1014905571937561,3,Wilfred Ndidi,11,EVE,1100,1100,LEI,1060,1090,2024,0.1014905571937561,
1,0,16,0,17.7,300,0.0439637079834938,0.02,0.0,3.7,51,3,0,7.6,52.0,2024-09-28,90,1,1,0,0,0,6,0,55934,1,2,4,6.0,2,-5109,11988,17097,50,False,1,0,1,0,0.0,3,Wilfred Ndidi,11,ARS,1360,1340,LEI,1120,1080,2024,0.0,
0,0,14,1,3.9,300,0.0,0.01,0.0,2.16,68,0,0,2.1,15.2,2024-10-05,90,3,0,0,0,0,7,0,71750,1,0,1,2.0,2,13491,22512,9021,50,True,1,0,0,0,0.0,3,Wilfred Ndidi,11,BOU,1130,1160,LEI,1060,1090,2024,0.0,
0,0,13,0,8.6,300,0.0,0.05,0.0,2.15,78,2,0,3.8,21.8,2024-10-19,90,17,0,0,0,0,8,0,69536,1,3,2,8.0,2,-2693,6665,9358,50,False,0,0,0,0,0.0,3,Wilfred Ndidi,11,SOU,1060,1060,LEI,1120,1080,2024,0.0,
0,0,11,0,4.2,300,0.0,0.05,0.0281131248921155,1.55,88,3,0,2.1,8.6,2024-10-25,73,16,0,0,0,0,9,0,63787,1,3,1,8.0,2,-5988,2054,8042,50,True,0,1,0,0,0.0281131248921155,3,Wilfred Ndidi,11,NFO,1130,1070,LEI,1060,1090,2024,0.0281131248921155,
0,0,8,0,15.5,300,0.1064366176724433,0.14,0.0,1.0,93,1,0,3.8,20.6,2024-11-02,70,10,0,0,0,0,10,0,60289,1,1,1,2.0,2,-4103,4114,8217,50,False,0,0,1,0,0.0,3,Wilfred Ndidi,11,IPS,1070,1050,LEI,1120,1080,2024,0.0,
0,0,7,0,14.9,300,0.0270950067788362,0.69,0.3283396959304809,0.59,106,2,0,7.7,17.8,2024-11-10,69,14,0,0,0,0,11,0,51336,1,0,3,44.0,2,-8925,1060,9985,50,False,0,3,1,0,0.3283396959304809,3,Wilfred Ndidi,11,MUN,1130,1120,LEI,1120,1080,2024,0.3283396959304809,
0,0,0,0,0.9,300,0.0,0.23,0.0913031101226806,1.85,117,1,0,0.3,0.0,2024-11-23,70,6,0,0,0,0,12,0,47243,1,2,1,4.0,1,-4651,2161,6812,50,True,1,1,0,0,0.0913031101226806,3,Wilfred Ndidi,11,CHE,1130,1330,LEI,1060,1090,2024,0.0913031101226806,
0,0,7,0,4.2,300,0.0,0.01,0.0,2.4,121,4,0,1.7,12.4,2024-11-30,90,4,0,0,0,0,13,0,43377,1,1,4,0.0,2,-4155,1345,5500,50,False,0,0,0,0,0.0,3,Wilfred Ndidi,11,BRE,1080,1100,LEI,1120,1080,2024,0.0,
0,0,26,0,2.3,300,0.0,0.35,0.4880178868770599,3.1,137,1,0,7.8,42.4,2024-12-03,90,19,0,0,0,0,14,0,39336,1,1,3,33.0,2,-4304,559,4863,50,True,0,1,0,0,0.4880178868770599,3,Wilfred Ndidi,11,WHU,1070,1130,LEI,1060,1090,2024,0.4880178868770599,
