assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,482,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2024-08-19 19:00:00+00:00,0,11,0,0,0,0,1,0,10961,0,1,1,0.0,0,0,0,0,50,False,0,3,Yves Bissouma,18,LEI,1060,1090,TOT,1170,1350,1,2024
0,1,40,1,6.5,482,0.04,0.14,0.1,1.0,19,0,1,5.7,43.8,2024-08-24 14:00:00+00:00,71,8,0,0,0,0,2,0,8142,1,0,4,7.0,9,-3272,516,3788,50,True,0,3,Yves Bissouma,18,EVE,1100,1100,TOT,1110,1330,1,2024
0,0,15,0,29.0,482,0.06,0.06,0.0,1.57,28,2,0,4.3,11.6,2024-09-01 12:30:00+00:00,81,15,0,0,0,0,3,0,49892,1,1,2,2.0,1,29950,37438,7488,50,False,1,3,Yves Bissouma,18,NEW,1100,1130,TOT,1170,1350,1,2024
0,0,0,0,0.0,482,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2024-09-15 13:00:00+00:00,0,1,0,0,0,0,4,0,48473,0,1,0,0.0,0,-2219,10628,12847,50,True,0,3,Yves Bissouma,18,ARS,1360,1390,TOT,1110,1330,1,2024
0,0,1,0,2.8,482,0.03,0.03,0.0,0.06,49,0,0,0.6,3.6,2024-09-21 14:00:00+00:00,27,4,0,0,0,0,5,0,38966,0,1,3,0.0,0,-9653,771,10424,50,True,1,3,Yves Bissouma,18,BRE,1120,1190,TOT,1110,1330,1,2024
0,0,0,0,0.0,482,0.0,0.0,0.0,0.0,57,0,0,0.0,0.0,2024-09-29 15:30:00+00:00,0,14,0,0,0,0,6,0,37709,0,3,0,0.0,0,-2183,3848,6031,49,False,0,3,Yves Bissouma,18,MUN,1130,1120,TOT,1170,1350,1,2024
0,0,4,0,0.3,482,0.0,0.0,0.0,0.02,64,0,0,0.3,2.6,2024-10-06 15:30:00+00:00,11,5,0,0,0,0,7,0,36721,0,2,3,0.0,1,-1663,3361,5024,49,False,0,3,Yves Bissouma,18,BHA,1070,1130,TOT,1170,1350,1,2024
0,3,44,0,14.0,482,0.02,0.18,0.16,0.78,79,1,1,8.6,55.0,2024-10-19 11:30:00+00:00,80,19,0,0,0,0,8,0,35290,1,1,4,17.0,10,-1859,1733,3592,49,True,0,3,Yves Bissouma,18,WHU,1070,1130,TOT,1110,1330,1,2024
0,0,13,0,2.0,482,0.09,0.09,0.0,0.83,86,1,0,1.8,15.6,2024-10-27 14:00:00+00:00,86,7,0,0,0,0,9,0,45810,1,0,1,0.0,2,9205,10689,1484,49,False,0,3,Yves Bissouma,18,CRY,1100,1090,TOT,1170,1350,1,2024
0,0,5,0,2.3,482,0.01,0.01,0.0,0.47,99,0,0,1.1,8.2,2024-11-03 14:00:00+00:00,34,2,0,0,0,0,10,0,50162,0,1,4,0.0,1,4062,7682,3620,49,True,0,3,Yves Bissouma,18,AVL,1140,1300,TOT,1110,1330,1,2024
