id,first_name,second_name,value,penalties_order,rolling_saves_3,rolling_expected_goals_conceded_3,rolling_total_points_3,rolling_minutes_3,rolling_bps_3,rolling_saves_5,rolling_expected_goals_conceded_5,rolling_total_points_5,rolling_minutes_5,rolling_bps_5,rolling_saves_8,rolling_expected_goals_conceded_8,rolling_total_points_8,rolling_minutes_8,rolling_bps_8,rolling_saves_12,rolling_expected_goals_conceded_12,rolling_total_points_12,rolling_minutes_12,rolling_bps_12,avg_yellow_cards,avg_penalties_saved,pred_minutes,opponent_team,own_team,own_attack,opponent_attack,own_defense,opponent_defense,own_short_name,opponent_short_name,gameweek,was_home,season,POS
5,Karl,Hein,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,1360,1100,1340,1100,ARS,EVE,16,1,24,1
5,Karl,Hein,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,1360,1080,1340,1100,ARS,IPS,18,1,24,1
15,David,Raya Martin,55,,1.6666666666666667,0.6966666666666669,4.666666666666667,90.0,17.666666666666668,2.0,0.78,3.8,90.0,16.2,1.875,0.9025,2.75,90.0,11.125,2.75,1.0225000000000002,3.1666666666666665,90.0,12.666666666666666,0.1428571428571428,0.0,90.0,8,1,1360,1100,1340,1100,ARS,EVE,16,1,24,1
15,David,Raya Martin,55,,1.6666666666666667,0.6966666666666669,4.666666666666667,90.0,17.666666666666668,2.0,0.78,3.8,90.0,16.2,1.875,0.9025,2.75,90.0,11.125,2.75,1.0225000000000002,3.1666666666666665,90.0,12.666666666666666,0.1428571428571428,0.0,90.0,10,1,1360,1080,1340,1100,ARS,IPS,18,1,24,1
73,Norberto,Murara Neto,42,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,1360,1100,1340,1100,ARS,EVE,16,1,24,1
73,Norberto,Murara Neto,42,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,1360,1080,1340,1100,ARS,IPS,18,1,24,1
639,Tommy,Setford,45,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,1360,1100,1340,1100,ARS,EVE,16,1,24,1
639,Tommy,Setford,45,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,1360,1080,1340,1100,ARS,IPS,18,1,24,1
39,Joe,Gauci,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2,1120,1070,1200,1060,AVL,SOU,15,1,24,1
39,Joe,Gauci,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,1120,1350,1200,1390,AVL,MCI,17,1,24,1
39,Joe,Gauci,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,1120,1130,1200,1220,AVL,BHA,19,1,24,1
39,Joe,Gauci,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,1120,1120,1200,1080,AVL,LEI,20,1,24,1
46,Filip,Marschall,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2,1120,1070,1200,1060,AVL,SOU,15,1,24,1
46,Filip,Marschall,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,1120,1350,1200,1390,AVL,MCI,17,1,24,1
46,Filip,Marschall,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,1120,1130,1200,1220,AVL,BHA,19,1,24,1
46,Filip,Marschall,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,1120,1120,1200,1080,AVL,LEI,20,1,24,1
47,Emiliano,Martínez Romero,50,,2.333333333333333,1.0366666666666666,1.6666666666666667,75.0,7.333333333333333,2.4,1.514,1.4,81.0,5.6,2.625,1.2725,3.25,84.375,11.5,2.4166666666666665,1.1016666666666666,2.75,86.25,10.166666666666666,0.0714285714285714,0.0714285714285714,78.75,17,2,1120,1070,1200,1060,AVL,SOU,15,1,24,1
